詞目id,漢字,異用字
5611,食穿,噍穿
5611,食穿,吃穿
5612,食苦,噍苦
5612,食苦,吃苦
5613,食食,噍食
5613,食食,吃食
5614,風飛沙,風飛砂
5615,食倯,噍倯
5615,食倯,吃倯
5615,食倯,噍傖
5618,食桌,噍桌
5618,食桌,吃桌
5622,香烌,香灰
5623,食祖,噍祖
5623,食祖,吃祖
5625,食秤頭,噍秤頭
5625,食秤頭,吃秤頭
5628,食晝,噍晝
5628,食晝,吃晝
5628,食晝,食罩
5629,食清領便,噍清領便
5629,食清領便,吃清領便
5632,食軟驚硬,噍軟驚硬
5632,食軟驚硬,吃軟驚硬
5635,風喙口,風嘴口
5636,風湧,風泳
5637,香港跤,香港骹
5637,香港跤,香港腳
5642,韭菜,韮菜
5643,食菜,噍菜
5643,食菜,吃菜
5644,韭菜花,韮菜花
5646,食飯桌,噍飯桌
5646,食飯桌,吃飯桌
5647,食飯廳,噍飯廳
5647,食飯廳,吃飯廳
5650,食暗,噍暗
5650,食暗,吃暗
5652,食補,噍補
5652,食補,吃補
5656,食福,噍福
5656,食福,吃福
5664,食漿,噍漿
5664,食漿,吃漿
5669,食褒,噍褒
5669,食褒,吃褒
5671,食醋,噍醋
5671,食醋,吃醋
5673,食膨餅,噍膨餅
5673,食膨餅,吃凸餅
5674,食錢,噍錢
5674,食錢,吃錢
5675,食錢官,噍錢官
5675,食錢官,吃錢官
5678,食頭路,噍頭路
5678,食頭路,吃頭路
5679,風溼,風濕
5681,食臊,噍臊
5681,食臊,吃臊
5683,食虧,噍虧
5683,食虧,吃虧
5686,食薰,噍薰
5686,食薰,吃煙
5709,倚,偎
5712,倯,傖
5723,借人,借儂
5725,冤仇人,冤仇儂
5729,倒手爿,倒手旁
5730,倒爿,倒旁
5737,倚年,偎年
5745,倚近,偎近
5756,倚晝,偎晝
5758,凍喙齒,凍嘴齒
5768,倒數,倒賬
5770,倚靠,偎靠
5771,倚壁,偎壁
5772,倒擔,倒担
5784,倒轉,倒返
5790,厝,茨
5790,厝,戍
5801,哽,骾
5801,哽,鯁
5803,唉,哎
5806,唐山,長山
5808,厝內,茨內
5809,哪毋,哪不
5811,厝主,茨主
5814,厝瓦,茨瓦
5816,厝地,茨地
5817,厝宅,茨宅
5822,厝角鳥仔,茨角鳥仔
5823,厝角頭,茨角頭
5829,厝契,茨契
5837,厝頂,茨頂
5839,厝稅,茨稅
5840,哪著,那著
5843,厝跤,茨骹
5843,厝跤,厝腳
5849,厝頭家,茨頭家
5850,厝邊,茨邊
5851,厝邊頭尾,茨邊頭尾
5856,埋,坮
5858,埕,庭
5863,娘𡢃,娘嫺
5863,娘𡢃,娘嫻
5874,娘嬭,娘奶
5899,家己,家治
5900,家己人,家治人
5906,師仔,司仔
5911,家伙,家賄
5912,屘囝,屘子
5925,差教,差校
5927,師傅,師父
5931,崁跤,崁骹
5931,崁跤,崁腳
5942,展翼,展翅
5943,害蟲,害虫
5958,挐,茹
5960,挩,脫
5964,挩枋,挩板
5966,挩門,拖門
5966,挩門,屜門
5966,挩門,抴門
5972,挨絃仔,挨弦仔
5974,挩窗,脫窗
5976,挨粿,挨餜
5977,挐氅氅,茹氅氅
5979,拳頭拇,拳頭母
5982,挵,撞
5984,挼,揉
5989,捅,統
5997,捒,搡
6001,揤,捏
6015,捌字,識字
6018,敆作,合作
6019,捒走,搡走
6021,捙拚,捙拼
6021,捙拚,車拚
6024,挵門,撞門
6030,捙畚斗,捙糞斗
6031,挵破,撞破
6038,振動,震動
6047,挽喙齒,挽嘴齒
6054,料想袂到,料想𣍐到
6057,挵鼓,撞鼓
6066,捅頭,統頭
6072,挵鐘,撞鐘
6109,根底,根柢
6120,桌崁,桌蓋
6137,桌跤,桌骹
6137,桌跤,桌腳
6144,柴頭尪仔,柴頭翁仔
6150,欱,哈
6157,氣力,喟力
6158,氣口,喟口
6170,海沙埔,海砂埔
6182,海虼蚻,海虼蠽
6182,海虼蚻,海虼蠘
6182,海虼蚻,海加絕
6193,泰國菝仔,泰國芭樂
6201,海湧,海泳
6226,烌,灰
6233,烏人,烏儂
6260,烏枋,烏板
6261,烏枋拭仔,烏板拭仔
6275,烏真珠,烏珍珠
6287,烏喙筆仔,烏嘴筆仔
6290,狸猫,貍貓
6291,烏焦瘦,烏乾瘦
6291,烏焦瘦,烏乾㾪
6291,烏焦瘦,烏焦㾪
6312,消瘦落肉,消㾪落肉
6313,烏蝛,烏微
6316,烏魯木齊,烏魯沐債
6316,烏魯木齊,烏漉沐漬
6317,烏鴉喙,烏鴉嘴
6319,烏糖粿,烏糖餜
6321,烏貓姊仔,烏貓姐仔
6338,泄,疶
6339,疶,泄
6340,疼,痛
6344,病人,病儂
6345,畚斗,糞斗
6348,泄尿,疶尿
6351,疶屎,泄屎
6352,疼某菜,痛某菜
6356,病疼,病痛
6358,疼惜,痛惜
6362,疼痛,痛疼
6363,畚箕,糞箕
6393,破空,破孔
6395,祖厝,祖茨
6396,破柴,剖柴
6399,破格喙,破格嘴
6400,真珠,珍珠
6412,祖媽,祖嬤
6431,秤仔,稱仔
6441,笑咍咍,笑咳咳
6445,租厝,租茨
6449,笑桮,笑杯
6485,罟,罛
6493,罟仔,罛仔
6496,胳下空,胳下孔
6501,紙坯,紙胚
6502,紙枋,紙板
6516,缺喙,缺嘴
6517,翁婿,尪婿
6523,紙橐仔,紙簏仔
6534,茈,芓
6534,茈,嫩
6535,茫,濛
6540,臭人,臭儂
6541,草人,草儂
6548,臭火焦,臭火凋
6548,臭火焦,臭火礁
6550,臭火薰,臭火熏
6550,臭火薰,臭火煙
6553,臭奶呆,臭奶獃
6553,臭奶呆,臭乳呆
6553,臭奶呆,臭乳獃
6554,茭白筍,加白筍
6556,草地人,草地儂
6564,臭尿薟,臭尿辛
6579,草厝仔,草茨仔
6586,臭喙角,臭嘴角
6587,臭殕,臭醭
6588,臭焦,臭乾
6593,臭塗味,臭土味
6597,臭腥,臭青
6598,臭腥公,臭青公
6600,臭跤液,臭跤餿
6600,臭跤液,臭骹液
6600,臭跤液,臭腳液
6601,茶鈷,茶𥑮
6603,草蓆,草𥱊
6615,茶甌,茶𥕥
6632,袂,𣍐
6636,袂用得,𣍐用得
6637,袂合,𣍐合
6638,袂收山,𣍐收山
6641,荏身,弱身
6642,袂見笑,𣍐見笑
6643,袂使,𣍐使
6644,袂使得,𣍐使得
6645,袂和,𣍐和
6647,袂直,𣍐直
6648,袂按算,𣍐按算
6649,袂赴,𣍐赴
6650,袂食袂睏,𣍐食𣍐睏
6650,袂食袂睏,袂噍𣍐睏
6650,袂食袂睏,袂吃袂睏
6652,袂記得,𣍐記得
6654,袂得過,𣍐得過
6655,袂堪得,𣍐堪得
6656,袂當,袂凍
6661,袂輸,𣍐輸
6662,袂輸講,𣍐輸講
6663,袂講得,𣍐講得
6665,荏懶,荏爛
6683,貢丸,摃丸
6699,討皮疼,討皮痛
6707,退色,褪色
6729,討契兄,討客兄
6738,討海人,討海儂
6745,起無空,起無孔
6746,起痟,起𤞚
6751,討趁,討賺
6752,起雄,起兇
6755,討債囝,討債子
6761,起跤動手,起骹動手
6761,起跤動手,起腳動手
6762,迵過,通過
6768,討數,討賬
6802,鬥,湊
6805,骨力,搰力
6815,鬥句,湊句
6822,針灸,鍼灸
6829,酒杯,酒桮
6833,鬥空,湊空
6833,鬥空,湊孔
6833,鬥空,鬥孔
6835,鬥股,湊股
6842,鬥相共,湊相共
6849,骨烌,骨灰
6850,陣疼,陣痛
6853,飢荒,饑荒
6855,鬥陣,湊陣
6857,鬥做伙,湊做伙
6859,鬥無閒,湊無閒
6859,鬥無閒,鬥無閑
6859,鬥無閒,逗無閒
6865,針黹,針指
6868,鬥跤手,鬥骹手
6868,鬥跤手,鬥腳手
6868,鬥跤手,湊腳手
6870,鬥夥計,搭夥計
6870,鬥夥計,湊夥計
6871,鬥榫頭,湊榫頭
6882,鬥鬧熱,湊鬧熱
6882,鬥鬧熱,逗鬧熱
6899,閃爍,閃熾
6899,閃爍,閃熠
6901,高麗參,高麗蔘
6910,偌,若
6910,偌,外
6920,假𠢕,假賢
6921,做人,做儂
6922,做人,做儂
6938,假仙假觸,假仙假𧰵
6940,做司公,做師公
6960,偷拈,偷捻
6965,偷食,偷噍
6965,偷食,偷吃
6966,偷食步,偷噍步
6966,偷食步,偷吃步
6969,做臭人,做臭儂
6978,假喙齒,假嘴齒
6979,偷提,偷摕
6982,假痟,假𤞚
6986,停跤,停骹
6986,停跤,停腳
6989,剪綹仔,剪紐仔
6989,剪綹仔,剪鈕仔
6993,做瘦氣,做㾪氣
6993,做瘦氣,做散喟
7000,做議量,做藝量
7013,唬,虎
7016,唸,念
7018,啉,飲
7021,啖,嘗
7023,唌人,唌儂
7024,唬人,虎人
7030,啉水,飲水
7032,參仔,蔘仔
7046,啉茶,飲茶
7047,啉酒,飲酒
7049,匏桸,匏杓
7049,匏桸,匏瓠
7065,啖糝,啖點
7065,啖糝,啗嘇
7065,啖糝,啖嘇
7066,唱聲,嗆聲
7066,唱聲,倡聲
7073,埤,陂
7082,啥人,甚人
7082,啥人,甚儂
7082,啥人,啥儂
7087,堅巴,堅粑
7101,啥物,啥乜
7101,啥物,啥麼
7109,夠氣,夠喟
7110,堅乾,堅干
7113,啥貨,甚貨
7116,娶新娘,𤆬新娘
7125,啥潲,啥韶
7142,婦人人,婦人儂
7150,寄生蟲,寄生虫
7151,婊囝,婊子
7184,得人疼,得人痛
7185,得人惜,得儂惜
7211,強欲,強要
7212,張鳥鼠,張老鼠
7226,徛,企
7234,挲,搓
7234,挲,搔
7235,捥,抁
7240,徛名,企名
7240,徛名,豎名
7247,徛泅,企泅
7247,徛泅,豎泅
7249,徛屏,企屏
7249,徛屏,豎屏
7251,徛眉,企眉
7251,徛眉,豎眉
7254,徛家,豎家
7254,徛家,企家
7256,挲草,搓草
7256,挲草,搔草
7257,徛起,企起
7257,徛起,豎起
7260,徛票,企票
7260,徛票,豎票
7262,徛黃,企黃
7262,徛黃,豎黃
7264,挲圓,搓圓
7267,悾歁,悾憨
7269,徙跤,徙骹
7269,徙跤,徙腳
7278,徙鋪,徙舖
7279,徛燈篙,豎燈篙
7280,徛頭,企頭
7280,徛頭,豎頭
7285,徛靈,企靈
7285,徛靈,豎靈
7286,挲鹽,搓鹽
7291,捽,摔
7294,掂,敁
7294,掂,鈂
7302,掜,㨮
7313,掩,抰
7315,掮,肩
7321,救人,救儂
7327,捽仔,摔仔
7336,捽目尾,摔目尾
7346,敏豆,閔豆
7350,掃帚,掃箒
7352,掃帚星,掃箒星
7360,掩崁,掩蓋
7381,接喙,接嘴
7392,掃塗跤,掃土腳
7392,掃塗跤,掃塗骹
7392,掃塗跤,掃塗腳
7396,接跤,接骹
7396,接跤,接腳
7414,掠龜走鱉,掠龜走鼈
7419,捲薰,捲熏
7419,捲薰,捲煙
7433,晝,罩
7437,桮,𤖯
7441,桸,杓
7441,桸,瓠
7453,梁柱,樑柱
7469,欲,要
7469,欲,卜
7470,欶,𠲿
7470,欶,嗍
7471,欸,呃
7471,欸,吓
7473,液,𫟊
7475,欶水,吸水
7475,欶水,嗍水
7480,欶奶,吸奶
7480,欶奶,嗍奶
7483,欲死欲活,要死要活
7484,欲呢,要呢
7486,欲知,要知
7487,涵空,涵孔
7500,欲暗仔,要暗仔
7502,欶管,吸管
7502,欶管,嗍管
7503,梢聲,莦聲
7503,梢聲,嗽聲
7503,梢聲,酥聲
7505,淋,湳
7520,淋水,湳水
7538,清芳,清香
7554,添粧,添妝
7555,清閒,清閑
7563,清數,清賬
7592,牽抾,牽扱
7597,現流仔,現撈仔
7602,牽罟,牽罛
7605,球桮,球篦
7617,球箠,球棰
7629,瓷,磁
7639,眯,瞇
7640,眵,覻
7644,眾人,眾儂
7645,瓷仔,磁仔
7648,瓷仔店,磁仔店
7651,眵目,覻目
7668,眵眵,覻覻
7676,甜粿,甜餜
7704,窒倒街,塞倒街
7704,窒倒街,踢倒街
7707,窒喙空,窒嘴空
7707,窒喙空,窒嘴孔
7707,窒喙空,窒喙孔
7721,紲,續
7729,粗人,粗儂
7733,紲手,續手
7735,絃仔,弦仔
7739,細囝,細子
7745,粗坯,粗胚
7746,紲拍,續拍
7746,紲拍,煞拍
7746,紲拍,續扑
7760,細粒子,小粒子
7761,紲喙,續喙
7765,紲落去,續落去
7781,脫,突
7798,脯脯,痡痡
7803,脫箠,突棰
7813,莫,勿
7814,蚵,蠔
7820,蚵仔,蠔仔
7822,蚵仔煎,蠔仔煎
7825,處份,處分
7828,蚵炱,蚵嗲
7828,蚵炱,蠔炱
7841,袚,佩
7844,規,歸
7850,規个,歸个
7853,規爿,規旁
7855,規世人,歸世儂
7868,規氣,歸氣
7870,規陣,歸陣
7880,設緣投,設嫣頭
7881,鴟鴞,覓鷂
7881,鴟鴞,覓鴞
7882,袚鍊,珮鏈
7882,袚鍊,斾鍊
7895,逐,迮
7898,這,今
7898,這,即
7899,這,今
7899,這,即
7919,透世人,透世儂
7920,這世人,這世儂
7935,軟汫,軟孱
7943,貪食,貪噍
7943,貪食,貪吃
7946,販厝,販茨
7950,這站,即暫
7956,這陣,即陣
7957,這馬,即馬
7957,這馬,這碼
7957,這馬,職馬
7957,這馬,這嘛
7961,連紲,連續
7966,貧惰,貧憚
7967,貧惰骨,貧憚骨
7969,軟塗深掘,軟土深掘
7970,這搭,即搭
7974,跂跤,跂骹
7974,跂跤,跂腳
7975,軟跤,軟骹
7975,軟跤,軟腳
7977,軟跤蝦,軟腳蝦
7979,這過,即過
7993,這點仔,即點仔
7995,連鞭,臨邊
8018,部份,部分
8028,頂世人,頂世儂
8045,閉思,秘四
8052,陰桮,陰杯
8073,陰鴆,陰沉
8082,頂懸,頂高
8127,麻痺,痲痺
8133,鳥鼠擗仔,老鼠擗仔
8134,鳥鼠觸仔,老鼠觸仔
8137,麻糍,麻粢
8137,麻糍,麻餈
8138,麻醉,痲醉
8144,麻藥,痲藥
8174,喙,嘴
8177,喙䫌,嘴䫌
8178,勞力,擼力
8178,勞力,努力
8182,喙口,嘴口
8183,喙下斗,嘴下斗
8184,喘大氣,喘大喟
8186,喙斗,嘴斗
8187,喙水,嘴水
8188,割包,刈包
8191,割肉,刈肉
8192,喙舌,嘴舌
8194,喙尾,嘴尾
8197,喙角,嘴角
8202,創空,創孔
8203,喙空,喙孔
8203,喙空,嘴空
8203,喙空,嘴孔
8205,割金,刈金
8207,喝玲瑯,喝玲瓏
8208,割香,葛香
8211,喘氣,喘喟
8213,喙臭,嘴臭
8216,喙脣,嘴脣
8217,喙脣皮,嘴唇皮
8224,喙殘,嘴殘
8228,喉滇,喉淀
8231,喙罨,嘴罨
8232,喙箍,嘴箍
8238,喙齒,嘴齒
8239,喙齒根,嘴齒根
8243,喙瀾,嘴涎
8274,圍棋,圍碁
8276,單跤手,單骹手
8276,單跤手,單腳手
8277,報數,報賬
8285,媠,美
8288,寒,凝
8293,媒人,媒儂
8294,寒人,寒儂
8295,媒人公,媒儂公
8296,媒人婆,媒儂婆
8297,媒人喙,媒儂喙
8297,媒人喙,媒儂嘴
8298,媒人禮,媒儂禮
8301,媌仔,貓仔
8302,媠色,美色
8310,媠氣,美氣
8310,媠氣,媠喟
8310,媠氣,美喟
8320,媠噹噹,美噹噹
8320,媠噹噹,媠璫璫
8320,媠噹噹,美璫璫
8325,循,順
8331,復原,復元
8332,復習,複習
8343,愖,侺
8348,掔,摼
8350,掰,㧳
8352,揈,封
8355,揌,腮
8363,惡人,惡儂
8366,掰手面,擘手面
8366,掰手面,撥手面
8367,插代誌,插代志
8367,插代誌,插事志
8379,揀食,揀噍
8379,揀食,揀吃
8387,插喙,插嘴
8388,插喙插舌,插嘴插舌
8393,掰開,撥開
8393,掰開,掊開
8393,掰開,擘開
8421,敨,㪗
8425,散凶,散鄉
8426,散凶人,散凶儂
8427,敨中氣,㪗中氣
8427,敨中氣,敨中喟
8427,敨中氣,㪗中喟
8440,散形,散雄
8444,敢若,假若
8444,敢若,假那
8445,散食人,散赤人
8445,散食人,窮赤人
8446,敨氣,敨喟
8446,敨氣,㪗喟
8446,敨氣,㪗氣
8459,普渡,普度
8460,敨開,㪗開
8472,斑鴿,斑甲
8479,棋,碁
8485,棋子,碁子
8501,棉紗,綿紗
8508,棉裘,綿裘
8510,棕蓑,棕簑
8511,棋盤,碁盤
8516,棕鑢仔,棕攎仔
8521,殕,䀟
8521,殕,醭
8529,殼仔絃,殼仔弦
8530,殕色,䀟色
8530,殕色,醭色
8535,椪柑,凸柑
8539,殕殕,䀟䀟
8539,殕殕,醭醭
8548,湧,泳
8550,湳,坔
8551,湳田,坔田
8565,焦,乾
8565,焦,凋
8565,焦,礁
8568,牚,撐
8575,無人緣,無儂緣
8577,猴山仔,猴猻仔
8581,無心情,無心成
8583,無毋著,無不對
8584,猶毋過,抑毋擱
8584,猶毋過,猶不過
8584,猶毋過,抑不過
8588,無代無誌,無事無志
8619,焦洗,乾洗
8619,焦洗,凋洗
8624,煮食,煮噍
8624,煮食,煮吃
8625,煮食裙仔,煮噍裙仔
8625,煮食裙仔,煮吃裙仔
8628,焦料,乾料
8629,無氣,無喟
8635,無啥物,無啥乜
8635,無啥物,無啥麼
8638,無彩,無采
8639,無彩工,無采工
8640,無張持,無張除
8648,無閒,無閑
8657,無較縒,無較差
8662,牚腿,撐腿
8663,猶閣,猶擱
8663,猶閣,猶甲
8664,猶閣咧,抑更咧
8664,猶閣咧,抑甲咧
8664,猶閣咧,猶擱咧
8667,無影無跡,無影無迹
8673,牚頭,撐頭
8676,焦燥,乾燥
8681,焦鬆,乾鬆
8681,焦鬆,礁鬆
8683,牚懸,牚高
8683,牚懸,撐懸
8683,牚懸,撐高
8684,無議量,無藝量
8688,番,蕃
8691,痟,𤞚
8697,痟人,𤞚人
8697,痟人,𤞚儂
8697,痟人,痟儂
8702,番仔幔,蕃仔幔
8702,番仔幔,番仔𧜞
8702,番仔幔,蕃仔𧜞
8709,畫巡,畫紃
8714,痚呴嗽,蝦龜嗽
8716,痠抽疼,痠抽痛
8718,痟狗,𤞚狗
8721,痟狗湧,𤞚狗湧
8722,番社,蕃社
8723,痟的,𤞚的
8728,痠疼,痠痛
8736,痟貪,𤞚貪
8747,痟話,𤞚話
8749,發粿,發餜
8756,番薯,番藷
8756,番薯,蕃薯
8756,番薯,蕃藷
8759,番薯箍,蕃薯箍
8760,番薯簽,蕃薯簽
8760,番薯簽,蕃薯籤
8760,番薯簽,番薯籤
8761,番顛,蕃顛
8768,硩,矺
8794,稅厝,稅茨
8800,睏晝,睏罩
8819,筊,儌
8819,筊,徼
8824,粞,𥽕
8826,粧,妝
8831,絚,拫
8838,筊仙,筊先
8852,筊岫,筊巢
8866,絕氣,絕喟
8869,筍乾,筍干
8873,答喙鼓,答嘴鼓
8879,筆跡,筆蹟
8880,筊跤,儌跤
8880,筊跤,賭腳
8888,結數,結賬
8897,翕,熻
8903,舒,敷
8913,翕相,翕像
8914,翕相機,翕像機
8915,翕相館,翕像館
8922,舒被,敷被
8923,菅蓁,菅榛
8928,腌臢,阿渣
8931,萎,虧
8937,菝仔票,芭仔票
8974,菠薐仔,飛薐仔
8975,菜擴,菜觳
8978,菜櫥,菜廚
8979,菜礤,菜擦
8982,著,𤏸
8986,裂,撕
8988,覕,匿
8988,覕,宓
8993,著火,𤏸火
8999,著生驚,著青驚
9004,覕雨,匿雨
9007,覕相揣,覕相找
9007,覕相揣,匿相揣
9007,覕相揣,匿相找
9011,覕喙,匿嘴
9011,覕喙,匿喙
9011,覕喙,覕嘴
9027,著蟲,著虫
9044,趁,賺
9045,越,斡
9047,貼人食,貼儂食
9047,貼人食,貼人噍
9047,貼人食,貼儂吃
9048,貿工,𢯾工
9049,貼心,搭心
9057,註死,注死
9063,註定,注定
9064,貼底,搭底
9069,趁流水,賺流水
9071,趁食,賺食
9072,趁食人,賺食人
9072,趁食人,賺吃人
9072,趁食人,趁噍儂
9073,趁食查某,趁吃查某
9073,趁食查某,賺食查某
9073,趁食查某,賺噍查某
9080,貴參參,貴蔘蔘
9081,象桮,象杯
9081,象桮,聖杯
9083,象棋,象碁
9088,註解,注解
9093,註銷,註消
9095,趁錢,賺錢
9097,越頭,斡頭
9099,跍,竘
9101,跔,痀
9126,跋桮,跋杯
9128,跋牌仔,博牌仔
9129,跋筊,跋繳
9129,跋筊,博筊
9129,跋筊,博徼
9131,跛跤,跛骹
9131,跛跤,跛腳
9143,鈕,紐
9147,閒,閑
9154,閒人,閑人
9154,閒人,閑儂
9154,閒人,閒儂
9156,閒工,閑工
9160,鈕仔,紐仔
9163,閒仙仙,閑仙仙
9164,鈕仔空,紐仔空
9164,鈕仔空,鈕仔孔
9164,鈕仔空,紐仔孔
9165,閒仔話,閑仔話
9184,開喙,開嘴
9190,閒間,閑間
9191,鈕鈕仔,紐紐仔
9191,鈕鈕仔,紐鈕仔
9191,鈕鈕仔,鈕紐仔
9195,開跤褲,開腳褲
9195,開跤褲,開骹褲
9201,開銷,開消
9206,閒錢,閑錢
9243,飯坩,飯硿
9258,飯匙銃,飯匙倩
9263,順紲,順續
9266,飫喙,飫嘴
9278,黃酸,黃痠
9280,黃錦錦,黃扲扲
9285,傱,蹌
9302,剾刀,刨刀
9302,剾刀,摳刀
9304,剾刀花,刨刀花
9304,剾刀花,摳刀花
9310,剾仔,刨仔
9310,剾仔,摳仔
9313,剾皮,刨皮
9313,剾皮,摳皮
9318,剾削,刨削
9318,剾削,摳削
9321,剾洗,刨洗
9321,剾洗,刮洗
9323,剾風,刨風
9338,傷跡,傷迹
9339,勥跤,勥骹
9339,勥跤,勥腳
9343,亂操操,亂吵吵
9344,傱錢,蹌錢
9350,嗚,嗡
9356,塗,土
9362,塗水,土水
9363,塗水師,土水師
9369,圓仔粞,圓仔𥽕
9370,塌本,凹本
9372,塗色,土色
9373,塗尪仔,土尪仔
9374,塗沙,土沙
9374,塗沙,土砂
9375,塗豆,土豆
9376,塗豆仁,土豆仁
9377,塗豆油,土豆油
9378,塗豆糖,土豆糖
9381,塌空,塌孔
9382,塗虱,土虱
9383,塗炭,土炭
9383,塗炭,土碳
9383,塗炭,塗碳
9384,塗墼,土埆
9384,塗墼,塗埆
9385,塗墼厝,土埆厝
9385,塗墼厝,土埆茨
9385,塗墼厝,塗埆茨
9386,塗捀,土捧
9387,圓栱門,圓光門
9389,塗粉,土粉
9392,塌跤,搨骹
9392,塌跤,搨腳
9393,塗跤,土骹
9393,塗跤,土腳
9397,塗魠,土魠
9397,塗魠,土鮀
9397,塗魠,塗鮀
9402,塌錢,凹錢
9403,塗龍,土龍
9405,塗礱,土礱
9406,媽,嬤
9411,嫁查某囝,嫁查某子
9412,媽祖,嬤祖
9413,嫁翁,嫁尪
9430,揫,揪
9435,惹代誌,惹事志
9443,想空想縫,想孔想縫
9455,愛媠,愛美
9464,慄慄掣,搦搦掣
9478,搜,抄
9479,搝,扭
9480,搟,撼
9484,浞,踿
9485,搦,搙
9496,斟,漛
9498,新人,新儂
9513,搤空,挖空
9513,搤空,挖孔
9513,搤空,搤孔
9519,搢風,戰風
9521,搬厝,搬茨
9526,斟茶,漛茶
9529,斟酒,漛酒
9536,搧喙䫌,搧嘴䫌
9541,搝搝搦搦,扭扭搙搙
9542,搬話,盤話
9551,損蕩,損盪
9563,搦權,搙權
9569,楔,揳
9569,楔,塞
9570,楗,拱
9570,楗,挭
9577,楔手縫,揳手縫
9594,楔空,塞孔
9594,楔空,揳空
9594,楔空,揳孔
9595,楔後手,揳後手
9616,會當,會凍
9620,暗暝,暗冥
9630,楔縫,揳縫
9650,溢奶,呃奶
9650,溢奶,溢乳
9650,溢奶,呃乳
9664,歇睏,歇困
9667,歁歁,憨憨
9683,滇,淀
9704,煏桌,爆桌
9725,照起工,照紀綱
9740,矮人,矮儂
9741,痱仔,疿仔
9755,當時,東時
9769,痰瀾,痰涎
9782,碗公,碗疆
9790,禁氣,禁喟
9791,碰釘,掽丁
9793,禁喙,禁嘴
9796,碗粿,碗餜
9799,碰壁,磅壁
9803,筧,梘
9811,罨,掩
9840,經跤經手,經骹經手
9840,經跤經手,經腳經手
9844,罩雺,罩濛
9844,罩雺,罩茫
9854,腡,螺
9878,落勾,落交
9888,腸仔𣻸,腸仔瘍
9905,落杓,漏桸
9909,腹肚枵,腹肚飢
9909,腹肚枵,腹肚餓
9914,聖拄聖,聖抵聖
9923,落屎,漏屎
9924,落屎星,漏屎星
9925,落屎馬,漏屎馬
9932,落氣,漏喟
9948,落湳,落坔
9953,落塗,落土
9958,落跤氣,落骹氣
9958,落跤氣,落腳氣
9967,腥臊,青臊
9969,落翼仔,落翅仔
9991,裒,紨
10004,蛾仔,蝶仔
10012,蜂岫,蜂巢
10016,試看覓,試看昧
10028,補喙齒,補嘴齒
10032,裝痟的,莊孝維
10049,試鹹汫,試鹹𩟗
10059,跤,腳
10059,跤,骹
10062,跤刀,骹刀
10062,跤刀,腳刀
10064,跤手,骹手
10064,跤手,腳手
10065,跤斗,骹斗
10065,跤斗,腳斗
10068,跤仔,骹仔
10068,跤仔,腳仔
10073,跤目,骹目
10073,跤目,腳目
10074,跤尖手幼,骹尖手幼
10074,跤尖手幼,腳尖手幼
10078,跤尾,骹尾
10078,跤尾,腳尾
10079,跤尾飯,骹尾飯
10079,跤尾飯,腳尾飯
10080,跤步,骹步
10080,跤步,腳步
10081,跤肚,骹肚
10081,跤肚,腳肚
10083,跤來手來,骹來手來
10083,跤來手來,腳來手來
10084,跤帛,跤白
10084,跤帛,骹帛
10084,跤帛,腳帛
10085,跤底,骹底
10085,跤底,腳底
10087,畫虎𡳞,話虎膦
10090,跤後肚,骹後肚
10090,跤後肚,腳後肚
10091,跤後蹬,骹後𩨑
10091,跤後蹬,腳後𩨑
10092,跤指頭仔,腳指頭仔
10092,跤指頭仔,骹指頭仔
10094,跤枷,骹椵
10094,跤枷,腳椵
10099,跤骨,骹骨
10099,跤骨,腳骨
10100,跤兜,骹兜
10100,跤兜,腳兜
10100,跤兜,腳都
10102,跤桶,骹桶
10102,跤桶,腳桶
10103,跤梢,骹騷
10103,跤梢,腳騷
10104,跤液,跤𫟊
10104,跤液,骹液
10104,跤液,腳𫟊
10105,跤梢間仔,骹踃間仔
10105,跤梢間仔,腳踃間仔
10106,跤球,骹球
10106,跤球,腳球
10111,跤筋,骹筋
10111,跤筋,腳筋
10114,跤跡,跤迹
10114,跤跡,骹跡
10114,跤跡,腳跡
10115,趒跤頓蹄,投骹蹔蹄
10115,趒跤頓蹄,投腳蹔蹄
10119,跤腿,骹腿
10119,跤腿,腳腿
10120,跤鼻臁,骹鼻臁
10120,跤鼻臁,腳鼻臁
10121,跤數,骹數
10121,跤數,腳色
10121,跤數,腳賬
10122,跤模,腳模
10123,跤模手印,骹模手印
10123,跤模手印,腳模手印
10124,跤盤,骹盤
10124,跤盤,腳盤
10125,跤踏仔,骹踏仔
10125,跤踏仔,腳踏仔
10127,跤擋,骹擋
10127,跤擋,腳擋
10132,跤頭趺,骹頭窩
10132,跤頭趺,腳頭窩
10135,跤縫,骹縫
10135,跤縫,腳縫
10138,較,校
10139,較,卡
10150,遏,折
10152,遐,許
10152,遐,赫
10165,遏手把,遏手霸
10165,遏手把,折手把
10165,遏手把,折手霸
10184,路沖,路衝
10192,遏泔,閼泔
10202,過氣,過喟
10206,較停仔,卡停仔
10208,運動埕,運動庭
10215,運途,運圖
10216,過喙,過嘴
10228,遐爾,許呢
10228,遐爾,赫爾
10228,遐爾,遐呢
10229,遐爾仔,遐呢仔
10232,過數,過賬
10241,過謙,顧謙
10241,過謙,故謙
10245,路邊擔仔,路邊担仔
10252,鉎,鏥
10257,閘,截
10261,閘日,截日
10265,閘光,截光
10267,閘車,截車
10268,銃空,銃孔
