詞目id,漢字,異用字
1577,四跤仔,四腳仔
1578,四跤仔泅,四骹仔泅
1578,四跤仔泅,四腳仔泅
1579,四跤杜定,四骹杜定
1579,四跤杜定,四腳杜定
1584,半路師,半路司
1602,可憐代,可憐事
1607,加擔,椵擔
1607,加擔,枷擔
1619,加薦仔,茭薦仔
1628,召鏡,吊鏡
1637,奶,乳
1648,扒,𢻷
1662,本人,本儂
1663,失人禮,失儂禮
1665,尻川,腳倉
1667,尻川䫌,腳倉䫌
1669,尻川口,腳倉口
1678,打扎,打紮
1682,正手爿,正手旁
1684,正爿,正旁
1686,母仔囝,母仔子
1688,奶母,乳母
1694,奶母車,乳母車
1696,本份,本分
1697,幼囝,幼子
1698,母囝椅,母子椅
1726,奶帕仔,乳帕仔
1749,尻脊,加脊
1755,打馬膠路,點仔膠路
1771,奶喙仔,乳喙仔
1771,奶喙仔,奶嘴仔
1771,奶喙仔,乳嘴仔
1784,扒飯,𢻷飯
1799,失電,熄電
1809,布機,布規
1814,奶頭,乳頭
1820,奶癌,乳癌
1830,幼麵麵,幼咪咪
1840,生,青
1845,田,塍
1845,田,堘
1848,甲,𢓜
1848,甲,徦
1848,甲,到
1862,犯人,犯儂
1874,生仔,鍟仔
1882,生份,生分
1882,生份,青份
1882,生份,青分
1883,生份人,生份儂
1883,生份人,生分人
1884,生囝,生子
1896,生冷,青冷
1901,白汫無味,白𩟗無味
1902,生狂,青狂
1907,石枋,石板
1914,目空,目孔
1931,瓦厝,瓦茨
1945,生疏,青疏
1946,生理人,生理儂
1963,生番,生蕃
1964,生菇,生菰
1975,目睭,目珠
1976,目睭仁,目珠仁
1979,目睭皮,目珠皮
1990,白跤蹄,白骹蹄
1990,白跤蹄,白腳蹄
1992,生鉎,生銹
1992,生鉎,生鏥
1994,石榴,榭榴
1999,瓦窯,瓦窰
2002,甲箬笠,甲笚笠
2002,甲箬笠,甲籜笠
2016,白頭鵠仔,白頭殼仔
2021,生鍋,鍟鍋
2030,生鐵,鍟鐵
2035,生驚,青驚
2037,白鑠鑠,白晰晰
2038,交,加
2045,份,分
2050,伨,媵
2061,先生媽,先生嬤
2062,兇狂,凶狂
2094,交懍恂,加懍恂
2094,交懍恂,交懍損
2094,交懍恂,加懍損
2096,份額,分額
2099,共,給
2124,囝,子
2129,各人,各儂
2131,在人,在儂
2133,吐大氣,吐大喟
2142,囡仔,囝仔
2144,囡仔人,囡仔儂
2151,囡仔款,囝仔款
2163,在地人,在地儂
2168,吐肉箭,吐肉搢
2182,囝兒,子兒
2200,囝孫,子孫
2205,吐氣,吐喟
2211,向望,映望
2219,合喙,合嘴
2222,囝婿,子婿
2234,吐腸頭,凸腸頭
2242,各馝,各鱉
2260,回覆,回復
2289,庄,莊
2302,字爿,字旁
2311,安份,安分
2312,好囝,好子
2315,好好人,好好儂
2334,好佳哉,好嘉哉
2334,好佳哉,好佳在
2339,好空,好孔
2369,好喙,好嘴
2370,好喙斗,好嘴斗
2371,尖喙夾仔,尖嘴夾仔
2372,尖喙掘仔,尖嘴掘仔
2389,奸詭,奸鬼
2391,庄跤,庄骹
2391,庄跤,庄腳
2392,尖跤幼手,尖骹幼手
2392,尖跤幼手,尖腳幼手
2419,好額人,好額儂
2430,扞,按
2430,扞,捍
2433,扦,䉔
2447,成人,成儂
2452,死人面,死儂面
2453,死人款,死儂款
2454,有人緣,有儂緣
2474,死囡仔䖙,死囡仔撐
2480,有耳無喙,有耳無嘴
2481,死坐活食,死坐活噍
2481,死坐活食,死坐活吃
2495,有空無榫,有孔無榫
2505,扞家,按家
2505,扞家,捍家
2526,收喙,收嘴
2534,有閒,有閑
2544,曲跤,蹺骹
2544,曲跤,蹺腳
2545,收跤洗手,收骹洗手
2545,收跤洗手,收腳洗手
2550,扞鼎灶,捍鼎灶
2550,扞鼎灶,按鼎灶
2556,扞數,捍數
2556,扞數,扞賬
2556,扞數,捍賬
2557,收數,收賬
2558,扞盤,按盤
2558,扞盤,捍盤
2563,收擔,收担
2568,死賴人,死賴儂
2570,有錢人,有錢儂
2571,扞頭,按頭
2571,扞頭,捍頭
2580,收瀾,收涎
2609,竹䈄,竹筨
2611,老人,老儂
2612,老人目,老儂目
2613,老人斑,老儂斑
2616,老大人,老大儂
2639,米奶,米乳
2656,百百空,百百孔
2676,竹披仔,竹批仔
2677,老板,老闆
2678,老爸,老父
2680,耳空,耳孔
2682,耳空重,耳孔重
2683,耳空鬼仔,耳孔鬼仔
2684,耳空輕,耳孔輕
2685,米芳,米香
2714,肉乾,肉干
2735,竹棑,竹筏
2736,行棋,行碁
2738,羊犅,羊牨
2743,老番顛,老番癲
2744,老硞硞,老痀痀
2756,肉圓,肉丸
2759,老歲仔,老伙仔
2764,竹跤,竹骹
2764,竹跤,竹腳
2765,肉跤仔,肉骹仔
2765,肉跤仔,肉腳仔
2779,竹蓆,竹𥱊
2785,米潘,米䊩
2787,灰窯,灰窰
2788,竹箬,竹籜
2788,竹箬,竹笚
2812,米蟲,米虫
2818,肉羹,肉焿
2822,米攕,米扦
2827,米粩,米荖
2827,米粩,米佬
2836,西爿,西旁
2843,西洋人,西洋儂
2859,佈,布
2862,佗,叼
2862,佗,搭
2863,佗,叼
2863,佗,搭
2868,你,汝
2879,伸勼,伸糾
2891,作田,做田
2892,作田人,作田儂
2892,作田人,做田人
2892,作田人,做田儂
2894,佗位,叨位
2930,伸跤,伸骹
2930,伸跤,伸腳
2932,作弊,做弊
2934,免數想,免賬想
2938,克虧,喫虧
2939,串講,闖講
2940,作穡,做穡
2941,作穡人,作穡儂
2941,作穡人,做穡人
2941,作穡人,做穡儂
2959,含,唅
2964,吵,訬
2968,吼,哮
2969,別人,別儂
2983,吵抐,訬抐
2983,吵抐,訬撓
2992,吵家抐宅,訬家抐宅
2993,吵家抐計,訬家抐計
3007,吭跤翹,吭骹翹
3007,吭跤翹,吭腳翹
3009,吵鬧,訬鬧
3013,呃,噎
3014,呆,獃
3016,囤,躉
3036,坑崁,坑坎
3041,坉塗,坉土
3041,坉塗,填土
3041,坉塗,填塗
3045,坐數,坐賬
3051,妝,粧
3071,尪仔,翁仔
3074,尾仔囝,尾仔子
3083,孝呆,孝獃
3093,尪架桌,紅架桌
3094,宋盼的,宋盻个
