義項id,詞目漢字,解說,對應詞目id,對應詞目漢字
3912,西藥,西醫所用的藥品，通常多為合成方法製成。,25448,中藥
3913,西藥房,販賣西洋藥物的商店。,17896,中藥店
4144,別搭,別處。,18002,仝位
4369,序大,長輩。指輩份高，年紀大的人。,18984,晚輩
4402,扭掠,形容手腳快、動作敏捷。,19008,笨傖
4404,序細,晚輩、後輩。,19063,頂沿
4602,沙屑,形容人囉嗦，不乾脆。,18844,脆氣
4665,私下,暗地裡、不公開地、不欲人知地。,733,公開
4679,私利,個人自身的利益。,24414,公益
4828,走袂離,脫逃不了或閃躲不及。,18373,走過手
4961,享受,享有受用。,25614,受難
4967,事後,事務已成定局之後，或事情發生之後。,18383,事前
4967,事後,事務已成定局之後，或事情發生之後。,24232,事先
4979,佮意,中意。喜歡、滿意。,18632,相棄嫌
5106,受害,遭到損害、侵害或殺害。,18942,得利
5112,初級,最低的層次。,19677,懸階
5116,卸貨,將貨物拆卸下來。,19334,裝貨
5137,具體,實在。實體存在，不抽象。,23735,抽象
5495,彼擺,那次。,19053,這擺
5712,抱的,養子女。抱養的子女，不是親生的子女。,19547,親生的
5716,拋近路,抄近路。由最捷近的路線行進。,19436,踅遠路
5749,拘留,拘禁扣留或是專指法律上因為觸法而被暫時性的拘押。,18436,放人
5749,拘留,拘禁扣留或是專指法律上因為觸法而被暫時性的拘押。,23270,釋放
5749,拘留,拘禁扣留或是專指法律上因為觸法而被暫時性的拘押。,25543,交保
5802,放債,遺留債務。,19604,還債
5873,拗彎,把東西從直的折成彎的。,18456,拗直
5895,東,方位名，與「西」相對。,2831,西
5934,枉死,受冤屈而死。,19089,善終
5955,昏迷,思緒昏亂迷惘，分不清事理。,25235,清醒
5956,昏迷,大腦因為受傷而失去知覺、意識，無法行動。,25235,清醒
6039,沿海,靠近海邊的地區。,24989,內陸
6064,武藝,武功技藝。,17902,文才
6130,注意,小心、留意。,18124,生猴
6147,直,不彎曲的。,2436,曲
6147,直,不彎曲的。,13192,彎
6185,直接,沒有轉折，不必透過人或事物的傳達。,23957,間接
6198,空腹,空著肚子，沒有進食。,19239,飯後
6203,知輕重,知道事情的輕重緩急。,17934,毋知輕重
6227,肥,多脂肪的。,10691,精
6328,近,指時間、地點、血統、關係等方面距離不遠的。,10857,遠
6449,表面,東西或事務的外在層面。,22545,實質
6486,長途,遙遠的路程。,19180,短途
6521,長輩,輩分高、年紀長的人。,18984,晚輩
6582,便藥仔,成藥。藥料加工調製完成的藥物。明示劑量、效能、用法，經藥劑師建議後，即可供治療疾病用。,18135,生藥
6613,前日,前幾天。,18584,後日仔
6614,南爿,南邊。南方。,24435,北方
6615,前世,上輩子。,18585,後世
6686,厚,指數量多的。,787,少
6754,厚薰,味道較重的香菸。,19592,薄薰
6777,契母,義母、乾媽。經由拜認而非親生的母親。,19545,親生母
6777,契母,義母、乾媽。經由拜認而非親生的母親。,19549,親娘
6778,契囝,義子、乾兒子。經由拜認而非親生的兒子。,19546,親生囝
6795,客,來賓，相對於「主」來說。,1295,主
6813,帝,指君權時代的國家領導者。,14758,后
6814,帝,指某一行業之男性翹楚。,14758,后
6825,客戶,指商業行為上的消費者或買方。,19482,賣方
6870,後,指時間次序上比較晚的。,2053,先
6870,後,指時間次序上比較晚的。,4699,前
6871,後,在背面的。,4699,前
6898,後代,後世，未來的世代。,24820,祖先
6918,怨妒,嫉妒。對才能或境遇比自己好的人心懷不平和怨恨。,18487,欣慕
6919,後尾門,後門。,18552,前門
6919,後尾門,後門。,19569,頭前門
6934,後面,人體或物體背面、靠後的部分。,18554,前面
6937,後個月,下個月。,19065,頂個月
7141,查某人,太太、妻子。,2059,先生
7153,查埔囝,男子漢。有大丈夫氣慨的人。,18648,穿裙的
7186,洘,指退潮。,17948,水滇
7186,洘,指退潮。,19627,翻流
7207,洘流,退潮。,17948,水滇
7207,洘流,退潮。,19627,翻流
7232,活,靈活的、不死板。,6080,柴
7447,看人無,瞧不起人。,18643,看上目
7476,看袂起,瞧不起。,18643,看上目
7491,看輕,輕視。,18643,看上目
7620,苦,五味之一。,1839,甘
7697,降,由高而低，由上而下。,775,升
7744,降落,由高而低的落下、下墜。,17940,升起
7825,風尾,風所吹向的那一方，風力所能達到的最後階段。,5676,風頭
7872,面頂,上面。,22958,下面
7922,面頭前,眼前、面前。,4945,後面
7929,食臊,茹葷。進食肉類和蔥、蒜、韭等具有辛辣氣味的蔬菜食物。,18697,食素
7931,食虧,吃虧。遭受損失或委屈。,19598,賺著
7968,倒,左邊。,1655,正
7988,凊,冷的、涼掉的、冷漠的。,11772,燒
8002,冤仇人,仇人、冤家。,18755,恩人
8012,兼任,兼職。在本職以外同時擔任別的職務。,26400,專任
8121,原告,向法院提出訴訟的人或法人。,23027,被告
8201,害,故意使別人遭受不幸。,7316,救
8289,崁跤,懸崖下。,18745,崁仔頂
8496,柴,形容人的肢體動作呆滯、不靈活。口語運用大多以重疊的形式出現。,5166,活
8592,柴頭,呆板。形容一個人木訥、不解風情。,18617,活跳
8640,海味,海產、海鮮。海洋中可以食用的動植物。,17804,山珍
8749,烏枋,黑板。用來教學的用具。用木頭製成，再漆上黑色或深綠色的不反光漆。可以用粉筆在上面書寫、繪畫，大多是教師教學時使用。,18114,白枋
8793,消極,逃避現實，意志消沉。,22188,積極
8994,粉肝,肉質細嫩的豬肝。,18774,柴肝
9083,素食,素餐。指不含葷腥食物的餐點。,18262,肉食
9127,臭人,品德惡劣，令人討厭的人。,25055,好人
9398,起鼓,開鑼、上戲、揭開序幕，傳統戲劇要上演時會先由樂師打鼓準備上戲。,19122,散戲
9410,退學,學生因為嚴重違反校規或是不及格的科目達到一定比例，而被學校當局勒令不得繼續在校就讀。,17847,上學
9410,退學,學生因為嚴重違反校規或是不及格的科目達到一定比例，而被學校當局勒令不得繼續在校就讀。,19106,就學
9530,高級,較高尚、尊貴，層次等級較高的。,17825,下等
9635,偏心,偏袒。袒護一方，對某一方存私心。,24680,公正
9659,偏名,綽號、小名。非正式的名字。,18066,正名
9721,動,改變原狀，靜的相反。,11996,靜
9838,國內,本國。國家領土以內的範圍。,22324,國外
9859,堆肥,含有肥力的動、植物、礦物質與化學肥料等混合堆積，經過腐化而成的肥料。,17978,化學肥
9902,密,事物內部空隙小、不稀疏。,12966,櫳
9983,強壯,健壯有力。,25713,衰弱
10005,得勢,得到權位、獲得有利的形勢。,18092,失勢
10006,得意,稱心如意或引以自豪。,25526,失意
10465,淺色,顏色較淺。在色彩的彩度較低，明度較高的顏色。,24104,深色
10485,淺眠,入睡不深，容易醒來。,18990,深眠
10501,淫亂,違背禮法的男女關係。,18679,貞節
10501,淫亂,違背禮法的男女關係。,18682,貞潔
10503,淺想,未經過深思熟慮的猜測。,18992,深想
10542,牽手,太太、老婆。,2059,先生
10701,窒倒街,到處都有、充斥四處。貨物多到把整條街塞得滿滿的，用來比喻東西非常多。,19658,攏無
10714,粒,煮飯時水份不夠，飯的口感較硬。,13551,𩚨
10717,粗,不精緻的。,1646,幼
10718,粗,不平滑的。,1646,幼
10719,粗,粗魯、不文雅。,1090,文雅
10725,細,小。,188,大
10737,統一,使零散、分離的事務統合為一體。,23198,分離
10762,粗俗貨,便宜貨。品質不高、不精細，價值又不貴的貨品。,19215,貴重物
10791,細膩,做事小心謹慎。,18124,生猴
10796,粗糠,稻穀脫下來的外殼，可用來當燃料或覆蓋農作物。,18100,幼糠
11031,軟弱,個性柔弱畏怯。,23233,堅強
11083,這點仔,這麼點兒、這麼少。表示體積很小或數量很少。,19347,誠濟
11134,部份,全體中的局部；整體裡的一些個體。,22278,全部
11134,部份,全體中的局部；整體裡的一些個體。,23580,全體
11135,頂勻,上輩。上一輩、上一代。,17797,下沿
11140,頂月,上個月。,17808,下個月
11141,頂月日,上個月。,17808,下個月
11144,頂世人,前世、上輩子。,18585,後世
11164,頂面,上面。,22958,下面
11179,頂港,北部。用來稱呼臺灣的北部地區。,17873,中南部
11179,頂港,北部。用來稱呼臺灣的北部地區。,22790,南部
11180,陰間,民間傳說人死後靈魂所去的地方。,19232,陽間
11187,頂過,上次。,18590,後改
11194,頂層,上一層、上層。,17841,下層
11200,頂頭,上面、上頭。,17848,下頭
11200,頂頭,上面、上頭。,22958,下面
11202,頂幫,上次，前一次。,18590,後改
11203,頂擺,上次、前回。,18590,後改
11392,喜劇,有圓滿結局的戲劇或是用誇張手法引人發笑的戲劇。,18736,哭齣
11432,喪事,人死後的殮葬、哀祭等事宜。,19083,喜事
11445,報答,酬謝恩惠。,19099,報冤仇
11478,富戶,有錢人家。,19048,貧家
11488,寒衫,冬衣、冬裝。冬天所穿的厚重衣服。,19464,熱天衫
11488,寒衫,冬衣、冬裝。冬天所穿的厚重衣服。,19467,熱衫
11489,尊重,敬重。,4680,侮辱
11495,尊敬,敬重、尊崇。,18645,看無目地
11509,悲哀,悲傷，哀痛。,13206,歡喜
11509,悲哀,悲傷，哀痛。,22353,快樂
11516,悲傷,悲哀、傷痛。,13206,歡喜
11516,悲傷,悲哀、傷痛。,22353,快樂
11559,惡人,壞人、兇悍者。行為惡劣或心地、品行壞的人。,19081,善人
11559,惡人,壞人、兇悍者。行為惡劣或心地、品行壞的人。,25055,好人
11588,惡報,不好的報應，因為過去的惡業而導致苦果。,18217,好報
11588,惡報,不好的報應，因為過去的惡業而導致苦果。,18218,好報應
11588,惡報,不好的報應，因為過去的惡業而導致苦果。,19091,善報
11605,惡霸,惡棍、地痞。獨霸一方的壞人。在地方上為非做歹，欺壓民眾的人。,25055,好人
11676,散票,零鈔、小鈔。小額的紙幣，不包含硬幣。,17778,大百的
11728,最後,時間或次序上居於最末的位置。,24232,事先
11736,暑假,各級學校因為夏天暑熱而放假，時間通常是在七月、八月。,25782,寒假
11777,減法,一種數學的運算方法。從某數減去他數，為計算兩數之差的方法。,18023,加法
11782,欺負,欺悔、欺凌。,25285,愛護
11844,無大無細,沒大沒小、沒禮貌。,18253,有禮貌
11844,無大無細,沒大沒小、沒禮貌。,18254,有禮數
11850,無毋著,沒錯。,18229,有毋著
11860,無半步,一無是處、一無所知、一竅不通。,18140,全步數
11862,無半絲,全無。一點兒也沒有，是加重語氣的用法。,19033,規大堆
11863,無半項,一樣東西都沒有。引申指人一無所知、一無是處、無能的樣子。,19033,規大堆
11866,無打緊,不要緊、沒關係。通常用於表示還有更糟的事情。,18231,有打緊
11881,無所謂,不要緊、沒關係。,18236,有所謂
11909,無夠月,早產。胎兒在子宮內發育月數不足，便因故出生。,18358,足月
11911,無夠重,不夠重、重量不足，也引申為看不起人。,18244,有夠重
11939,無較縒,沒有用。,18248,有較縒
12123,短期,短暫的時間。,22181,長期
12136,短褲,長度不超過膝蓋的褲子。,25638,長褲
12197,結果,事物的最後結局或歸宿。,6702,起因
12208,答案,問題的解答。,22102,問題
12324,菜鳥仔,新手、菜鳥。戲稱團體中的新進人員，或一項行業的新手。,24223,老鳥
12565,鈍,笨拙緩慢。,3180,扭掠
12565,鈍,笨拙緩慢。,7573,猛
12680,雄,陽性的性別。,19437,雌
12801,傷心,心中悲痛。,13206,歡喜
12801,傷心,心中悲痛。,22353,快樂
12899,圓圓,圓圓的。,18592,扁扁
13115,新曆,本國採用之世界通行新曆法，屬「陽曆」的一種，以別於漢族傳統通行的「舊曆」。,23964,農曆
13134,搦權,掌權。,18092,失勢
13135,暗,黑暗。,2054,光
13136,暗,夜深。,2435,早
13274,歁歁,呆呆笨笨的。,18084,巧骨
13588,落水,貨物堆積上船。,18866,起水
13613,落尾,後來、最後。,1323,代先
13613,落尾,後來、最後。,24232,事先
13614,落尾手,後來、最後。,9117,進前
13614,落尾手,後來、最後。,24232,事先
13653,落衰,走背運、走霉運。,18194,好字運
13683,落價,降價、減價。,19411,漲價
13833,跤尖手幼,細皮嫩肉、玉手纖纖。,19022,粗跤粗手
13886,誠實,真實的、真的。,18906,假的
14048,過意,安心。,18095,未過心
14048,過意,安心。,19359,過袂得去
14205,隔轉工,翌日、隔天。,18545,前一工
14205,隔轉工,翌日、隔天。,18546,前一日
14273,嘐潲話,吹牛、虛妄的大話。,18276,老實話
14273,嘐潲話,吹牛、虛妄的大話。,19389,實在話
14426,慢性,性情不急躁。,4939,急性
14661,精,肉的脂肪少。,4420,肥
14702,算袂和,划不來。不合算、不值得。,19288,會和盤
14847,誤解,誤會。判斷錯誤。,22132,了解
14850,趕緊,加快動作的速度。,29578,勻聊仔
15043,增加,增添、加多。,22177,減少
15299,熟手,對於某種事物專精熟練的人。,24586,菜鳥
15636,請假,因病或事情而請求准許休假。,19489,銷假
15953,懊嘟嘟,氣嘟嘟、擺臭臉。臉臭臭的，懊惱的樣子。,18820,笑咪咪
16059,燒,溫暖。,2874,冷
16059,燒,溫暖。,7474,涼
16060,燒,溫度高。,2103,冰
16060,燒,溫度高。,2874,冷
16071,燒水,熱水。溫度高的水。,25073,冷水
16247,親切,和善懇切。,24038,冷淡
16445,頭前,前面、前方。指空間、次序上比較先的。,4930,後尾
16445,頭前,前面、前方。指空間、次序上比較先的。,4945,後面
16539,優點,好處、長處。,17984,欠點
16662,濟濟,很多、數量眾多。,17905,少少
16755,臊,葷食。,6479,素
16755,臊,葷食。,8930,菜
16929,闊莽莽,形容非常遼闊，一望無垠。,18802,狹櫼櫼
16935,闊閬閬,非常寬闊。,18802,狹櫼櫼
17104,舊式,舊有的形式或樣式。,26545,新式
17131,舊曆,農曆。漢族傳統通行的曆法，屬「陰陽合曆」的一種。大月三十天，小月二十九天；平年一年十二個月，閏年十三個月。,18934,國曆
17204,謹慎,對自己的言行或外界事務格外小心仔細，以避免有不利或不幸的事情發生。,18124,生猴
17275,雞屎運,嘲諷或自嘲意外得到的好處。,18864,衰潲運
17313,離緣,離婚。夫婦依照法定手續解除婚姻關係。,22534,結婚
17514,譀話,空話。不切實際的話。,19389,實在話
17611,懸,高、高聳、高挺。,170,低
17689,贏面,上風、勝算、優勢。指處於有利的形勢或環境。,19144,無面
17720,鹹,含鹽分或鹽味的。,3278,汫
17896,彎,不直的、彎曲的。,4373,直
18373,𤲍,擁擠。,582,冗
18472,大伯仔,丈夫的大哥。,17791,小叔仔
18474,小食,食量小的。,19752,大食
18530,定親,訂婚、文定。男女雙方在結婚前締定婚約的儀式。,18883,退親
18542,前世人,前世、上輩子。,18585,後世
18545,後過,下次。將來。,19058,頂回
18575,袂赴市,時間短暫，無法趕上或顧及。,19788,會赴
18575,袂赴市,時間短暫，無法趕上或顧及。,19789,會赴市
18577,起帆,揚帆。撐起船帆，常指準備出航。,19790,落帆
18591,接神,迎接神佛。,19795,送尪
18592,晚冬,二期稻作。,8030,頂冬
18593,涼的,冷飲或冰品的總稱。,19802,燒的
18596,深山林內,深山窮谷、窮山僻壤。人跡罕至的偏遠山區。,19805,繁華都市
18616,無盤,不划算。,19288,會和盤
18616,無盤,不划算。,19813,會和
18645,新正年頭,農曆春節期間。,19829,年尾兜
18645,新正年頭,農曆春節期間。,19830,舊年尾
18655,落台,下臺。走下舞臺、講臺等。,23550,上台
18656,落台,下臺。比喻離開或被解除高階職務。,298,上任
18663,路尾,路的盡頭。,10238,路頭
18674,實䈄,竹子或甘蔗的節與節之間的距離較短。,19317,落目
18680,滾耍笑,開玩笑。,19837,做正經
18759,一疕仔,一小片、一點點。形容微不足道，帶有貶義。,19868,一大片
18767,入心,形容接受進去，常做補語。,19872,馬耳東風
18771,上尾,最後。,19874,上頭
18809,反種,生物由原種變生的新種。,19894,正種
18811,反種,混種的。,19894,正種
18819,少歲,年輕。,19898,濟歲
18836,歹吉兆,凶兆。壞的預兆。,19908,好吉兆
18836,歹吉兆,凶兆。壞的預兆。,19909,好頭彩
18837,歹吉兆,不吉利。,19908,好吉兆
18874,仝沿,同輩、同儕、平輩。可指同年齡層或同輩份。,19930,頂下沿
18889,外埠頭,外地、外鄉鎮。,19944,本埠
18894,平洋,平原、平地。平坦廣闊的原野。,24184,山地
18895,正範,真品、真貨。也指正牌，正規，名副其實的身份。,19949,假範
18928,在欉的,指水果剛從樹上摘下來。,19965,隱的
18933,好代,好事、善行事。,19966,歹事
18934,好代,好消息。,19966,歹事
18936,好份,好份。好的部份。,19967,歹份
18938,好看頭,指模樣好，有看頭。,1000,歹看相
18938,好看頭,指模樣好，有看頭。,19968,歹看頭
18969,自家用的,指自家轎車；私人使用的。,19982,計程仔
18969,自家用的,指自家轎車；私人使用的。,19983,叫客的
18969,自家用的,指自家轎車；私人使用的。,19984,營業車
19089,門口埕,前庭、前院。,20038,後埕
19089,門口埕,前庭、前院。,20039,後壁埕
19089,門口埕,前庭、前院。,20040,後尾埕
19090,文光尺,小木匠師所用的尺，長度為一尺四寸四，其上刻有「財病離義官劫害本」八格的吉凶尺寸，多用於丈量門窗，一般的師傅常將「文光尺」和「魯班尺(魯班公尺)」視作相同的尺，但也有不同地方的師傅認定兩者是不同的尺。門光尺為陽宅所用，陰宅則用丁蘭尺。民間一般寫作「文公尺」，建築勘輿學者則認為與「門光星」有關聯，因此也寫做「門光尺」。,20041,丁蘭尺
19101,咱人,指農曆。可以說是「咱人的曆日」(lán-lâng ê la̍h-ji̍t)的簡略說法，是臺灣人原本使用的傳統曆法，相對於日治時代日本人引進的新式曆法。,18934,國曆
19107,巷仔內的,行家、內行人。「巷仔內」本指巷子裡，和「行仔內」(hâng-á-lāi)諧音相關，用於指某行業、領域內的行家、專家。,20050,外行的
19107,巷仔內的,行家、內行人。「巷仔內」本指巷子裡，和「行仔內」(hâng-á-lāi)諧音相關，用於指某行業、領域內的行家、專家。,20051,外行人
19151,限時批,限時信。郵政用語，寄送時間較平信為短的信件。,20070,普通批
19151,限時批,限時信。郵政用語，寄送時間較平信為短的信件。,20071,平信
19177,倒拗,反折。,20074,正拗
19180,倒轉去,回去、返家。,22551,出去
19193,師仔工,指學徒等級的工錢或技術。,20075,師傅工
19243,草地倯,土包子、鄉巴佬。戲稱沒見過世面、不懂規矩的鄉下人。,20091,臺北倯
19243,草地倯,土包子、鄉巴佬。戲稱沒見過世面、不懂規矩的鄉下人。,20092,市內倯
19246,荏身命,天生體質虛弱，容易生病。,20096,勇身命
19264,退流,退潮。,17948,水滇
19264,退流,退潮。,19627,翻流
19264,退流,退潮。,20107,飽流
19276,做水,淹水、鬧水災。,20112,做旱
19290,徙岫,動物遷徙窩巢。也用來戲稱人搬家、挪動桌位等。,24051,定居
19314,規家伙仔,全家人。,20139,一箍人
19320,軟市,市場交易不熱絡。,20145,利市
19392,買手,買主。,20165,賣主
19399,韌命,有韌性、生命力強，經得起磨難。,20168,脆命
19430,極加,最多、頂多。用來說明數量上、程度上等頂多如何。,17814,上起碼
19432,歇睏日,假日。,20182,上班日
19433,歇睏時仔,休息時間。,20183,上班時間
19434,歇睏時仔,假日。,20182,上班日
19442,矮仔冬瓜,矮冬瓜。對矮小的人的謔稱。,27347,躼跤的
19443,矮鼓,指身材矮小的意思。,20191,懸大
19454,落山,下山。,225,上山
19456,落貨,卸貨。搬下所載的貨物。,19334,裝貨
19456,落貨,卸貨。搬下所載的貨物。,20196,疊貨
19502,漚步,賤招、卑劣的伎倆、手段。,20222,君子步
19503,漚屎步,惡劣手段。惡劣的方法或計謀。,20222,君子步
19509,緊氣,迅速、速度快。「氣(khuì)」是形容詞後綴。,20225,慢氣
19513,趖跤趖手,形容動作慢吞吞，拖拖拉拉，反應遲鈍。,20226,緊跤緊手
