義項id,詞目漢字,解說,對應詞目id,對應詞目漢字
12746,飯菜,食物。米飯和菜餚，主食和副食的合稱。,19199,菜飯
12758,飯篋仔,飯盒、便當盒。,18544,便當盒仔
12760,飯篱,笊篱。一種用來舀飯去米汁，有篩孔的杓子。,18823,笊籬
12798,勢力,權勢。權力、威勢。,25963,權勢
12814,傳後嗣,傳宗接代。,19246,傳香煙
12815,傳染,疾病由某一個體侵入另外一個個體。可分為直接接觸的直接傳染，以及需靠媒介傳播病菌的間接傳染。,17236,穢
12844,亂鐘仔,鬧鐘。,19176,琴鐘仔
12844,亂鐘仔,鬧鐘。,19500,鬧鐘仔
12926,嫁娶,男婚女嫁之事。結婚。,22534,結婚
13084,搬厝,搬家。,18948,徙厝
13108,搬運,把東西移動或運送到別的地方。,19007,移徙
13115,新曆,本國採用之世界通行新曆法，屬「陽曆」的一種，以別於漢族傳統通行的「舊曆」。,18934,國曆
13196,暗眠摸,黑漆漆、一片漆黑。形容很黑很暗，什麼都看不到。,19292,暗墨墨
13202,會得通,可以、得以、能夠。,19290,會通
13217,暗漠漠,黑漆漆。形容非常黑暗的樣子，完全看不見。,19292,暗墨墨
13219,暗趖趖,黑漆漆。形容漆黑一片。,19292,暗墨墨
13219,暗趖趖,黑漆漆。形容漆黑一片。,19723,暗挲挲
13248,歇工,停工。,26376,停工
13251,溝仔,水溝。疏通流水的溝道。,17963,水溝仔
13253,溪仔墘,河岸、溪畔。溪河的岸邊。,19299,溪墘
13254,歇冬,放寒假。,18445,放冬
13255,溢奶,漾奶。嬰兒由於發育未成熟，胃和食道間不能完全阻隔，所以胃裡的奶水易反流而從嘴溢出。,18160,吐奶
13256,溢刺酸,指人體中胃酸逆流的現象。,18306,呃刺酸
13257,準拄好,扯平。互不相欠，有「算了」的意思。,18393,兩抵償
13258,溫柔,溫和柔順。,22768,溫和
13260,溪哥仔,溪哥、粗首。魚名。屬鯉科，體型約十五公分長，成雄魚身上有約十條的淺藍色條紋。分佈於臺灣各溪流中下游及湖泊，是臺灣特有的溪魚。,18109,石兵仔
13274,歁歁,呆呆笨笨的。,19296,歁大呆
13277,溫馴,溫順、溫和。溫和馴良、平和不粗野。,22768,溫和
13284,歲頭,歲數、年齡。指年齡的大小。,22388,年齡
13289,溫罐,熱水瓶、保溫瓶。一種日常用品。外殼通常以鐵皮或塑料等做成，內裝瓶膽。瓶膽由雙層玻璃製成，夾層中的兩面鍍上水銀等金屬，中間抽成真空，瓶口有塞子，可在較長時間內保持瓶內溫度。,19516,燒水罐
13289,溫罐,熱水瓶、保溫瓶。一種日常用品。外殼通常以鐵皮或塑料等做成，內裝瓶膽。瓶膽由雙層玻璃製成，夾層中的兩面鍍上水銀等金屬，中間抽成真空，瓶口有塞子，可在較長時間內保持瓶內溫度。,19530,燒罐
13289,溫罐,熱水瓶、保溫瓶。一種日常用品。外殼通常以鐵皮或塑料等做成，內裝瓶膽。瓶膽由雙層玻璃製成，夾層中的兩面鍍上水銀等金屬，中間抽成真空，瓶口有塞子，可在較長時間內保持瓶內溫度。,29308,溫瓶
13349,照呼照行,依約行事。依照之前說好的來進行。,19304,照品照引
13349,照呼照行,依約行事。依照之前說好的來進行。,19730,照品照行
13434,碌硞馬,小孩子所乘坐的玩具木馬，能夠前後晃動。,19310,碌硞馬仔
13480,義子,經由收養或拜認而非親生的兒子。,19313,義囝
13480,義子,經由收養或拜認而非親生的兒子。,19542,螟蛉
13485,節省,節約。,19443,儉用
13485,節省,節約。,19446,儉省
13490,節脈,把脈。一種診察脈象的方法。用食指、中指和無名指三指端，按在被檢查者橈動脈約手掌後一寸的地方，探查脈象變化。,19403,摸脈
13505,經跤經手,指做起事來纏手纏腳的。,19731,纏跤纏手
13527,腡,手指上螺旋狀的指紋。,18606,指頭仔痕
13533,腸,腹腔消化器官之一，有消化及吸收的功能。,28969,胃腸
13561,落,花時間、下工夫。,169,下
13567,落䈄,竹子或甘蔗等的節距較長。,19317,落目
13570,落人的喙,落人口實。即遭受他人的批評。,18104,犯人欹
13614,落尾手,後來、最後。,9700,煞尾
13635,落南,南下。到南方、向南方行進。,18177,回南
13636,落屎,拉肚子、腹瀉。,19621,瀉腹
13637,落屎星,流星、賊星。星名。夜晚快速飛越天空的輝亮星體。原為太空中漂浮的塵埃、碎片，進入地球大氣層後，與空氣摩擦燃燒發光，而形成如箭的光跡。,18805,疶屎星
13637,落屎星,流星、賊星。星名。夜晚快速飛越天空的輝亮星體。原為太空中漂浮的塵埃、碎片，進入地球大氣層後，與空氣摩擦燃燒發光，而形成如箭的光跡。,23144,流星
13643,落胎,流產。,17819,小產
13643,落胎,流產。,19955,走胎
13658,落第,留級。學生的學業成績未達升級標準，而留在原來的年級重讀。,18806,留級
13694,落臉,丟臉、沒面子。,18081,失面子
13694,落臉,丟臉、沒面子。,19145,無面子
13700,葉,植物的一部分。生於枝幹上，專營呼吸、蒸發等作用。,25915,樹葉
13756,試看,試一試、試試看。,19333,試覓
13757,試看覓,試試看。,19333,試覓
13795,試鹹汫,試味道。,19337,試鹹淡
13822,跤手,手段、伎倆。,18208,奸計
13827,跤仔,嘍囉、部下。小角色、跑腿的。,19024,細漢的
13846,跤帛,裹腳布。舊時女子纏足用的布條。,28604,纏跤布
13882,誠意,真心、誠心。,24608,誠心
13886,誠實,真實的、真的。,18812,真的
13891,跤鼻臁,腳的脛骨。,19348,跤臁
13907,跤頭趺,膝蓋。大腿與小腿相連處的外部關節。,19346,跤頭碗
13908,誠懇,老實、忠厚。形容對人真誠而懇切的樣子。,24608,誠心
13939,過,傳染。,17236,穢
13957,較大面,可能性比較大。,22314,大約
13965,過手,過關、完成目標。,24614,過關
13992,較早,以往、以前。,2460,早日
13992,較早,以往、以前。,9744,當年
14004,過往,過去。,10168,過去
14015,過面,過關、脫離險境、平安通過難關。,24614,過關
14016,過時,退流行，不合時宜。,18876,退時行
14039,過喙,傳話、轉述。,18938,寄喙
14059,過磅,指超過了基本的數量或規定。,9089,超過
14059,過磅,指超過了基本的數量或規定。,10195,過度
14059,過磅,指超過了基本的數量或規定。,10239,過頭
14109,閘屏,屏風。室內用來擋風或隔間、遮蔽的用具。,28809,屏風
14149,頓手,握手。,18318,扲手
14180,頓椅頓桌,用力捶桌子、椅子，表示強烈的抗議、反對。,19732,搭椅搭桌
14180,頓椅頓桌,用力捶桌子、椅子，表示強烈的抗議、反對。,19733,摔椅摔桌
14205,隔轉工,翌日、隔天。,19003,第二工
14211,電罐,熱水瓶、保溫瓶。一種日常用品。外殼通常以鐵皮或塑料等做成，內裝瓶膽。瓶膽由雙層玻璃製成，夾層中的兩面鍍上水銀等金屬，中間抽成真空，瓶口有塞子，可在較長時間內保持瓶內溫度。,19516,燒水罐
14228,鼓勵,用言語或舉止來鼓舞勉勵別人。,23260,鼓舞
14413,摖,刷子。指可捏在手中的小型刷洗用具。又稱「摖仔」。,19399,摖仔
14420,慢火,文火、微火或小火。,17714,䆀火
14431,慷慨,大方而不吝嗇。,17765,大手面
14434,慢慢仔,緩緩地、緩慢地。,17857,勻仔
14435,慢慢仔是,慢慢來。安撫人的話語，叫人別著急。,17856,勻勻仔是
14435,慢慢仔是,慢慢來。安撫人的話語，叫人別著急。,19028,聊聊仔是
14480,敲電話,打電話。,19279,摃電話
14480,敲電話,打電話。,19382,鼓電話
14500,歌手,以唱歌為業的人。源自日語「歌手（かしゅ）」。,25316,歌星
14503,滾水罐,熱水瓶、保溫瓶。一種日常用品。外殼通常以鐵皮或塑料等做成，內裝瓶膽。瓶膽由雙層玻璃製成，夾層中的兩面鍍上水銀等金屬，中間抽成真空，瓶口有塞子，可在較長時間內保持瓶內溫度。,19516,燒水罐
14533,漆,油漆。,25627,油漆
14559,漩尿,小便。男子排尿的動作。,18449,放尿
14559,漩尿,小便。男子排尿的動作。,25995,小便
14576,演講,演說、講演。,24147,演說
14577,演講,演說會。,24147,演說
14578,漢醫,中醫。,766,中醫
14579,漢藥,中藥。中醫所用的藥物。,25448,中藥
14580,漢藥店,中藥鋪。中醫診治疾病和販賣中藥材的地方。,17896,中藥店
14580,漢藥店,中藥鋪。中醫診治疾病和販賣中藥材的地方。,19478,參藥引
14586,漚鬱熱,悶熱。天氣熱，空氣不流通。,19409,漚翕熱
14702,算袂和,划不來。不合算、不值得。,18859,袂和盤
14704,管區的,在負責的管區內，執行例行巡邏勤務的警察。,19680,警察仔
14708,算無盤,不划算、划不來。,18859,袂和盤
14756,綴會仔,跟會。參加民間的互助會。,18147,份會仔
14856,說謝,道謝。用言語表示謝意。,19367,道謝
14869,遠,時間、空間的距離大，或是血統、交情等關係不近。,24556,偏遠
14869,遠,時間、空間的距離大，或是血統、交情等關係不近。,25329,遙遠
14886,遛手,失手，握不住物體。,18357,走手
14895,遛疕仔,小鬼、小鬼頭。對小孩不客氣的稱呼。,17815,小鬼
14895,遛疕仔,小鬼、小鬼頭。對小孩不客氣的稱呼。,18159,囡仔鬼
14908,銀票,鈔票。也就是紙幣。,18825,紙字
14911,輕視,歧視、看不起。用不公平的眼光、角度看待別人。,18645,看無目地
14913,踅踅唸,喋喋不休。一直重複嘮叼不停，說來說去都是說一樣的話。,17719,㴙㴙唸
14954,骰仔,骰子。一種遊戲或賭博用的小方塊。六面分別刻上一、二、三、四、五、六點，一、四漆紅色，其餘為黑色。,17759,三六仔
15014,儉儉仔用,節用、節儉、節省。,19443,儉用
15014,儉儉仔用,節用、節儉、節省。,19446,儉省
15025,噗,東西凸起來。,11857,膨
15026,噗,形容東西凸凸的。,11857,膨
15085,影,看一眼、注意一下。,5308,看
15088,廚子,廚師。掌理廚房烹飪事務，並以此為職業的人。,19146,煮食師傅
15089,廟公,廟祝。主管廟內香火事務的人。,18743,宮公
15089,廟公,廟祝。主管廟內香火事務的人。,19451,廟祝
15100,廟寺,寺廟、寺院。佛寺的通稱。,23287,寺院
15116,寬寬仔是,慢慢來。叫人不要著急。,17856,勻勻仔是
15116,寬寬仔是,慢慢來。叫人不要著急。,19028,聊聊仔是
15135,撞,碰擊、擊打。,5982,挵
15207,數念,想念、掛念、懷念。,28739,掛念
15302,熟似,熟識。素來認識。,26263,相識
15310,澎湖菜瓜,稜角絲瓜、角瓜。瓜果類。是澎湖特產的絲瓜，外表有條溝狀花紋，下大上小，呈圓錐狀。質脆味美，和臺灣絲瓜大相逕庭。因為有十個稜角，所以又叫「十捻」，和「雜念」諧音，有句歇後語「澎湖菜瓜──十捻」，就是從這個意象引申出來的。,18362,角瓜
15311,潤餅𩛩,春捲。將麵糰攤薄烙熟後，捲包五花肉絲、豆芽、香菜、紅蘿蔔絲及筍絲等製成的食品。,19462,潤餅
15343,瘦卑巴,瘦巴巴、瘦骨如柴。,19466,瘦疕疕
15356,盤話,爭論、鬥嘴。,19679,觸喙
15372,窮,貧乏、貧困。,15885,貧
15373,窮,貧乏、貧困。,19040,貧
15396,稻草,稻子收成之後剩下的枯莖，可以用來編織、蓋屋、造紙或做為飼料、燃料等。,29314,稻稿草
15398,磕袂著,動不動就……。,19736,磕未著
15435,緣故,因由、原因。,22140,原因
15440,寸棗,寸棗。一種中式油炸點心，長度大約一寸。在過年時，常和「冬瓜糖」(tang-kue-thn̂g)、「生仁」(sing-jîn)、「糕仔」(ko-á)等混在一起成為點心拼盤。,17824,糋棗仔
15441,練痟話,胡說八道、隨便亂說話。,19603,講戇話
15447,線路,路線。交通工具所經過的途徑。,22641,路線
15494,蝦米,去殼晒乾的小蝦子。,29317,金鉤蝦
15505,蔥頭,洋蔥。草本植物。原產在地中海東岸、西亞細亞、伊朗。葉子中空，形狀像蔥但很細。花小，色白。長在地下的鱗莖也稱為「洋蔥」，為扁球狀，紅紫色或白、褐等色，可供食用。,17851,大頭蔥
15540,褒嗦,恭維。用正面、肯定的言語對別人稱讚、誇獎。,19481,褒囉嗦
15549,調養,調理保養。,22681,保養
15553,請,邀約。,26711,邀約
15591,踏斗,睡床前的踏腳臺。,19345,跤踏枋
15596,豬母奶仔,馬齒莧。草本植物。莖下部匍匐，平臥地面，葉小，呈倒卵形，上面深綠，下面較淡，邊有薄翅，性耐旱，味酸性寒。多生於路旁、荒地，以前的養豬人家多常用來餵豬，以促進泌乳。,29589,豬母奶
15597,豬母奶仔,稜果榕。木本植物。樹皮灰白色，光滑，葉有柄，呈卵形或橢圓形，葉面有透明腺點。果實為扁球形，綠色，表面有稜和多數斑點，因為乳汁很多，所以稱為「豬母奶仔」。,29589,豬母奶
15617,趣味,興趣。,11879,興趣
15619,踏枋,舊式床鋪前所放置的長形小凳子或小櫃子，可以蹬腳，也可以當作鞋櫃使用。,19344,跤踏
15619,踏枋,舊式床鋪前所放置的長形小凳子或小櫃子，可以蹬腳，也可以當作鞋櫃使用。,19345,跤踏枋
15621,豬油粕仔,用高溫把豬的肥肉爆出豬油之後剩下的脂肪渣滓。,29587,豬油粕
15656,豬跤麵線,豬腳麵線。豬腳與麵線一起煮成的食物，民間習俗認為吃豬腳麵線可以去除霉運。過生日的時候也常食用豬腳麵線，象徵長壽。,19387,壽麵
15699,遷居,搬移住所。,18948,徙厝
15783,養的,對養子女的泛稱。,367,乞的
15783,養的,對養子女的泛稱。,672,分的
15783,養的,對養子女的泛稱。,4039,抱的
15815,齒抿仔,牙刷。,19497,齒抿
15820,魟魚,"魟魚。魚類。身體扁平，略呈圓形或菱形，尾部細長呈鞭狀，有毒，被刺中會疼痛。喜歡棲息在泥砂底層的海域。澎湖諺語「一魟、二虎、三沙門、四板午……」(it hang, jī hóo, sann sua-mn̂g, sì pán-ngóo……)，意思是凡是被這幾種魚刺到，都會令人吃不消，而排名第一的就是「魟魚」。",19495,魟仔魚
15855,噯仔,嗩吶。樂器名，一種吹奏樂器。以木管為身，由細漸粗，上開八孔。木管上端為一細銅管，前端可套以葦製哨子，木管末端套接一個喇叭形的銅管。音色高亢宏亮。,17779,小吹
15855,噯仔,嗩吶。樂器名，一種吹奏樂器。以木管為身，由細漸粗，上開八孔。木管上端為一細銅管，前端可套以葦製哨子，木管末端套接一個喇叭形的銅管。音色高亢宏亮。,19004,笛仔
15905,擔,以肩挑物。,2429,扛
15952,擂鼓,打鼓。,18470,拍鼓
16101,獨獨,僅僅、只有。,19100,單單
16152,糖含仔,一種含在嘴裡的小糖球。,18298,含仔糖
16190,興衰,興盛與衰微。,18861,衰旺
16190,興衰,興盛與衰微。,19540,興敗
16195,膨鼠,松鼠。外形像老鼠但大些，尾巴長且膨鬆，常棲於樹上，吃果實。,19539,膨尾鼠
16220,褪齒,換牙。乳齒逐一脫落，由恆齒長出替換的現象。一般人在六歲到八歲時開始換牙，十二歲到十四歲時全部換成恆齒。,19119,換喙齒
16252,諞仙仔,騙子、郎中。指用謊話或詭計去陷害別人的人。,19544,諞仙
16269,親密,親近。關係親近密切。,22338,接近
16272,親戚,血親和姻親的總稱。,18278,血親
16276,親愛,關係密切、情感深厚。,24197,心愛
16281,貓頭鳥,貓頭鷹、夜鴞。禽鳥類。眼睛大而圓，肉食性，晝伏夜出，捕捉鼠、麻雀等小動物。,19551,貓頭鷹
16283,貓霧光,曙光出現時的光亮。,17947,天欲光
16308,扮公伙仔,扮家家酒。一種常見的兒戲。小孩間各自扮演家庭腳色，擬構各種情節進行遊戲，可單人玩，也可以多人玩。,19552,扮公家伙仔
16308,扮公伙仔,扮家家酒。一種常見的兒戲。小孩間各自扮演家庭腳色，擬構各種情節進行遊戲，可單人玩，也可以多人玩。,19555,扮家伙仔
16323,遺書,死者所遺留下來的文字。,17922,手尾字
16325,遺產,人死後所遺留下來的一切財產。,18809,祖公屎
16325,遺產,人死後所遺留下來的一切財產。,18810,祖公產
16338,鋸鑢仔,銼刀。用鋼鐵製成，上面有細齒，可用來磨銅、鐵、竹、木等物品的工具。,19558,鋸鑢
16360,錯手,失手。不小心而造成的錯誤。,18357,走手
16380,錦蛇,爬蟲類動物。身體有美麗的花紋，體型巨大，常達三公尺以上，不具毒性，通常用身體將獵物勒死後吞食。多分布於熱帶森林中。,17800,山剌
16380,錦蛇,爬蟲類動物。身體有美麗的花紋，體型巨大，常達三公尺以上，不具毒性，通常用身體將獵物勒死後吞食。多分布於熱帶森林中。,19480,蝻蛇
16381,錢袋仔,錢袋、錢包。,19562,錢橐仔
16381,錢袋仔,錢袋、錢包。,19563,錢囊仔
16382,錢筒仔,撲滿、存錢筒。,19561,錢筒
16393,錢櫃,金櫃、金庫。,18539,金櫃
16402,頭,居前的領導人物。,1219,王
16420,頭人,首領、領袖。,17713,𤆬頭的
16427,骿支骨,肋骨。人或高等動物胸腔兩側弓形的扁骨。前端有軟骨連接兩邊，後端和脊柱相接，形成胸廓，有保護胸腔內臟及控制呼吸的作用。,19735,排仔骨
16430,頭牙,土地公生日。漢族傳統民俗節日之一。農曆二月初二。這天是土地公生日，也是農曆年後第一次祭祀土地公，所以該次的祭祀土地公稱做「頭牙」。,17775,土地公生
16445,頭前,前面、前方。指空間、次序上比較先的。,5605,面前
16457,頭陣,最前面的隊伍、先鋒。,24713,先鋒
16458,骿條骨,肋骨。人或高等動物胸腔兩側弓形的扁骨。前端有軟骨連接兩邊，後端和脊柱相接，形成胸廓，有保護胸腔內臟及控制呼吸的作用。,19735,排仔骨
16473,頷頸,脖子。,19565,頷仔頸
16536,優美,優雅、美好。形容人、事物、動作優婉嫻雅，令人產生舒服的美感。,23104,優雅
16539,優點,好處、長處。,22631,好處
16564,應公仔,在墓場的某處發現的無主骨灰，供起來參拜的對象。,18260,百姓公
16564,應公仔,在墓場的某處發現的無主骨灰，供起來參拜的對象。,19323,萬善公
16571,應用,實用。,23035,實用
16594,彌補,補足、補償。,23520,補償
16651,濟少,多多少少。,18187,多少
16700,糞口,肛門。,18054,尻川空
16700,糞口,肛門。,18055,尻川頭
16708,總計,合計。,24028,合計
16730,總舖師,指大廚師。,19146,煮食師傅
16730,總舖師,指大廚師。,19722,總舖
16736,總額,總數、合計。統括合計的數目。,28024,總數
16740,罾,漁網。以數條繩索綁住網子數點，再將繩索集中吊起漁網，漁網中放誘餌再沉入水裡，一段時間後把漁網拉起，即有魚蝦困在漁網內。,19079,魚罾
16790,聲勢,聲威和氣勢。,19472,範聲
16848,趨,傾斜。,7429,斜
16855,謄本,文件的抄本或副本。,836,戶口抄本
16856,講白賊,說謊、撒謊。,19601,講嘐潲
16884,講嘐潲話,吹牛、說大話、胡說八道。,19601,講嘐潲
16885,講演,演講。向大眾講述自己對於某個問題的見解。,24147,演說
16890,蹊蹺,怪異、違背常情。,11086,憢疑
16890,蹊蹺,怪異、違背常情。,18430,怪奇
16936,隱瞞,遮瞞。隱藏事實的真象，不讓別人知道。,19535,瞞崁
16978,黜塗機,挖土機、推土機。可以挖掘沙土或岩石的機械車，通常也可以進行堆積搬運的作業。,17718,𣁳仔車
16985,黏黐黐,黏答答。形容黏黏溼溼的樣子。,17723,𣻸捋捋
17010,擲㧒捔,丟掉。,19117,摒挕捒
17010,擲㧒捔,丟掉。,19617,擲挕捒
17012,檫仔,掛軸、掛像。,18972,掛軸
17022,斷腦筋,大腦出血性中風。病名。因中風引起腦出血，導致不省人事或身體癱瘓，甚至死亡的疾病。,19315,腦充血
17131,舊曆,農曆。漢族傳統通行的曆法，屬「陰陽合曆」的一種。大月三十天，小月二十九天；平年一年十二個月，閏年十三個月。,23964,農曆
17132,翻頭,回頭再來。,19630,翻箍
17154,藏水沬,潛水。,19632,藏沬
17197,轉來,回來。,19738,倒轉來
17259,醬瓜仔,用醬醃漬的瓜類食品。,19641,醬瓜
17267,雞卵卷,蛋卷。用雞蛋、麵粉等原料調勻烘培，捲成長圓形的食品。,18960,捲枝仔
17280,雜差仔工,非正式、不固定的打雜工作。,17764,工友
17280,雜差仔工,非正式、不固定的打雜工作。,19645,雜差仔
17294,雜貨,什貨。日常生活中各式各樣的零星貨品。,19646,雜貨仔
17301,雞榆,臺灣櫸木。木本植物。臺灣上等木材名稱。,19644,雞油
17302,鎮煞,鎮邪。用法術或符咒鎮壓邪魔鬼怪。,27504,制煞
17355,額頭,眉毛上方，頭髮下方的部分。,19575,頭擴
17362,鯉魚,魚類。嘴的外觀呈鈍圓形，有長短觸鬚各一對。脊鰭長、尾鰭分叉。以水草及魚蝦貝類為食物。現在大多以人工飼養為主，主要做為食用魚。,17717,𩸙魚
17363,鯊魚,魚類。身體為紡錘形，稍扁，胸、腹鰭大，尾鰭發達。生活在深海中，性凶猛，行動敏捷，經濟價值高。,17852,大鯊
17366,嚨喉空,咽喉、喉管。位於嘴、鼻孔後面；食道和氣管之間，具有多個孔道的囊狀區域。,19084,喉空
17367,嚨喉蒂仔,小舌、懸壅垂。位於口內上顎，軟口蓋後端的小肌肉，呈圓錘形狀。,19655,嚨喉鐘仔
17383,懶屍,懶惰。,7966,貧惰
17383,懶屍,懶惰。,7967,貧惰骨
17385,懷胎,懷孕。,18232,有囡仔
17385,懷胎,懷孕。,18235,有矣
17432,簽約,雙方訂定合約，並在合約上簽名蓋章，以表示同意。,23610,契約
17436,羅漢跤仔,無家可歸的流浪漢。,8262,單身
17436,羅漢跤仔,無家可歸的流浪漢。,19519,獨身仔
17689,贏面,上風、勝算、優勢。指處於有利的形勢或環境。,19353,較有面
17700,警察,依法維持公共秩序，保護社會安寧的治安人員。,19680,警察仔
17715,饒赦,饒恕、原諒、寬恕。,24156,寬恕
17719,鰗鰡,泥鰍。溫帶淡水魚類。體形圓長，腹部扁平，背部蒼黑色，腹部淡褐色或灰黃色，用腸管吸氣，肛門排氣。全身無鱗片，黏滑難捉。,19744,魚鰡
17719,鰗鰡,泥鰍。溫帶淡水魚類。體形圓長，腹部扁平，背部蒼黑色，腹部淡褐色或灰黃色，用腸管吸氣，肛門排氣。全身無鱗片，黏滑難捉。,29324,旋鰡
17786,攝屎,小氣、吝嗇。,19685,鹹掛澀
17844,鐵枝路,鋪設鐵軌，供火車、電車通行的道路。,24177,鐵路
17923,囉嗦,囉哩囉嗦。一直說個不停。,19699,囉哩囉嗦
17945,籠,關。,12900,關
17946,籠,套。,13213,疊
17966,讀冊人,文人、讀書人、知識份子。,25486,文人
18056,變更,改變。變動更改。,22773,變動
18062,變空,搞鬼、耍花招、做手腳。,19710,變空變榫
18083,體諒,設身處地為別人著想，並且能諒解對方。,19709,體念
18090,鱙仔魚,俗名為「鱙仔」。魚類。體延長成圓筒狀，腹部圓而無稜鱗，吻尖圓，上頜短，延長止於上鰓蓋骨前緣，腹鰭位於背鰭起點前方，臀鰭短，鰓耙細長發達。背青黑色，腹面銀白，各鰭半透明。多製成魚乾，炒辣椒或煮湯調味用。,18120,白骨鱙
18108,箅仔骨,肋骨。人或高等動物胸腔兩側弓形的扁骨。前端有軟骨連接兩邊，後端和脊柱相接，形成胸廓，有保護胸腔內臟及控制呼吸的作用。,19735,排仔骨
18194,鱸鰻,流氓。破壞社會秩序或組織幫派的不法分子。,18230,扦仔
18203,戇呆,愚蠢、愚笨。,19297,歁呆
18291,𡳞𦉎,雄性動物被包皮包覆的陰莖。,17709,𡳞鳥頭
18291,𡳞𦉎,雄性動物被包皮包覆的陰莖。,18945,戛仔頭
18292,𡳞核,睪丸。雄性生殖器官的一部分，形如卵狀，藏在陰囊中，是製造精子的地方。,29596,𡳞核仔子
18293,𡳞神,形容男性個性起伏大、不正經，帶點輕佻。,17708,𡳞神氣
18299,𩵱仔,馬鱍魚。魚類。喜歡棲息在沙泥底質地形中，在臺灣沿岸、河口、紅樹林等半淡鹹水域中可以看到蹤跡。每年秋末到來年初春是主要的漁期，是高經濟價值魚種。,17710,𩵱仔魚
18305,𪁎雞,公雞、種雞。發春期的公雞。,17711,𪁎雞鵤
18341,䆀指,無名指。,18261,老指
18350,𨑨迌囡仔,小混混、不良少年。,18787,浮浪貢的
18350,𨑨迌囡仔,小混混、不良少年。,18792,浪蕩囝
18360,㨑,逮到、捉到。通常用在抓到別人的把柄。,7180,張
18360,㨑,逮到、捉到。通常用在抓到別人的把柄。,7303,掠
18365,𤶃,青春痘、面皰。,17715,𤶃仔子
18366,𤶃仔,青春痘。病名。因皮脂腺分泌過多脂肪，及皮膚毛囊的角質異化使角質素、細菌堵塞毛孔，而在皮膚上產生小痘或黑頭的疾病。,17715,𤶃仔子
18375,𦊓,漁網的一種，為固定式的長網。,17716,𦊓仔
18380,𩸙,鯉魚。魚類。嘴的外觀呈鈍圓形，有長短觸鬚各一對。脊鰭長、尾鰭分叉。以水草及魚蝦貝類為食物。現在大多以人工飼養為主，主要做為食用魚。,17717,𩸙魚
18381,𩸙仔,鯉魚。魚類。嘴的外觀呈鈍圓形，有長短觸鬚各一對。脊鰭長、尾鰭分叉。以水草及魚蝦貝類為食物。現在大多以人工飼養為主，主要做為食用魚。,17717,𩸙魚
18389,𣁳,杓子、水瓢。,16942,瓢
18402,䢢拄䢢,正巧、碰巧、剛剛好。,18453,拄拄仔好
18411,𤺪,身體上疲倦、疲憊的樣子。,17720,𤺪𤺪
18411,𤺪,身體上疲倦、疲憊的樣子。,17721,𤺪頭
18412,𤺪,心理上覺得厭倦、厭煩。指經常或過多的接觸而產生。,17720,𤺪𤺪
18412,𤺪,心理上覺得厭倦、厭煩。指經常或過多的接觸而產生。,17721,𤺪頭
18471,一大拖,一大堆、很多。,25972,一大堆
18473,大端,大方、賢淑、端莊。,515,大範
18473,大端,大方、賢淑、端莊。,19751,大段
18478,五四三,沒有意義、沒有內容的話。,20234,冇談
18496,半中央,中央，中間。,19757,半上路下
18496,半中央,中央，中間。,19758,半中途
18504,本居地,本籍。源自日語。,19759,本居
18504,本居地,本籍。源自日語。,19760,本籍
18518,含血霧天,含血噴人。用不實的指控、惡毒的言語誣蔑陷害人。,19763,含血噴天
18522,沙耙,沙耙。耙沙的耙子。,19767,沙耙仔
18523,牢鼎,沾鍋。煎炒烹煮食物時，因為油太少、火候不當、翻攪不足等因素而導致部份食材燒焦，沾黏在鍋子上。,19768,夾鼎
18523,牢鼎,沾鍋。煎炒烹煮食物時，因為油太少、火候不當、翻攪不足等因素而導致部份食材燒焦，沾黏在鍋子上。,19769,夾鍋
18530,定親,訂婚、文定。男女雙方在結婚前締定婚約的儀式。,19354,過定
18532,拊仔,橡皮擦。用橡皮製成，可擦掉筆跡的文具。,19503,樹奶拭仔
18532,拊仔,橡皮擦。用橡皮製成，可擦掉筆跡的文具。,19771,擦仔
18532,拊仔,橡皮擦。用橡皮製成，可擦掉筆跡的文具。,19772,石拭仔
18534,拍火車,消防車、救火車。裝備有各種消防工作的機械器具，為搶救火災及其他災害而設計的汽車。,19773,消防車
18534,拍火車,消防車、救火車。裝備有各種消防工作的機械器具，為搶救火災及其他災害而設計的汽車。,19774,消防組車
18535,明品,事前口頭明確約定。,19775,明呼明唱
18541,雨撇仔,雨刷。,19776,雨捽仔
18541,雨撇仔,雨刷。,19777,雨抿仔
18542,前世人,前世、上輩子。,19056,頂世
18545,後過,下次。將來。,18590,後改
18545,後過,下次。將來。,19779,後回
18550,挕捒,扔掉、丟棄。,19117,摒挕捒
18550,挕捒,扔掉、丟棄。,19781,擲掉
18561,倒退攄,旭蟹，又名海臭蟲。因其行走時以尾殼方向倒著走，而得名「倒退攄」，或稱作「倒退鱟(tò-thè-hāu)」。,14465,蝦蛄頭
18583,高長,高大、大塊頭。,18884,高長大漢
18583,高長,高大、大塊頭。,19791,高長四壯
18584,鬥榫,安裝榫卯。,19792,穿榫
18591,接神,迎接神佛。,19794,接尪
18592,晚冬,二期稻作。,19796,穩仔冬
18592,晚冬,二期稻作。,19797,穩冬
18592,晚冬,二期稻作。,19798,十月冬
18592,晚冬,二期稻作。,19799,下冬
18593,涼的,冷飲或冰品的總稱。,18155,冰水
18593,涼的,冷飲或冰品的總稱。,19801,冰的
18594,淋碭,上釉。,19803,敆釉
18595,淘井,清浚井中的沉積物。,19804,清井
