詞目id,詞目類型,漢字,羅馬字,分類,羅馬字音檔檔名
1,主詞目,一【替】,tsi̍t,"性質、程度,數詞、量詞",1(1)
2,主詞目,一,it,"性質、程度,數詞、量詞",2(1)
3,主詞目,一刀兩斷,it-to-lióng-tuān,交際應酬,3(1)
4,主詞目,一下,tsi̍t-ē,"性質、程度,助詞、嘆詞,副詞",4(1)
5,主詞目,一月日,tsi̍t gue̍h-ji̍t/tsi̍t ge̍h-li̍t,時間節令,5(1)
6,主詞目,一日到暗,tsi̍t-ji̍t-kàu-àm/tsi̍t-li̍t-kàu-àm,時間節令,6(1)
7,主詞目,一世人,tsi̍t-sì-lâng,"時間節令,生養老死",7(1)
8,主詞目,一半,tsi̍t-puànn,數詞、量詞,8(1)
9,主詞目,一半个仔,tsi̍t-puànn-ê-á,數詞、量詞,9(1)
10,主詞目,一半日仔,tsi̍t-puànn-ji̍t-á/tsi̍t-puànn-li̍t-á,時間節令,10(1)
11,主詞目,一四界,tsi̍t-sì-kè/tsi̍t-sì-kuè,空間方位,11(1)
12,主詞目,一旦,it-tàn,副詞,12(1)
13,主詞目,一生,it-sing,"時間節令,生養老死",13(1)
14,主詞目,一目𥍉仔,tsi̍t-ba̍k-nih-á,時間節令,14(1)
15,主詞目,一甲子,tsi̍t kah-tsí,"時間節令,生養老死",15(1)
16,主詞目,一百空一,tsi̍t-pah khòng-it,數詞、量詞,16(1)
17,主詞目,一來,it--lâi,副詞,17(1)
18,主詞目,一定,it-tīng,"境況、狀態-擬事,副詞",18(1)
19,主詞目,一直,it-ti̍t,副詞,19(1)
20,主詞目,一律,it-lu̍t,副詞,20(1)
21,主詞目,一致,it-tì,,21(1)
22,主詞目,一面,tsi̍t-bīn,副詞,22(1)
23,主詞目,一垺屎,tsi̍t-pû-sái,,23(1)
24,主詞目,一屑仔,tsi̍t-sut-á,性質、程度,24(1)
25,主詞目,一家伙仔,tsi̍t-ke-hué-á/tsi̍t-ke-hé-á,宗族、家庭,25(1)
26,主詞目,一般,it-puann,性質、程度,26(1)
27,主詞目,一粒一,it-lia̍p-it,性質、程度,27(1)
28,主詞目,一睏仔,tsi̍t-khùn-á,時間節令,28(1)
29,主詞目,一概,it-khài,性質、程度,29(1)
30,主詞目,一路,tsi̍t-lōo,旅行,30(1)
31,主詞目,一寡,--tsi̍t-kuá,性質、程度,31(1)
32,主詞目,一寡仔,tsi̍t-kuá-á,性質、程度,32(1)
33,主詞目,一對時,tsi̍t tuì-sî,時間節令,33(1)
34,主詞目,一霎仔久,tsi̍t-tiap-á-kú,時間節令,34(1)
35,主詞目,一點仔,tsi̍t-tiám-á,性質、程度,35(1)
36,主詞目,一礐屎,tsi̍t-ha̍k-sái,,36(1)
37,主詞目,一觸久仔,tsi̍t-tak-kú-á,時間節令,37(1)
38,主詞目,乙,it,"時間節令,性質、程度",38(1)
39,主詞目,丁,ting,"時間節令,泛稱,宗族、家庭",39(1)
40,主詞目,七,tshit,數詞、量詞,40(1)
41,主詞目,九,【白】káu,"性質、程度,數詞、量詞",41(1)
42,主詞目,九,【文】kiú,"性質、程度,數詞、量詞",42(1)
43,主詞目,了,liáu,,43(1)
44,主詞目,二,jī/lī,數詞、量詞,44(1)
45,主詞目,人,jîn/lîn,泛稱,45(1)
46,主詞目,人【替】,lâng,泛稱,46(1)
47,主詞目,入,ji̍p/li̍p,"財務單位、活動,一般動詞-行為動詞",47(1)
48,主詞目,八,【文】pat,數詞、量詞,48(1)
49,主詞目,八,【白】peh/pueh,數詞、量詞,49(1)
50,主詞目,刀,to,"生活用品,數詞、量詞",50(1)
51,主詞目,刁,tiau,"心理狀態,待人處事",51(1)
52,主詞目,力,【白】la̍t,反應、表情,52(1)
53,主詞目,力,【文】li̍k,事、物泛稱,53(1)
54,主詞目,十,【白】tsa̍p,"性質、程度,數詞、量詞",54(1)
55,主詞目,十,【文】si̍p,"性質、程度,數詞、量詞",55(1)
56,主詞目,卜【替】,poh,"宗族、家庭,心理活動,相關器具、活動",56(1)
57,主詞目,卜,pok,"宗族、家庭,心理活動,相關器具、活動",57(1)
58,主詞目,又,iū,副詞,58(1)
59,主詞目,十一哥,tsa̍p-it-ko,泛稱,59(1)
60,主詞目,了了,liáu-liáu,"境況、狀態-擬事,副詞",60(1)
61,主詞目,了了,--liáu-liáu,"境況、狀態-擬事,副詞",61(1)
62,主詞目,人人,lâng-lâng,泛稱,62(1)
63,主詞目,十二分,tsa̍p-jī-hun/tsa̍p-lī-hun,性質、程度,63(1)
64,主詞目,十二生相,tsa̍p-jī senn-siùnn/tsa̍p-lī sinn-siùnn,神明、鬼怪、教派,64(1)
65,主詞目,十二指腸,si̍p-jī-tsí-tn̂g/si̍p-lī-tsí-tn̂g,生理構造,65(1)
66,主詞目,二九暝,Jī-káu-mê/Lī-káu-mî,時間節令,66(1)
67,主詞目,十八骰仔,si̍p-pat-tâu-á,休閒、娛樂,67(1)
68,主詞目,十八變,tsa̍p-peh-piàn/tsa̍p-pueh-piàn,形貌、體積,68(1)
69,主詞目,七夕,tshit-sia̍h,"時間節令,生活狀況,相關器具、活動",69(1)
70,主詞目,了工,liáu-kang,,70(1)
71,主詞目,人工,lâng-kang,"泛稱,服務業及其他,錢財資產",71(1)
72,主詞目,人才,lâng-tsâi,體態樣貌,72(1)
73,主詞目,入土,ji̍p-thóo/li̍p-thóo,生養老死,73(1)
74,主詞目,刁工,thiau-kang,心理狀態,74(1)
75,主詞目,人中,jîn-tiong/lîn-tiong,生理構造,75(1)
76,主詞目,七孔,tshit-khóng,生理構造,76(1)
77,主詞目,九孔,káu-kháng,"魚蝦海獸,食物、飲料、煙酒",77(1)
78,主詞目,二手,jī-tshiú/lī-tshiú,"地位、身世、背景,相關用語",78(1)
79,主詞目,入木,ji̍p-bo̍k/li̍p-bo̍k,"生養老死,婚喪喜慶",79(1)
80,主詞目,八仙,pat-sian,神明、鬼怪、教派,80(1)
81,主詞目,刀仔,to-á,生活用品,81(1)
82,主詞目,八仙桌,pat-sian-toh,"生活用品,相關器具、活動",82(1)
83,主詞目,八仙綵,pat-sian-tshái,"婚喪喜慶,相關器具、活動",83(1)
84,主詞目,刁古董,tiau-kóo-tóng,"心理狀態,待人處事",84(1)
85,主詞目,了本,liáu-pún,財務單位、活動,85(1)
86,主詞目,人民,jîn-bîn/lîn-bîn,國家、社會、民眾,86(1)
87,主詞目,人生,jîn-sing/lîn-sing,生養老死,87(1)
88,主詞目,刀石,to-tsio̍h,生活用品,88(1)
89,主詞目,十全,tsa̍p-tsn̂g,性質、程度,89(1)
90,主詞目,十全,si̍p-tsuân,"醫療保健,性質、程度",90(1)
91,主詞目,八字,peh-jī/pueh-lī,"生養老死,相關器具、活動",91(1)
92,主詞目,七字仔,tshit-jī-á/tshit-lī-á,"文學、藝術,戲劇、音樂",92(1)
93,主詞目,十字架,si̍p-jī-kè/si̍p-lī-kè,"神明、鬼怪、教派,相關器具、活動",93(1)
94,主詞目,八字跤,pat-jī-kha/pat-lī-kha,體態樣貌,94(1)
95,主詞目,十字路,si̍p-jī-lōo/si̍p-lī-lōo,道路、橋梁,95(1)
96,主詞目,七早八早,tshit-tsá-peh-tsá/tshit-tsá-pueh-tsá,時間節令,96(1)
97,主詞目,入耳,ji̍p-ní/li̍p-ní,反應、表情,97(1)
98,主詞目,刀肉,to-bah,生活用品,98(1)
99,主詞目,七老八老,tshit-lāu-peh-lāu/tshit-lāu-pueh-lāu,生養老死,99(1)
100,主詞目,了尾仔囝,liáu-bué-á-kiánn/liáu-bé-á-kiánn,宗族、家庭,100(1)
101,主詞目,二步七仔,--jī-pōo-tshit-á/--lī-pōo-tshit-á,才智能力,101(1)
102,主詞目,八角,peh-kak/pueh-kak,"食物、飲料、煙酒,形貌、體積",102(1)
103,主詞目,十足,tsa̍p-tsiok,性質、程度,103(1)
104,主詞目,九芎仔,kiú-kiong-á,"花草樹木,醫療保健",104(1)
105,主詞目,人事,jîn-sū/lîn-sū,"服務業及其他,交際應酬",105(1)
106,主詞目,八卦,pat-kuà,"魚蝦海獸,相關器具、活動",106(1)
107,主詞目,卜卦,pok-kuà,相關器具、活動,107(1)
108,主詞目,二房,jī-pâng/lī-pâng,"宗族、家庭,稱謂輩分",108(1)
109,主詞目,人物,jîn-bu̍t/lîn-bu̍t,"才智能力,戲劇、音樂",109(1)
110,主詞目,十花五色,tsa̍p-hue-gōo-sik,,110(1)
111,主詞目,入門,ji̍p-mn̂g/li̍p-mn̂g,"性別、婚姻,房屋租賃、搬遷,教育、學術,性質、程度",111(1)
112,主詞目,人客,lâng-kheh,"婚喪喜慶,交際應酬",112(1)
113,主詞目,了後,liáu-āu,時間節令,113(1)
114,主詞目,七星,tshit-tshenn/tshit-tshinn,天文,114(1)
115,主詞目,二指,jī-tsáinn/lī-tsáinn,生理構造,115(1)
116,主詞目,刁持,tiau-tî,心理狀態,116(1)
117,主詞目,刁故意,tiau-kòo-ì,心理狀態,117(1)
118,主詞目,刀柄,to-pènn/to-pìnn,生活用品,118(1)
119,主詞目,八珍,pat-tin,"道德評價,醫療保健,食物、飲料、煙酒",119(1)
120,主詞目,人面,lâng-bīn,交際應酬,120(1)
121,主詞目,人倫,jîn-lûn/lîn-lûn,宗族、家庭,121(1)
122,主詞目,人員,jîn-uân/lîn-uân,"服務業及其他,相關用語",122(1)
123,主詞目,入厝,ji̍p-tshù/li̍p-tshù,房屋租賃、搬遷,123(1)
124,主詞目,七娘媽,Tshit-niû-má,神明、鬼怪、教派,124(1)
125,主詞目,七娘媽生,Tshit-niû-má-senn/Tshit-niû-má-sinn,"時間節令,生活狀況,相關器具、活動",125(1)
126,主詞目,人家,jîn-ke/lîn-ke,宗族、家庭,126(1)
127,主詞目,人家厝仔,jîn-ke-tshù-á/lîn-ke-tshù-á,建築物、結構,127(1)
128,主詞目,八家將,pat-ka-tsiòng,神明、鬼怪、教派,128(1)
129,主詞目,人格,jîn-keh/lîn-keh,道德評價,129(1)
130,主詞目,人氣,jîn-khì/lîn-khì,交際應酬,130(1)
131,主詞目,刀砧,to-tiam,"生活用品,飲食物具",131(1)
132,主詞目,人馬,jîn-má/lîn-má,組織團體,132(1)
133,主詞目,入院,ji̍p-īnn/li̍p-īnn,醫療保健,133(1)
134,主詞目,人參,jîn-sim/lîn-sim,"蔬果作物,醫療保健",134(1)
135,主詞目,人情,jîn-tsîng/lîn-tsîng,交際應酬,135(1)
136,主詞目,人情世事,jîn-tsîng-sè-sū/lîn-tsîng-sè-sū,交際應酬,136(1)
137,主詞目,入教,ji̍p-kàu/li̍p-kàu,相關器具、活動,137(1)
138,主詞目,人望,jîn-bōng/lîn-bōng,地位、身世、背景,138(1)
139,主詞目,人造,jîn-tsō/lîn-tsō,性質、程度,139(1)
140,主詞目,刀喙,to-tshuì,"傷疾病痛,生活用品",140(1)
141,主詞目,入場,ji̍p-tiûnn/li̍p-tiûnn,戲劇、音樂,141(1)
142,主詞目,了然,liáu-jiân/liáu-liân,境況、狀態-擬事,142(1)
143,主詞目,力量,li̍k-liōng,才智能力,143(1)
144,主詞目,刁意故,thiau-ì-kòo,心理狀態,144(1)
145,主詞目,七爺,Tshit-iâ,神明、鬼怪、教派,145(1)
146,主詞目,刀銎,to-khing,生活用品,146(1)
147,主詞目,又閣,iū-koh,副詞,147(1)
148,主詞目,人影,lâng-iánn,泛稱,148(1)
149,主詞目,九層塔,káu-tsàn-thah,"蔬果作物,食物、飲料、煙酒",149(1)
150,主詞目,人範,lâng-pān,道德評價,150(1)
151,主詞目,人緣,lâng-iân,交際應酬,151(1)
152,主詞目,入學,ji̍p-o̍h/li̍p-o̍h,教育、學術,152(1)
153,主詞目,入選,ji̍p-suán/li̍p-suán,事、物泛稱,153(1)
154,主詞目,了錢,liáu-tsînn,錢財資產,154(1)
155,主詞目,人頭,lâng-thâu,"生理構造,交際應酬,數詞、量詞",155(1)
156,主詞目,力頭,la̍t-thâu,才智能力,156(1)
157,主詞目,入殮,ji̍p-liām/li̍p-liām,"生養老死,婚喪喜慶",157(1)
158,主詞目,入聲,ji̍p-siann/li̍p-siann,語言、文字、符號,158(1)
159,主詞目,刁難,thiau-lân,"心理狀態,待人處事",159(1)
160,主詞目,人權,jîn-khuân/lîn-khuân,法律,160(1)
161,主詞目,丈,【白】tn̄g,數詞、量詞,161(1)
162,主詞目,三,【文】sam,數詞、量詞,162(1)
163,主詞目,三,【白】sann,數詞、量詞,163(1)
164,主詞目,上,【白】tsiūnn,肢體動作,164(1)
165,主詞目,上,【白】tshiūnn,肢體動作,165(1)
166,主詞目,上,【文】siōng,"空間方位,性質、程度,副詞",166(1)
167,主詞目,下,【白】ē,"空間方位,性質、程度,數詞、量詞",167(1)
168,主詞目,下,【文】hā,"空間方位,性質、程度,數詞、量詞",168(1)
169,主詞目,下,【白】hē,心理活動,169(1)
170,主詞目,低【替】,kē,"空間方位,地位、身世、背景,才智能力,性質、程度",170(1)
171,主詞目,个,ê,"代名詞,數詞、量詞",171(1)
172,主詞目,丸,uân,"事、物泛稱,數詞、量詞",172(1)
173,主詞目,久,【白】kú,"時間節令,性質、程度",173(1)
174,主詞目,么,io,數詞、量詞,174(1)
175,主詞目,乞,khit,交際應酬,175(1)
176,主詞目,也,iā,連詞、介詞,176(1)
177,主詞目,亡,bông,生養老死,177(1)
178,主詞目,凡,huân,事、物泛稱,178(1)
179,主詞目,凡,huān,副詞,179(1)
180,主詞目,千,【文】tshian,"性質、程度,數詞、量詞",180(1)
181,主詞目,千,【白】tshing,"性質、程度,數詞、量詞",181(1)
182,主詞目,叉,tshe,"待人處事,事、物泛稱",182(1)
183,主詞目,口,【白】kháu,"生理構造,建築物、結構,數詞、量詞",183(1)
184,主詞目,土,thóo,"地理,資源礦物,個性風格,氣質態度",184(1)
185,主詞目,士,sū,相關用語,185(1)
186,主詞目,大【替】,ta,語言、文字、符號,186(1)
187,主詞目,大,【文】tāi,形貌、體積,187(1)
188,主詞目,大,【白】tuā,形貌、體積,188(1)
189,主詞目,女,【白】lí/lú,泛稱,189(1)
190,主詞目,女,【文】lú,泛稱,190(1)
191,主詞目,子,【白】tsí,"動物形體、行為,植物形體、狀態,事、物泛稱",191(1)
192,主詞目,子,【文】tsú,"時間節令,泛稱,宗族、家庭,稱謂輩分",192(1)
193,主詞目,子【替】,jí/lí,事、物泛稱,193(1)
194,主詞目,寸,tshùn,"形貌、體積,數詞、量詞",194(1)
195,主詞目,小,【文】siáu,性質、程度,195(1)
196,主詞目,小,【白】sió,性質、程度,196(1)
197,主詞目,山,【文】san,"地理,自然現象",197(1)
198,主詞目,山,【白】suann,"地理,自然現象",198(1)
199,主詞目,工,【白】kang,"時間節令,相關用語,數詞、量詞",199(1)
200,主詞目,工,【文】kong,戲劇、音樂,200(1)
201,主詞目,己,【文】kí,"天文,稱謂輩分",201(1)
202,主詞目,巳,【白】tsī,時間節令,202(1)
203,主詞目,巾,kin/kun,生活用品,203(1)
204,主詞目,干,kan,"時間節令,軍事,一般動詞-行為動詞",204(1)
205,主詞目,弓,【白】king,"軍事,數詞、量詞",205(1)
206,主詞目,才,tsâi,才智能力,206(1)
207,主詞目,才【替】,tsiah,副詞,207(1)
208,主詞目,才,tshâi,數詞、量詞,208(1)
209,主詞目,下𦜆,ē-ham,生理構造,209(1)
210,主詞目,丈人,tiūnn-lâng,"性別、婚姻,稱謂輩分",210(1)
211,主詞目,三八,sam-pat,個性風格,211(1)
212,主詞目,土人,thóo-lâng,"個性風格,氣質態度",212(1)
213,主詞目,大人,tāi-jîn/tāi-lîn,稱謂輩分,213(1)
214,主詞目,大人,tuā-lâng,泛稱,214(1)
215,主詞目,大力,tuā-la̍t,性質、程度,215(1)
216,主詞目,小人,siáu-jîn/siáu-lîn,"泛稱,個性風格",216(1)
217,主詞目,川七,tshuan-tshit,"蔬果作物,醫療保健,食物、飲料、煙酒",217(1)
218,主詞目,工人,kang-lâng,科技、工業,218(1)
219,主詞目,丈人公,tiūnn-lâng-kong,"性別、婚姻,稱謂輩分",219(1)
220,主詞目,三七仔,sam-tshit-á,服務業及其他,220(1)
221,主詞目,丈人爸,tiūnn-lâng-pâ,"性別、婚姻,稱謂輩分",221(1)
222,主詞目,三八氣,sam-pat-khuì,個性風格,222(1)
223,主詞目,丈人媽,tiūnn-lâng-má,"性別、婚姻,稱謂輩分",223(1)
224,主詞目,上久,siōng-kú,"時間節令,性質、程度",224(1)
225,主詞目,上山,tsiūnn-suann,休閒、娛樂,225(1)
226,主詞目,下山,hā-san,戲劇、音樂,226(1)
227,主詞目,久久,kú-kú,"時間節令,性質、程度",227(1)
228,主詞目,大下,tuā-ē,性質、程度,228(1)
229,主詞目,小口,sió-kháu,飲食行為,229(1)
230,主詞目,小工,sió-kang,相關用語,230(1)
231,主詞目,才子,tsâi-tsú,"地位、身世、背景,才智能力",231(1)
232,主詞目,大丈夫,tāi-tiōng-hu,"泛稱,個性風格",232(1)
233,主詞目,干干仔,kan-kan-á,副詞,233(1)
234,主詞目,三山國王,Sam-san-kok-ông,神明、鬼怪、教派,234(1)
235,主詞目,千千萬萬,tshian-tshian-bān-bān,"性質、程度,數詞、量詞",235(1)
236,主詞目,上山頭,tsiūnn-suann-thâu,婚喪喜慶,236(1)
237,主詞目,丈公,tiūnn-kong,稱謂輩分,237(1)
238,主詞目,上元,Siōng-guân,"時間節令,生活狀況,相關器具、活動",238(1)
239,主詞目,下元,Hā-guân,時間節令,239(1)
240,主詞目,下勻,ē-ûn,稱謂輩分,240(1)
241,主詞目,大不了,tāi-put-liáu,性質、程度,241(1)
242,主詞目,三不五時,sam-put-gōo-sî,"時間節令,性質、程度",242(1)
243,主詞目,土公仔,thóo-kong-á,"服務業及其他,個性風格",243(1)
244,主詞目,小丑仔,siáu-thiú-á,"服務業及其他,休閒、娛樂",244(1)
245,主詞目,土公仔性,thóo-kong-á-sìng,個性風格,245(1)
246,主詞目,上元暝,Siōng-guân-mê/Siōng-guân-mî,時間節令,246(1)
247,主詞目,上午,siōng-ngóo,時間節令,247(1)
248,主詞目,上天,siōng-thian,神明、鬼怪、教派,248(1)
249,主詞目,上手,tsiūnn-tshiú,才智能力,249(1)
250,主詞目,上水,tshiūnn-tsuí,"傷疾病痛,生活勞動",250(1)
251,主詞目,下午,hā-ngóo,時間節令,251(1)
252,主詞目,下手,hē-tshiú,肢體動作,252(1)
253,主詞目,下手,ē-tshiú,地位、身世、背景,253(1)
254,主詞目,下水,hā-suí,"廢棄物,食物、飲料、煙酒",254(1)
255,主詞目,土木,thóo-bo̍k,"科技、工業,建築物、結構",255(1)
256,主詞目,大方,tāi-hong,"個性風格,氣質態度,待人處事",256(1)
257,主詞目,大日,tuā-ji̍t/tuā-li̍t,"氣候溫度,時間節令",257(1)
258,主詞目,大月,tuā-gue̍h/tuā-ge̍h,"時間節令,商業",258(1)
259,主詞目,寸尺,tshùn-tshioh,"形貌、體積,性質、程度",259(1)
260,主詞目,小心,sió-sim,心理狀態,260(1)
261,主詞目,小月,sió-gue̍h/sió-ge̍h,"時間節令,商業",261(1)
262,主詞目,小木,sió-ba̍k,服務業及其他,262(1)
263,主詞目,工夫,kang-hu,"才智能力,體育、運動",263(1)
264,主詞目,三太子,Sam-thài-tsú,神明、鬼怪、教派,264(1)
265,主詞目,上尺工,siāng-tshe-kong,戲劇、音樂,265(1)
266,主詞目,三心兩意,sam-sim-lióng-ì,心理狀態,266(1)
267,主詞目,大心氣,tuā-sim-khuì,反應、表情,267(1)
268,主詞目,千斤秤,tshian-kin-tshìn/tshian-kun-tshìn,"科技、工業,生產工具",268(1)
269,主詞目,三文魚,sam-bûn-hî/sam-bûn-hû,"魚蝦海獸,食物、飲料、煙酒",269(1)
270,主詞目,下水湯,hā-suí-thng,食物、飲料、煙酒,270(1)
271,主詞目,大爿,tuā-pîng,"相關器具、活動,性質、程度",271(1)
272,主詞目,丸仔,uân-á,"食物、飲料、煙酒,形貌、體積",272(1)
273,主詞目,大兄,tuā-hiann,"宗族、家庭,稱謂輩分",273(1)
274,主詞目,工仔,kang-á,科技、工業,274(1)
275,主詞目,巾仔,kin-á/kun-á,生活用品,275(1)
276,主詞目,弓仔,king-á,生活用品,276(1)
277,主詞目,大主大意,tuā-tsú-tuā-ì,"相關用語,待人處事",277(1)
278,主詞目,大代誌,tuā tāi-tsì,事、物泛稱,278(1)
279,主詞目,上加,siōng-ke,副詞,279(1)
280,主詞目,上北,tsiūnn-pak,,280(1)
281,主詞目,下司,ē-si,"泛稱,相關用語",281(1)
282,主詞目,土包仔,thóo-pau-á,泛稱,282(1)
283,主詞目,小可仔,sió-khuá-á,性質、程度,283(1)
284,主詞目,大四界,tuā-sì-kè/tuā-sì-kuè,性質、程度,284(1)
285,主詞目,上卌袂攝,tsiūnn-siap-bē-liap/tsiūnn-siap-buē-liap,生養老死,285(1)
286,主詞目,下半暝,ē-puànn-mê/ē-puànn-mî,時間節令,286(1)
287,主詞目,上市,tsiūnn-tshī,財務單位、活動,287(1)
288,主詞目,下本,hē-pún,財務單位、活動,288(1)
289,主詞目,大本,tuā-pún,"錢財資產,數詞、量詞",289(1)
290,主詞目,小旦,sió-tuànn,"戲劇、音樂,休閒、娛樂",290(1)
291,主詞目,上目,tsiūnn-ba̍k,相關用語,291(1)
292,主詞目,口白,kháu-pe̍h,戲劇、音樂,292(1)
293,主詞目,大目,tuā-ba̍k,生理構造,293(1)
294,主詞目,小生,sió-sing,戲劇、音樂,294(1)
295,主詞目,小玉仔,sió-gio̍k-á,"蔬果作物,食物、飲料、煙酒",295(1)
296,主詞目,小白菜,sió-pe̍h-tshài,"蔬果作物,醫療保健,食物、飲料、煙酒",296(1)
297,主詞目,大甲蓆,Tāi-kah-tshio̍h,生活用品,297(1)
298,主詞目,上任,tsiūnn-jīm/tsiūnn-līm,相關用語,298(1)
299,主詞目,久仰,kiú-gióng,,299(1)
300,主詞目,干休,kan-hiu,副詞,300(1)
301,主詞目,大名,tuā-miâ,相關用語,301(1)
302,主詞目,大囝,tuā-kiánn,"宗族、家庭,稱謂輩分",302(1)
303,主詞目,小名,sió-miâ,稱謂輩分,303(1)
304,主詞目,小囝,sió-kiánn,泛稱,304(1)
305,主詞目,大同仔,tāi-tông-á,"蔬果作物,食物、飲料、煙酒",305(1)
306,主詞目,上好,siōng hó,性質、程度,306(1)
307,主詞目,也好,iā hó,副詞,307(1)
308,主詞目,土地,thóo-tē/thóo-tuē,"地理,資源礦物",308(1)
309,主詞目,土地公,Thóo-tī-kong,神明、鬼怪、教派,309(1)
310,主詞目,下早仔,e-tsái-á,時間節令,310(1)
311,主詞目,大耳,tuā-hīnn/tuā-hī,"才智能力,個性風格,體態樣貌",311(1)
312,主詞目,大舌,tuā-tsi̍h,反應、表情,312(1)
313,主詞目,大伯,tuā-peh,"宗族、家庭,稱謂輩分",313(1)
314,主詞目,大位,tuā-uī,稱謂輩分,314(1)
315,主詞目,工作,kang-tsok,相關用語,315(1)
316,主詞目,山伯英台,San-phik-Ing-tâi,"文學、藝術,戲劇、音樂",316(1)
317,主詞目,大妗,tuā-kīm,"宗族、家庭,稱謂輩分",317(1)
318,主詞目,山尾溜,suann-bué-liu/suann-bé-liu,"地理,自然現象",318(1)
319,主詞目,子弟,tsú-tē,"宗族、家庭,稱謂輩分",319(1)
320,主詞目,小弟,sió-tī,"宗族、家庭,稱謂輩分",320(1)
321,主詞目,子弟戲,tsú-tē-hì,戲劇、音樂,321(1)
322,主詞目,三更,sann-kenn/sann-kinn,時間節令,322(1)
323,主詞目,三更半暝,sann-kenn-puànn-mê/sann-kinn-puànn-mî,時間節令,323(1)
324,主詞目,口灶,kháu-tsàu,"國家、社會、民眾,數詞、量詞",324(1)
325,主詞目,小肚,sió-tōo,生理構造,325(1)
326,主詞目,大肚胿,tuā-tōo-kui,"生理構造,性別、婚姻,生養老死",326(1)
327,主詞目,三角,sann-kak,"錢財資產,形貌、體積",327(1)
328,主詞目,久見,kiú-kiàn,交際應酬,328(1)
329,主詞目,山谷,suann-kok,"地理,自然現象",329(1)
330,主詞目,川芎,tshuan-kiong,"蔬果作物,醫療保健",330(1)
331,主詞目,川貝,tshuan-puè,"蔬果作物,醫療保健",331(1)
332,主詞目,干貝,kan-puè,食物、飲料、煙酒,332(1)
333,主詞目,千里眼,Tshian-lí-gán,神明、鬼怪、教派,333(1)
334,主詞目,三角窗,sann-kak-thang,建築物、結構,334(1)
335,主詞目,三角褲,sann-kak-khòo,衣帽鞋襪,335(1)
336,主詞目,千里鏡,tshian-lí-kiànn,生活用品,336(1)
337,主詞目,久來,kú--lâi,時間節令,337(1)
338,主詞目,口供,kháu-king,法律,338(1)
339,主詞目,大使,tāi-sài,"服務業及其他,外交",339(1)
340,主詞目,小事,sió-sū,事、物泛稱,340(1)
341,主詞目,小使,siáu-sú,"泛稱,相關用語",341(1)
342,主詞目,工事,kang-sū,相關用語,342(1)
343,主詞目,女兒,lú-jî/lú-lî,"宗族、家庭,稱謂輩分",343(1)
344,主詞目,小叔,sió-tsik,"宗族、家庭,稱謂輩分",344(1)
345,主詞目,小管仔,sió-kńg-á,"魚蝦海獸,食物、飲料、煙酒,事、物泛稱",345(1)
346,主詞目,小兒科,sió-jî-kho/sió-lî-kho,醫療保健,346(1)
347,主詞目,小兒麻痺,sió-jî-bâ-pì/sió-lî-bâ-pì,傷疾病痛,347(1)
348,主詞目,山坪,suann-phiânn,"地理,自然現象",348(1)
349,主詞目,丈姆,tiūnn-ḿ,"性別、婚姻,稱謂輩分",349(1)
350,主詞目,大姆,tuā-ḿ,"宗族、家庭,稱謂輩分",350(1)
351,主詞目,大姊,tuā-tsí,"宗族、家庭,稱謂輩分",351(1)
352,主詞目,大姑,tuā-koo,"宗族、家庭,稱謂輩分",352(1)
353,主詞目,小妹,sió-muē/sió-bē,"宗族、家庭,稱謂輩分",353(1)
354,主詞目,小姐,sió-tsiá,"宗族、家庭,稱謂輩分",354(1)
355,主詞目,小姑,sió-koo,"宗族、家庭,稱謂輩分",355(1)
356,主詞目,丈姆婆,tiūnn-ḿ-pô,"性別、婚姻,稱謂輩分",356(1)
357,主詞目,下底,ē-té/ē-tué,空間方位,357(1)
358,主詞目,大官,ta-kuann,"宗族、家庭,稱謂輩分",358(1)
359,主詞目,大官虎,tuā-kuann-hóo,"地位、身世、背景,政治",359(1)
360,主詞目,土性,thóo-sìng,"個性風格,氣質態度",360(1)
361,主詞目,下性命,hē-sènn-miā/hē-sìnn-miā,"個性風格,性質、程度,副詞",361(1)
362,主詞目,大房,tuā-pâng,"宗族、家庭,稱謂輩分",362(1)
363,主詞目,大拖,tuā-thua,農林業,363(1)
364,主詞目,下昏,e-hng,時間節令,364(1)
365,主詞目,山東白仔,suann-tang-pe̍h-á,"蔬果作物,食物、飲料、煙酒",365(1)
366,主詞目,下昏暗,e-hng-àm,時間節令,366(1)
367,主詞目,乞的,khit--ê,泛稱,367(1)
368,主詞目,土直,thóo-ti̍t,個性風格,368(1)
369,主詞目,三肢手,sann-ki-tshiú,相關用語,369(1)
370,主詞目,久長,kú-tn̂g,時間節令,370(1)
371,主詞目,千金,tshian-kim,"宗族、家庭,稱謂輩分,性質、程度",371(1)
372,主詞目,三長兩短,sann-tn̂g-nn̄g-té,生養老死,372(1)
373,主詞目,上青苔,tshiūnn-tshenn-thî/tshiūnn-tshinn-thî,植物形體、狀態,373(1)
374,主詞目,久長病,kú-tn̂g-pēnn/kú-tn̂g-pīnn,傷疾病痛,374(1)
375,主詞目,千金譜,Tshian-kim-phóo,教育、學術,375(1)
376,主詞目,大便,tāi-piān,"反應、表情,廢棄物",376(1)
377,主詞目,大前年,tuā-tsûn--nî,時間節令,377(1)
378,主詞目,大姨,tuā-î,"宗族、家庭,稱謂輩分",378(1)
