義項id,詞目漢字,解說,對應義項id,對應詞目漢字,對應解說
4602,沙屑,形容人囉嗦，不乾脆。,10910,規氣,乾脆。做事直接乾脆，不拖泥帶水。
4619,束縛,拘束、被限制。,19349,敨放,解放。解除束縛，使自由發展。
4636,男,指男性。與女相對。,277,女,女性、女子。
4664,男子,男人。,278,女,女性、女子。
4673,私立,不是政府設立，由財團法人或私人創辦的。,9846,國立,隸屬中央層級，由國家公費所設立的各式機構的銜稱。
4681,私事,個人的事。,905,公事,公眾的事務。
4690,罕得,稀罕、難得、稀少。語氣完結時唸作hán--tit。,5365,定定,常常、經常。
4690,罕得,稀罕、難得、稀少。語氣完結時唸作hán--tit。,22605,不三時,時常、常常。
4791,赤肉,瘦肉、精肉。,2634,白肉,肥肉。
4791,赤肉,瘦肉、精肉。,6258,肥肉,多脂肪質的肉類。
4815,辛苦,辛勞。形容身心勞累。,4388,快活,愉快、舒服。
4815,辛苦,辛勞。形容身心勞累。,14921,輕鬆,形容精神或生理上的感受既舒緩又沒有壓力。
4842,辛勞,雇員、伙計。,3720,老板,舊稱商店主人，現在泛指工商企業、公司行號的產權所有人。
4865,走精,失去準度、走樣。,22711,對千,瞄準。
4906,乖,形容懂事、順從。,22465,挐頭,小孩子無理取鬧的樣子。
4950,乖巧,形容人聰明伶俐，討人喜歡。,22465,挐頭,小孩子無理取鬧的樣子。
4961,享受,享有受用。,5103,受苦,吃苦、受難。遭受痛苦、困難或遭受磨難。
4961,享受,享有受用。,7849,食苦,吃苦。
4967,事後,事務已成定局之後，或事情發生之後。,1815,代先,事先、預先。
4997,侗戇,笨蛋。愚蠢、呆笨的人。,16765,聰明,聰敏、聰穎。形容人智力發達，記憶與理解力強。
5062,到今,及今、如今、至今。到如今。,22156,當初時,當初、那時候。
5071,卒仔,指小人物、無足輕重的人。,3651,老大,江湖幫會或團體中的首領。
5095,制服,統一規定式樣的服裝。,6566,便服,便衣。平常穿的衣服。
5095,制服,統一規定式樣的服裝。,6569,便衫,便服。平常居家在穿的衣服。
5103,受苦,吃苦、受難。遭受痛苦、困難或遭受磨難。,4961,享受,享有受用。
5118,卸貨底,出清存貨。,19393,貿貨底,把貨商賣剩的存貨用低價全部買下來。
5195,坦直,使成直向。,5224,坦橫,指物體打橫的狀態。
5195,坦直,使成直向。,21874,坦斜,斜著。
5196,呵咾,讚美、表揚。,11049,責備,批評指責。
5196,呵咾,讚美、表揚。,15426,罵,向別人說粗話、重話以示侮辱或責備。
5196,呵咾,讚美、表揚。,15427,罵,向別人說粗話、重話以示侮辱或責備。
5196,呵咾,讚美、表揚。,17852,譴責,責備。
5196,呵咾,讚美、表揚。,23161,體剔,責備、責罵。
5199,坦倒,放倒、躺倒。,5210,坦徛,直立。
5208,固執,形容堅持自己的意見，不肯變通。,22066,變撚,懂得變通，找到新方法解決問題。
5209,周密,周全。周全細密，考慮完備。,10643,疏忽,做事粗心大意，不周密。
5210,坦徛,直立。,5199,坦倒,放倒、躺倒。
5224,坦橫,指物體打橫的狀態。,5195,坦直,使成直向。
5226,坦覆,趴著、俯臥。,18467,坦笑,面朝上。
5240,奇,單數。,17233,雙,偶數的。
5242,妻,稱謂。男子稱自己的正式配偶。,1073,夫,婚後女子對男子的稱謂。
5271,垃圾,骯髒。汙穢，不乾淨。,10481,清氣,乾淨、清潔。
5365,定定,常常、經常。,4690,罕得,稀罕、難得、稀少。語氣完結時唸作hán--tit。
5365,定定,常常、經常。,22614,一半擺仔,偶爾、一兩次。
5368,定金,訂金。訂購物品時所預付的部分金額。,19110,後謝,尾款。受託人完成任務後，委託人支付的酬勞、尾款。
5370,店面,可直接與來往行人進行交易的商鋪。,19292,徛家厝,民宅、住家。
5384,定著,一定。,22735,無定,說不定。
5386,定著,穩重。,22577,趕狂,急忙、倉皇、慌慌張張。
5394,幸運,好運氣。,1518,歹運,背運、倒楣。運氣不好。
5399,定銀,訂金。訂購物品時所預付的部分金額。,19110,後謝,尾款。受託人完成任務後，委託人支付的酬勞、尾款。
5401,孤獨,孤僻、寡合。指人的性情乖異，不喜歡與人交際、親近。,23030,慷交,慷慨好客，交遊廣闊。
5417,彼,那個。指稱較遠距離的東西。,10958,這,指代稱較近距離的單數物品。
5418,彼,那。指稱較遠的人、事、物、時間或地方，後接量詞或名詞。,10959,這,指代稱較近的單數人、事、物、時間或地方，後接量詞或名詞。
5447,彼个,那個。,21925,這號,這一個、這種。
5448,往日,過去、以往。過去的日子。,1845,以後,日後、以後、爾後 。指晚於某一段時間之後的時間。
5448,往日,過去、以往。過去的日子。,2378,未來,將來。相對於現在、過去來說。
5448,往日,過去、以往。過去的日子。,9926,將來,未來。尚未到的時候。
5458,往年,過去、從前。過去的年歲。,1845,以後,日後、以後、爾後 。指晚於某一段時間之後的時間。
5458,往年,過去、從前。過去的年歲。,2378,未來,將來。相對於現在、過去來說。
5458,往年,過去、從前。過去的年歲。,9926,將來,未來。尚未到的時候。
5470,忠厚,老實。形容人的品性忠實寬厚。,23111,滑溜,圓滑。做事或言談面面周到，不得罪人。
5474,往時,從前、過去。,22615,後日仔,日後、以後、將來。未來的日子。
5478,彼站,那陣子、那個時候。離現在比較遠的一段時間。,11033,這站,這陣子、現在。說話當時的前後一段時間或一個節點。
5478,彼站,那陣子、那個時候。離現在比較遠的一段時間。,11041,這陣,現在。當下這個時刻。
5479,彼陣,那時、那陣子。,11041,這陣,現在。當下這個時刻。
5481,彼款,那樣。,21925,這號,這一個、這種。
5483,彼搭,彼處、那裡。離說話者比較遠的地方。,11056,這搭,這裡。
5486,彼號,那種。,21925,這號,這一個、這種。
5489,往過,以往、以前。,1845,以後,日後、以後、爾後 。指晚於某一段時間之後的時間。
5489,往過,以往、以前。,2378,未來,將來。相對於現在、過去來說。
5489,往過,以往、以前。,6973,後擺,下次、下回。
5489,往過,以往、以前。,9926,將來,未來。尚未到的時候。
5489,往過,以往、以前。,22615,後日仔,日後、以後、將來。未來的日子。
5495,彼擺,那次。,11041,這陣,現在。當下這個時刻。
5495,彼擺,那次。,11065,這過,這次。
5496,往擺,以前、早先。,22615,後日仔,日後、以後、將來。未來的日子。
5629,旺,植物生長茂盛。,22717,焦蔫,植物因缺少水分或營養而枯萎。
5629,旺,植物生長茂盛。,22722,枯焦,枯乾。
5672,拄好,恰巧、剛好。,1340,毋拄好,搞不好、不湊巧。
5679,拚血,血崩。生產或流產時引發大出血。,22928,堅血,血液凝固。傷口不再流血。
5689,抵抗,抗拒、反抗。,22572,壓落底,壓制使順從、壓制使屈服。
5691,拖沙,形容人做事拖泥帶水、不乾脆。,22974,緊跤,腳勤。
5693,拘束,拘謹、不活潑。,15784,靠俗,不拘禮節、不拘小節。比喻人的交情熟稔而不拘守無關大體的細節。
5697,承受,接受、承擔。,5789,拒絕,拒退斷絕，不接受。
5697,承受,接受、承擔。,16878,謝絕,委婉地推辭拒絕。
5709,放放,散漫、馬虎。草率不認真。,22510,致心,盡心盡力、專心致志。
5712,抱的,養子女。抱養的子女，不是親生的子女。,16253,親生,親自生育的。
5713,拆股,拆夥。結束合作關係，取回應有的資產、股份。,3054,合股,合夥。幾個人集合資本共同經營事業。
5713,拆股,拆夥。結束合作關係，取回應有的資產、股份。,9509,鬥股,合股。若干人集合資本共同經營事業。
5713,拆股,拆夥。結束合作關係，取回應有的資產、股份。,18526,佮股,合夥。幾個人集合資本共同經營事業。
5725,押後,殿後，在最後面。,1817,代先,最前頭。
5725,押後,殿後，在最後面。,22948,做前,領頭、帶領。
5728,抾拾,節省、節儉。,5806,拍損,浪費、蹧蹋。
5729,拍某菜,茼蒿。植物名。菊科茼蒿屬，一年生草本。高至70公分，葉互生，邊緣有不規則羽狀分裂。頭狀花序，花黃色或白色。嫩莖及葉可食，為臺灣地區冬季盛產蔬菜之一。一般常用來搭配火鍋或鹹湯圓，由於莖葉的水分多，煮過後會大量失水，只剩一點點，會讓丈夫誤以為被妻子吃掉，所以舊時又稱之為「拍某菜」。,8869,疼某菜,牛蒡。草本植物。根及嫩葉可食，種子、根還可用做藥物，能降火解毒。因有滋陰補陽的功效，丈夫可多買給妻子吃，為妻子補身，且自己食用，也有助於房事，所以稱為「疼某菜」。
5775,拖累,連累、牽累。,10559,牽抾,受他人協助，導致某種好的結果。
5786,抽稅,徵稅、課稅。徵收稅金。,9009,納稅,繳納稅賦。
5789,拒絕,拒退斷絕，不接受。,5697,承受,接受、承擔。
5789,拒絕,拒退斷絕，不接受。,5841,承擔,承受、擔負。
5789,拒絕,拒退斷絕，不接受。,10222,接受,接納，收受。
5789,拒絕,拒退斷絕，不接受。,10243,接納,接受。
5789,拒絕,拒退斷絕，不接受。,12240,答應,允許、承諾。
5789,拒絕,拒退斷絕，不接受。,14956,領受,接受。收受、接納。
5802,放債,遺留債務。,16914,還數,還債。償還所積欠的債款。
5806,拍損,浪費、蹧蹋。,5728,抾拾,節省、節儉。
5806,拍損,浪費、蹧蹋。,22691,惜略,惜物，珍惜東西。
5841,承擔,承受、擔負。,5789,拒絕,拒退斷絕，不接受。
5841,承擔,承受、擔負。,16878,謝絕,委婉地推辭拒絕。
5861,拍翸,揮霍。,22691,惜略,惜物，珍惜東西。
5895,東,方位名，與「西」相對。,3893,西,方位名。與「東」(tang)相對。西為太陽落下的方向。
5897,東,方位名，與「西」相對。,3894,西,方位名。與「東」(tong)相對。西為太陽落下的方向。
5921,東爿,東邊。,3899,西爿,方位名。西邊、西方。
5952,東倒西歪,形容亂七八糟的樣子。,2043,四正,四方端正、不偏不倚。
5952,東倒西歪,形容亂七八糟的樣子。,15957,整齊,有次序、有條理。
6020,武市,從事外送、大宗買賣，主動開發客源的商行。,1223,文市,零售商行。
6027,沓沓仔,慢慢地。,14850,趕緊,加快動作的速度。
6027,沓沓仔,慢慢地。,14851,趕緊,急迫、匆忙。
6130,注意,小心、留意。,11922,無細膩,不小心。
6151,知,明白、了解。,1358,毋知,不知、不知道。
6151,知,明白、了解。,1361,毋知影,不知、不知道。
6179,直直,很直，沒有轉彎。,6435,虯虯,蜷曲。通常用來形容毛髮。
6190,空殼,空心不實的。,14388,實腹,內部紮實不空心的。
6204,知影,知道、懂得。,1358,毋知,不知、不知道。
6204,知影,知道、懂得。,1361,毋知影,不知、不知道。
6206,的確,一定。,11888,無的確,說不定、不一定。
6248,芳,香氣令人愉悅的。,9111,臭,形容味道難聞。
6258,肥肉,多脂肪質的肉類。,4791,赤肉,瘦肉、精肉。
6258,肥肉,多脂肪質的肉類。,14680,精肉,瘦肉。
6258,肥肉,多脂肪質的肉類。,15341,瘦肉,瘦肉、精肉。
6302,花巴哩貓,形容圖案樣式或顏色雜亂無章的樣子。,22943,素色,白色、素色、淡雅的顏色。
6328,近,指時間、地點、血統、關係等方面距離不遠的。,14869,遠,時間、空間的距離大，或是血統、交情等關係不近。
6328,近,指時間、地點、血統、關係等方面距離不遠的。,14870,遠,時間、空間的距離大，或是血統、交情等關係不近。
6342,長,形容時間的久遠。,12073,短,事物之間的距離小，與長相對。
6343,長,形容物體或空間兩端的距離較大、較遠。,12073,短,事物之間的距離小，與長相對。
6343,長,形容物體或空間兩端的距離較大、較遠。,12074,短,引申為不夠、少、小、缺失等。
6359,長䘼,長袖。,12095,短䘼,短袖。長度不超過上臂的袖子。
6418,雨來天,雨天、下雨天。,3197,好天,好天氣。晴朗、氣溫宜人，令人覺得舒爽。
6418,雨來天,雨天、下雨天。,22413,大晡日,出大太陽的好天氣。
6422,長命,長壽、高壽。,1533,夭壽,夭折。短命早死。
6422,長命,長壽、高壽。,12101,短命,以詛咒人壽命不長、早死來罵人。
6422,長命,長壽、高壽。,12126,短歲壽,短命。壽命不長、早夭。
6435,虯虯,蜷曲。通常用來形容毛髮。,6179,直直,很直，沒有轉彎。
6436,金金,睜大眼睛。,22986,微微,瞇眼。眼睛微微閉合。
6479,阿婆,老婦。對年長婦人的通稱。,1165,少女,年輕未婚的女孩子。
6486,長途,遙遠的路程。,18625,短站,短程。
6504,長歲壽,長壽、長命、高壽。,1533,夭壽,夭折。短命早死。
6504,長歲壽,長壽、長命、高壽。,12101,短命,以詛咒人壽命不長、早死來罵人。
6504,長歲壽,長壽、長命、高壽。,12126,短歲壽,短命。壽命不長、早夭。
6510,長壽,長命、高壽。壽命很長。,1533,夭壽,夭折。短命早死。
6510,長壽,長命、高壽。壽命很長。,12101,短命,以詛咒人壽命不長、早死來罵人。
6510,長壽,長命、高壽。壽命很長。,12126,短歲壽,短命。壽命不長、早夭。
6517,虯儉,節儉、節約、儉省。,8159,匪類,指人任意蹧蹋物資，不加節制。
6517,虯儉,節儉、節約、儉省。,8674,浪費,沒有節制、無益的耗費。
6517,虯儉,節儉、節約、儉省。,9387,討債,浪費、蹧蹋。沒有節制、無益的耗費。
6521,長輩,輩分高、年紀長的人。,706,下輩,晚輩、後輩。子姪輩或是輩分較低的人。
6521,長輩,輩分高、年紀長的人。,4404,序細,晚輩、後輩。
6526,近親,血緣較近的親屬。,14915,遠親,血統關係較為疏遠的親戚。
6544,非法,與現行法令相違背的。,3052,合法,合於法令規範。
6563,便宜,價格低廉。,12418,貴,東西價錢很高。
6566,便服,便衣。平常穿的衣服。,5095,制服,統一規定式樣的服裝。
6569,便衫,便服。平常居家在穿的衣服。,5095,制服,統一規定式樣的服裝。
6584,俗,便宜。,12418,貴,東西價錢很高。
6584,俗,便宜。,12480,貴參參,非常昂貴的。
6584,俗,便宜。,22083,無價,無價、珍貴、價值連城。
6599,前,位置在正面或靠近開頭的。,6871,後,在背面的。
6600,前,時間或次序較早的。,6870,後,指時間次序上比較晚的。
6601,前,位置在正面或靠近開頭的。,6871,後,在背面的。
6602,前,時間或次序較早的。,6870,後,指時間次序上比較晚的。
6603,勇,健康、強壯。,9222,荏,形容人的身體虛弱，沒有元氣。
6603,勇,健康、強壯。,22645,虛荏,身體虛弱。
6604,勇,物品堅固耐用。,9223,荏,形容某事物的質地不夠紮實、堅固。
6606,南,方位名。早晨面朝太陽時，右手的一邊。與「北」相對。,1922,北,方位名。與「南」相對。
6613,前日,前幾天。,22615,後日仔,日後、以後、將來。未來的日子。
6614,南爿,南邊。南方。,2023,北爿,北邊。北方。
6615,前世,上輩子。,6901,後世人,下輩子、來世、來生。
6615,前世,上輩子。,6904,後出世,下輩子、來世、來生。
6632,前金,訂金。預付商品或勞務報酬的部分金額。,19110,後謝,尾款。受託人完成任務後，委託人支付的酬勞、尾款。
6637,前某,前妻。已去世或離異的妻子。,6648,前翁,前夫。前任的丈夫。
6637,前某,前妻。已去世或離異的妻子。,6924,後岫,後妻、繼室、繼配。稱謂。原配死後續娶的妻子。
6637,前某,前妻。已去世或離異的妻子。,6933,後某,後妻、繼室、繼配。稱謂。原配死後續娶的妻子。
6648,前翁,前夫。前任的丈夫。,6637,前某,前妻。已去世或離異的妻子。
6649,勇健,健朗。形容身體健康硬朗。,22645,虛荏,身體虛弱。
6650,勉強,勉強。強迫別人去做他所不願意做的事。,10099,情願,甘心、願意。
6654,南極,地球的最南端，南緯九十度上。,2166,北極,地球沿南北向的地軸旋轉，而此地軸的北端，稱為「北極」。
6659,南管,流行於福建、臺灣及東南亞地區的古樂。以古代樂曲逐步融合當地的民間音樂，歌者手拿拍板，以琵琶為主要伴奏，再配合洞簫、三弦、二弦、四塊板等樂器演奏。南管樂曲通常分為指、譜、曲三種，樂風平和端莊。,2187,北管,流行在中國閩南及臺灣的傳統音樂。因為由北曲演變而來，所以稱為「北管」。依照所使用的樂器，可分為西皮和福祿二派。西皮以弔鬼子胡琴為主奏樂器；福祿則用殼子弦。唱腔上，福祿部分保存梆子腔系統，西皮部分保存皮黃腔系統。
6665,前輩,長輩。年長或資歷深的人。,706,下輩,晚輩、後輩。子姪輩或是輩分較低的人。
6665,前輩,長輩。年長或資歷深的人。,6962,後輩,晚輩。
6675,前謝,預付的報酬金。,19110,後謝,尾款。受託人完成任務後，委託人支付的酬勞、尾款。
6676,前擴,前額凸出的部分。,6972,後擴,後腦杓。頭後面比較突出的部分。
6683,前驛,車站的前站。「驛」源自日語「駅（えき）」。,6976,後驛,車站的後站。「驛」源自日語「駅（えき）」。
6684,厚,指物體表面與底部之間的距離比較大的。與「薄」(po̍h)相對。,16759,薄,非常扁平的樣子，與「厚」相反。可引申為淡的、少的。
6685,厚,形容質量或程度多而且大。,16759,薄,非常扁平的樣子，與「厚」相反。可引申為淡的、少的。
6686,厚,指數量多的。,1076,少,多的相反。大多用於可計數之實體性物質。
6753,厚禮數,多禮。禮數周到。,11964,無禮,形容人不懂禮數。
6776,城市,都市。人口集中，工商業發達，居民多為外來人口，通常是周圍地區的經濟、政治、文化及流行中心。,3314,庄跤,鄉下。
6776,城市,都市。人口集中，工商業發達，居民多為外來人口，通常是周圍地區的經濟、政治、文化及流行中心。,12525,鄉村,農村、鄉下。鄉下的村落。
6776,城市,都市。人口集中，工商業發達，居民多為外來人口，通常是周圍地區的經濟、政治、文化及流行中心。,13997,農村,農民聚居的村落。
6812,巷,大街旁的小通道。,660,大路,寬敞開闊的道路。
6826,巷仔,小巷。大街旁的小通道。,660,大路,寬敞開闊的道路。
6870,後,指時間次序上比較晚的。,6600,前,時間或次序較早的。
6870,後,指時間次序上比較晚的。,6602,前,時間或次序較早的。
6871,後,在背面的。,6599,前,位置在正面或靠近開頭的。
6871,後,在背面的。,6601,前,位置在正面或靠近開頭的。
6897,後月日,下個月。,11140,頂月,上個月。
6897,後月日,下個月。,11141,頂月日,上個月。
6901,後世人,下輩子、來世、來生。,6615,前世,上輩子。
6901,後世人,下輩子、來世、來生。,11144,頂世人,前世、上輩子。
6901,後世人,下輩子、來世、來生。,18542,前世人,前世、上輩子。
6904,後出世,下輩子、來世、來生。,6615,前世,上輩子。
6904,後出世,下輩子、來世、來生。,11144,頂世人,前世、上輩子。
6904,後出世,下輩子、來世、來生。,18542,前世人,前世、上輩子。
6922,後來,指一段時間之後。,1815,代先,事先、預先。
6922,後來,指一段時間之後。,12530,進前,以前、從前。
6922,後來,指一段時間之後。,19489,寢頭,起初、起先。剛開始的時候。
6924,後岫,後妻、繼室、繼配。稱謂。原配死後續娶的妻子。,6637,前某,前妻。已去世或離異的妻子。
6926,急性,性情急躁。,7561,耐性,能忍耐、不急躁的個性 。
6926,急性,性情急躁。,14426,慢性,性情不急躁。
6927,急性,變化急劇的。,14427,慢性,時間長的、耐久的。
6930,恬恬,安靜無聲。,2221,出聲,用嘴發出聲音，常用來表示「說話」的意思。
6930,恬恬,安靜無聲。,22497,嗤噌,指鼻子強力吸氣、呼氣，發出聲音。後引申為吭聲。
6930,恬恬,安靜無聲。,22637,喝聲,出聲回應、表態。對於別人的發問，出聲表示贊同與否。
6933,後某,後妻、繼室、繼配。稱謂。原配死後續娶的妻子。,6637,前某,前妻。已去世或離異的妻子。
6934,後面,人體或物體背面、靠後的部分。,2403,正面,身體五官的那一面、物體的外表或上層。
6934,後面,人體或物體背面、靠後的部分。,7922,面頭前,眼前、面前。
6934,後面,人體或物體背面、靠後的部分。,16445,頭前,前面、前方。指空間、次序上比較先的。
6937,後個月,下個月。,11140,頂月,上個月。
6937,後個月,下個月。,11141,頂月日,上個月。
6962,後輩,晚輩。,2895,先輩,前輩、先進。尊稱年齡或輩份較長的人。
6962,後輩,晚輩。,4369,序大,長輩。指輩份高，年紀大的人。
6962,後輩,晚輩。,6665,前輩,長輩。年長或資歷深的人。
6963,後壁,背面、後面。,16445,頭前,前面、前方。指空間、次序上比較先的。
6967,恬靜,安靜無聲。,22985,鬧熱滾滾,場面非常熱鬧、人聲鼎沸的樣子。
6968,恬靜,文靜。,15574,賤,指人生性好動，喜歡擺弄任何能夠接觸到的東西。
6968,恬靜,文靜。,22882,捙蛆,形容小孩過動、躁動的樣子。
6968,恬靜,文靜。,23031,無時定,形容人活潑好動，一刻都閒不下來。
6970,後頭,娘家。,22512,內家,婆家。指女人出嫁後，丈夫的父母家。
6971,後頭厝,娘家。女性出嫁後對親生父母家的稱呼，以用來和婆家作區別。,22512,內家,婆家。指女人出嫁後，丈夫的父母家。
6972,後擴,後腦杓。頭後面比較突出的部分。,6676,前擴,前額凸出的部分。
6973,後擺,下次、下回。,5489,往過,以往、以前。
6973,後擺,下次、下回。,11187,頂過,上次。
6973,後擺,下次、下回。,11202,頂幫,上次，前一次。
6973,後擺,下次、下回。,11203,頂擺,上次、前回。
6973,後擺,下次、下回。,21888,頂改,上次、上回。
6976,後驛,車站的後站。「驛」源自日語「駅（えき）」。,6683,前驛,車站的前站。「驛」源自日語「駅（えき）」。
6981,挃,要、欲。,1375,毋挃,不要。
7014,是,表示肯定判斷語，用來說明主詞，一般後面跟著名詞。,1376,毋是,不是。
7083,春節,過年、新年。,3235,年尾,年終、歲未。
7104,某,妻子、太太、老婆。,7152,查埔人,丈夫、老公。
7104,某,妻子、太太、老婆。,9060,翁,丈夫。女人稱與自己有婚姻關係的男子。
7113,柯,形容在品嚐蔬菜或瓜果時，有纖維粗糙的感覺。,2269,幼,嫩。用於形容蔬菜、肉類的口感。
7138,查某,女人、女性、女生。,7150,查埔,男人、男性、男生。
7138,查某,女人、女性、女生。,7151,查埔人,男人。
7140,查某人,女人。,7150,查埔,男人、男性、男生。
7140,查某人,女人。,7151,查埔人,男人。
7141,查某人,太太、妻子。,7152,查埔人,丈夫、老公。
7141,查某人,太太、妻子。,9094,翁婿,丈夫。稱謂。妻子對他人稱自己的丈夫。
7143,查某囡仔,對年輕女子的泛稱。,7154,查埔囡仔,對年輕男孩的泛稱。
7150,查埔,男人、男性、男生。,7138,查某,女人、女性、女生。
7150,查埔,男人、男性、男生。,7140,查某人,女人。
7151,查埔人,男人。,7138,查某,女人、女性、女生。
7151,查埔人,男人。,7140,查某人,女人。
7152,查埔人,丈夫、老公。,1197,太太,丈夫稱呼自己的妻子。
7152,查埔人,丈夫、老公。,7104,某,妻子、太太、老婆。
7152,查埔人,丈夫、老公。,7141,查某人,太太、妻子。
7152,查埔人,丈夫、老公。,8275,家後,妻子、太太。
7152,查埔人,丈夫、老公。,10542,牽手,太太、老婆。
7154,查埔囡仔,對年輕男孩的泛稱。,7143,查某囡仔,對年輕女子的泛稱。
7165,歪,歪斜。,2298,正,中、不偏的、不歪斜的。
7184,洘,液體濃、稠。,14538,漖,含水分多的、被水分稀釋的。
7199,洘旱,大旱、旱災。長期不雨所造成的嚴重乾旱。,9633,做大水,水災、淹水。
7199,洘旱,大旱、旱災。長期不雨所造成的嚴重乾旱。,10455,淹水,被水覆蓋。
7199,洘旱,大旱、旱災。長期不雨所造成的嚴重乾旱。,19276,做水,淹水、鬧水災。
7207,洘流,退潮。,21897,滇流,漲潮。地球上的海洋表面受到太陽和月球的引力（潮汐力）作用引起的海水面上升的現象。
7207,洘流,退潮。,22977,飽流,漲潮。
7231,活,生存。,3434,死亡,喪失生命。
7231,活,生存。,14020,過氣,斷氣。死亡。
7263,活水,有源頭、會流動的水。,3533,死窟仔水,死水。停聚而不能流通的水。
7272,流行,時興。盛行於當時。,14016,過時,退流行，不合時宜。
7272,流行,時興。盛行於當時。,22724,古早味,指令人懷念具傳統風味的事物。
7288,活結,一拉就開的繩結。,3521,死結,無法一拉就解開的繩結。
7289,活會,由會員共同組成的儲蓄會，定期集會，繳納會款，每次輪由付出最高利息的人取得該期儲金。可分為內標與外標兩種形式。其中稱尚未標下的為「活會」。,3529,死會,由會員共同組成的儲蓄會，定期集會，繳納會款，每次輪願意付出最高利息的人標得該期會款。可分為內標與外標兩種形式。其中已經得標的會員稱為「死會」。
7290,活會,指男女未婚。,3530,死會,指已結婚、訂婚或有固定男女朋友的人。
7292,活路,生路。,3540,死路,比喻死亡之路。
7292,活路,生路。,12227,絕路,死路，走不通的路。
7293,活跳跳,活蹦亂跳、活力充沛的樣子。,18950,死殗殗,死氣沉沉、要死不活。
7293,活跳跳,活蹦亂跳、活力充沛的樣子。,22746,欲死盪幌,死氣沉沉、精神萎靡不振。
7293,活跳跳,活蹦亂跳、活力充沛的樣子。,22747,欲死盪幌,沒有生機。
7297,活潑,生動而不呆板。,3474,死板,古板、刻板。僵化不知變通。
7297,活潑,生動而不呆板。,8592,柴頭,呆板。形容一個人木訥、不解風情。
7301,活錢,能被拿來使用的款項。相對於「死錢」(sí-tsînn)而言。,3563,死錢,藏在身旁不加以運用的錢財。
7387,相連紲,連續、連串。一個接著一個，接連不斷。,22965,斷站,指做某件事或工程，因故於進行中停止或擱置。
7447,看人無,瞧不起人。,7467,看重,重視、著重。
7447,看人無,瞧不起人。,7488,看會起,看重、看得起；一般視為離合詞。
7447,看人無,瞧不起人。,7738,重視,注重。特別注意。
7459,看有起,看重、看得起；一般視為離合詞。,7475,看衰,瞧不起、看扁。
7459,看有起,看重、看得起；一般視為離合詞。,7476,看袂起,瞧不起。
7459,看有起,看重、看得起；一般視為離合詞。,7487,看無起,瞧不起、看扁。
7459,看有起,看重、看得起；一般視為離合詞。,7491,看輕,輕視。
7459,看有起,看重、看得起；一般視為離合詞。,11911,無夠重,不夠重、重量不足，也引申為看不起人。
7467,看重,重視、著重。,7447,看人無,瞧不起人。
7467,看重,重視、著重。,7475,看衰,瞧不起、看扁。
7467,看重,重視、著重。,7476,看袂起,瞧不起。
7467,看重,重視、著重。,7491,看輕,輕視。
7467,看重,重視、著重。,14911,輕視,歧視、看不起。用不公平的眼光、角度看待別人。
7467,看重,重視、著重。,19133,看袂上目,看不上眼、輕視。
7469,秋凊,涼爽。清涼舒爽。,22957,漚翕,天氣悶熱，空氣又不流通。
7475,看衰,瞧不起、看扁。,7459,看有起,看重、看得起；一般視為離合詞。
7475,看衰,瞧不起、看扁。,7467,看重,重視、著重。
7475,看衰,瞧不起、看扁。,7488,看會起,看重、看得起；一般視為離合詞。
7476,看袂起,瞧不起。,7459,看有起,看重、看得起；一般視為離合詞。
7476,看袂起,瞧不起。,7467,看重,重視、著重。
7476,看袂起,瞧不起。,7488,看會起,看重、看得起；一般視為離合詞。
7476,看袂起,瞧不起。,7738,重視,注重。特別注意。
7476,看袂起,瞧不起。,11495,尊敬,敬重、尊崇。
7487,看無起,瞧不起、看扁。,7459,看有起,看重、看得起；一般視為離合詞。
7487,看無起,瞧不起、看扁。,7488,看會起,看重、看得起；一般視為離合詞。
7487,看無起,瞧不起、看扁。,7738,重視,注重。特別注意。
7488,看會起,看重、看得起；一般視為離合詞。,7447,看人無,瞧不起人。
7488,看會起,看重、看得起；一般視為離合詞。,7475,看衰,瞧不起、看扁。
7488,看會起,看重、看得起；一般視為離合詞。,7476,看袂起,瞧不起。
7488,看會起,看重、看得起；一般視為離合詞。,7487,看無起,瞧不起、看扁。
7488,看會起,看重、看得起；一般視為離合詞。,7491,看輕,輕視。
7488,看會起,看重、看得起；一般視為離合詞。,19133,看袂上目,看不上眼、輕視。
7491,看輕,輕視。,7459,看有起,看重、看得起；一般視為離合詞。
7491,看輕,輕視。,7467,看重,重視、著重。
7491,看輕,輕視。,7488,看會起,看重、看得起；一般視為離合詞。
7491,看輕,輕視。,7738,重視,注重。特別注意。
7543,紅牙,紅潤。豐滿而帶有紅色的光澤。本詞目常重疊使用。,22118,白死殺,形容人的臉色蒼白，沒有血色。
7560,紅帖仔,喜帖。請人參加婚禮的請帖。,2651,白帖仔,訃聞。報告喪事的帖子。
7561,耐性,能忍耐、不急躁的個性 。,6926,急性,性情急躁。
7590,紅膏赤蠘,臉色紅潤，形容身體健康。,22118,白死殺,形容人的臉色蒼白，沒有血色。
7611,美麗,形容女子容貌漂亮、俏麗。,1385,歹看,難看的、醜陋的。
7611,美麗,形容女子容貌漂亮、俏麗。,18334,䆀,醜陋。
7627,茂,草木繁盛的樣子。,22717,焦蔫,植物因缺少水分或營養而枯萎。
7627,茂,草木繁盛的樣子。,22722,枯焦,枯乾。
