義項id,詞目漢字,解說,對應義項id,對應詞目漢字,對應解說
454,大舌,口吃。講話結結巴巴、不清不楚。,22493,璇石喙,能言善道。
462,山尾溜,山頂。,654,山跤,山腳。山下靠近平地的部分。
470,三更半暝,三更半夜；深夜。,142,七早八早,一大清早。
491,小使,小弟、跑腿的。供人差遣的人。,3651,老大,江湖幫會或團體中的首領。
498,山坪,山坡地。山凹間或山麓上較平坦的地或可耕地。,2408,平埔,平地、平野、平坦而空曠的原野。
498,山坪,山坡地。山凹間或山麓上較平坦的地或可耕地。,18894,平洋,平原、平地。平坦廣闊的原野。
511,下底,下面、底下。與「頂面」(tíng-bīn)相對。,7872,面頂,上面。
511,下底,下面、底下。與「頂面」(tíng-bīn)相對。,11164,頂面,上面。
511,下底,下面、底下。與「頂面」(tíng-bīn)相對。,11200,頂頭,上面、上頭。
511,下底,下面、底下。與「頂面」(tíng-bīn)相對。,11206,頂懸,上面、上頭。
522,乞的,養子女。,16253,親生,親自生育的。
523,土直,形容一個人個性率真、剛直，不會深思熟慮，不會拐彎抹角。,23111,滑溜,圓滑。做事或言談面面周到，不得罪人。
563,大厝,大房子、廣廈。,567,低厝仔,簡陋又低矮的房子。
563,大厝,大房子、廣廈。,18501,平階,平房。
567,低厝仔,簡陋又低矮的房子。,563,大厝,大房子、廣廈。
567,低厝仔,簡陋又低矮的房子。,15260,樓仔厝,樓房。兩層或兩層以上的房子。
585,低級,比較低下的級別，相對於「高級」而言。,619,上等,最高等級或最優異的品等。
585,低級,比較低下的級別，相對於「高級」而言。,9530,高級,較高尚、尊貴，層次等級較高的。
589,上崎,上坡。,13656,落崎,下坡。
594,下晝,下午。,11173,頂晡,早上、上午。
595,下晡,下午。,369,上午,清晨到中午之間。
595,下晡,下午。,3503,早起,早上、早晨。
595,下晡,下午。,11173,頂晡,早上、上午。
596,小票,零鈔。小面額的紙幣。,18792,大張的,特指大鈔。指千元以上，大面額大的鈔票。
599,大細心,偏心。指人故意偏袒一方，對某一方存私心。,21940,平棒,公正持平。
599,大細心,偏心。指人故意偏袒一方，對某一方存私心。,22688,平正,公平、公正、無私心。
600,大細目,本義為兩眼一大一小，大小眼。引申為用不公平的角度看待他人。,22688,平正,公平、公正、無私心。
601,山頂,山的最高點。,654,山跤,山腳。山下靠近平地的部分。
605,大寒,極冷，嚴寒。,694,大熱,酷暑。極炎熱的天氣。
609,下港,指臺灣南部地方。,2135,北部,指某一地的北方區域。
609,下港,指臺灣南部地方。,11179,頂港,北部。用來稱呼臺灣的北部地區。
613,干焦,只有、僅僅。,1284,毋但,不只、不但。
619,上等,最高等級或最優異的品等。,585,低級,比較低下的級別，相對於「高級」而言。
627,凡勢,也許、可能。,22855,定規,必定、必然、肯定。
639,大腸,腸的下部。上接小腸，下連肛門，較小腸粗大而短，可依次分為盲腸、結腸與直腸三部分。大腸可吸收水分和一部分養分，並主宰排泄作用。,643,小腸,在腸的上部，較大腸細長，上接胃部，下連大腸，有消化和吸收的功用，是人體最重要的消化器官。
643,小腸,在腸的上部，較大腸細長，上接胃部，下連大腸，有消化和吸收的功用，是人體最重要的消化器官。,639,大腸,腸的下部。上接小腸，下連肛門，較小腸粗大而短，可依次分為盲腸、結腸與直腸三部分。大腸可吸收水分和一部分養分，並主宰排泄作用。
648,下跤,下面、底下。,7872,面頂,上面。
648,下跤,下面、底下。,11164,頂面,上面。
648,下跤,下面、底下。,11200,頂頭,上面、上頭。
648,下跤,下面、底下。,11206,頂懸,上面、上頭。
648,下跤,下面、底下。,19610,懸頂,上面、上頭。
654,山跤,山腳。山下靠近平地的部分。,462,山尾溜,山頂。
654,山跤,山腳。山下靠近平地的部分。,601,山頂,山的最高點。
654,山跤,山腳。山下靠近平地的部分。,715,山頭,山頂。
654,山跤,山腳。山下靠近平地的部分。,22111,山尖,山嶺的頂點。
655,下跤手人,手下、下屬。從事打雜工作的部屬。,11147,頂司,上司、上級。
655,下跤手人,手下、下屬。從事打雜工作的部屬。,16449,頭家,老闆、僱主。
659,低路,低能。指不中用。,9504,高明,形容人的能力高超精湛。
659,低路,低能。指不中用。,12835,勥跤,形容一個人精明能幹，一般用在形容女人，有貶義。
660,大路,寬敞開闊的道路。,662,小路,小徑、小道。較狹窄的路。
660,大路,寬敞開闊的道路。,6812,巷,大街旁的小通道。
660,大路,寬敞開闊的道路。,6826,巷仔,小巷。大街旁的小通道。
662,小路,小徑、小道。較狹窄的路。,660,大路,寬敞開闊的道路。
669,大漢,身材高大。,10785,細漢,身材矮小。
671,大漢,年長的。排行在先的或較年長的。,10787,細漢,輩份排行在後的。
676,上緊,最快。,344,上久,最久。
694,大熱,酷暑。極炎熱的天氣。,605,大寒,極冷，嚴寒。
694,大熱,酷暑。極炎熱的天氣。,22093,烏寒,陰天又寒冷的。
695,大範,一個人的舉止十分大方、自然，不受拘束。,11163,閉思,個性內向、害羞，靦腆的樣子。
695,大範,一個人的舉止十分大方、自然，不受拘束。,22125,㾀屎,器量狹小，用度過分節儉。吝嗇，不大方。
695,大範,一個人的舉止十分大方、自然，不受拘束。,22830,畏羞人,害羞、靦腆。
697,山線,穿越山區的交通路線。,8686,海線,沿著海岸的交通路線。
