詞目id,漢字,羅馬字
1899,石坎,tsio̍h-gám
1913,目的,bo̍k-tik
1916,目前,ba̍k-tsîng
1939,白帶,pi̍k-tài
1959,石敢當,si̍k-kám-tong
1977,目睫毛,ba̍k-tsiap-mn̂g
1994,石榴,tsio̍h-liû
1998,目標,bo̍k-phiau
2013,目錄,bo̍k-lio̍k
2022,白癜,pe̍h-tiò
2059,先生,sin-senn
2059,先生,sian-senn
2060,先生娘,sin-senn-niû
2060,先生娘,sian-senn-niû
2061,先生媽,sin-senn-má
2061,先生媽,sian-senn-má
2149,囡仔性,gín-á-siàng
2199,合家,ha̍p-ke
2210,名望,miâ-bōng
2248,同學,tông-o̍h
2253,危險,huî-hiám
2274,如,jî/lî
2279,守,tsiúnn
2287,年,nî
2299,存心,tshûn-sim
2308,字母,jī-bó/lī-bó
2318,如此,jî-tshú/lî-tshú
2319,存死,tshūn-sí
2320,如此如此,jî-tshú-jî-tshú/lî-tshú-lî-tshú
2333,如來佛祖,Jû-lâi-hu̍t-tsóo/Lû-lâi-hu̍t-tsóo
2340,守空房,tsiúnn khang-pâng
2349,安家,an-ke
2376,存款,tsûn-khuánn
2396,守寡,tsiúnn-kuánn
2406,存範,tshūn-pān
2407,安養,an-iúnn
2474,死囡仔䖙,sí-gín-á-thenn
2517,早起,tsái-khí
2518,早起頓,tsái-khí-tǹg
2519,扣除,khàu-tî
2547,有路用,ū-lōo-iōng
2593,耳,jí
2627,羊毛衫,iûnn-môo-sann
2639,米奶,bí-lin
2640,羊母,iûnn-bú
2642,老母,lāu-bó
2646,耳目,jí-bo̍k
2737,江湖,kang-ngôo
2743,老番顛,lāu-huan-thian
2766,血路,hiat-lōo
2799,米糕糜,bí-ko-muâi
2840,西式,se-sit
2862,佗,tá
2863,佗,tah
2881,伸手,tshng-tshiú
2885,佛手瓜,pu̍t-tshiú-kue
2887,佛仔,hu̍t-á
2917,佛祖,Hu̍t-tsóo
2919,佛堂,pu̍t-tn̂g
2920,佛教,Pu̍t-kàu
2931,佛像,pu̍t-siōng
2979,吸石,khi̍p-tsio̍h
2994,利息,lī-sit
3026,坎仔,gám-á
3046,坐禪,tsē-siâm
3050,妙,biāu
3082,宋江陣,Siòng-kang-tīn
3105,希望,hi-bōng
3137,忘,bông
3142,扭,náu
3146,扲,gîm
3147,扳,pan
3157,忌日,khī-ji̍t/khī-li̍t
3159,床母,Tshn̂g-bó
3160,扭尻川,gió kha-tshng
3162,庇佑,pí-iū
3164,忌床,kī-tshn̂g
3170,快活,khuànn-ua̍h
3175,忍氣,jím-khì
3189,扳過來,pan--kuè-lâi/pan--kè-lâi
3203,抑,iah
3203,抑,a̍h
3203,抑,ah
3220,村,tshuan
3236,抑是,iah-sī
3236,抑是,a̍h-sī
3236,抑是,ah-sī
3242,材料,tshâi-liāu
3245,杜蚓仔,tōo-ún-á
3271,批囊,phue-long
3280,汰,thài
3282,沉,tiâm
3377,災禍,tsai-ē
3387,言,gân
3401,阮,gún
3416,豆奶,tāu-lin
3428,豆乳,tāu-jí/tāu-lí
3428,豆乳,tāu-jínn
3443,見若,kìnn-nā
3458,走唱,tsáu-tshiàng
3469,車掌,tshia-tsiáng
3546,乳名,jí-miâ/lí-miâ
3549,享受,hióng-siū
3553,佳哉,kai-tsài
3572,享福,hióng-hok
3575,依賴,i-lāi
3635,叔伯姊妹,tsik-peh-tsí-muāi
3656,受氣,siūnn-khì
3670,受當袂起,siū-tng-bē-khí/siū-tng-buē-khí
3676,協調,hia̍p-tiāu
3678,刺激,tshì-khik
3697,和,hâm
3702,坪,phênn/phînn
3702,坪,phiânn
3707,坦白,thán-pe̍h
3770,姊夫,tsé-hu
3772,姊仔,tsé--á
3775,姐母,Tsiáu-bó
3780,奇妙,kî-biāu
3781,姊妹,tsí-muāi
3782,姊妹仔伴,tsí-muāi-á-phuānn
3786,委員,uí-guân
3841,官員,kuann-guân
3842,店員,tiàm-guân
3846,定做,tīng-tsò/tīng-tsuè
3855,季節,kuì-tsiat
3891,往日,íng-ji̍t/íng-li̍t
3899,往年,íng-nî
3908,怦怦喘,phīnn-phīnn-tshuán
3908,怦怦喘,phīnn-phēnn-tshuán
3908,怦怦喘,phīnn-phānn-tshuán
3923,彼號,hit-hō
3939,抨,piann
3944,抽,liu
4003,抾囝母,khioh-kiánn-bó
4012,拚血,piànn-hueh/piànn-huih
4019,抵抗,té-khòng
4025,拋捙輪,pha-tshia-lian
4033,抵押,té-ah
4038,拍抐涼,phah-lâ-liâng
4045,拍咳啾,phah-ka-tshiùnn
4053,招待,tsiau-tāi
4069,放捒,pàng-sat
