詞目id,漢字,羅馬字
11351,誰,tsuī
11359,衛生,uī-sing
11360,衛生紙,uī-sing-tsuá
11362,衛星,uī-tshenn/uī-tshinn
11368,課程,khò-thîng
11406,豬母,ti-bú/tu-bú
11407,豬母奶仔,ti-bú-ling-á/tu-bú-ni-á
11407,豬母奶仔,ti-bó-lin-á
11408,豬母菜,ti-bú-tshài/tu-bú-tshài
11474,踮,tàm
11504,適當,sik-tong
11541,養子,iúnn-tsú
11543,養母,iúnn-bó
11549,靠岸,khuà-huānn
11554,養的,iúnn--ê
11562,養飼,iúnn-tshī
11565,鬧,lāu
11586,鬧熱,nāu-jia̍t/nāu-lia̍t
11597,器具,khì-khū
11634,學寮,o̍h-liâu
11644,擉,tiak
11665,憑良心,pîng-liông-sim
11683,操煩,tshiau-huân
11689,擉算盤,tiak-sǹg-puânn
11693,憑據,pîng-kì/pîng-kù
11705,樹木,tshiū-bo̍k
11708,樹奶,tshiū-lin
11709,樹奶糖,tshiū-lin-thn̂g
11718,機械,ki-kài
11722,樹椏,tshiū-uāinn
11728,機器,ke-khì
11729,機器桶,ke-khì-tháng
11729,機器桶,ki-hì-tháng
11735,橄欖,kann-ná
11736,橫,huênn
11757,激烈,ki̍k-lia̍t
11859,興,hin
11888,褪赤跤,thǹg-tsiah-kha
11894,褪腹裼,thǹg-bak-theh
11908,蹁,phiân
11926,貓咪,niau-mi
11940,親像,tshan-tshiūnn
11970,醒悟,tshénn-gōo/tshínn-gōo
11972,遺書,uî-si
12020,錯誤,tshò-ngōo
12030,鞘,siò
12041,頭毛,thâu-moo
12045,頭毛鋏仔,thâu-mn̂g-ngeh-á
12057,頭拄仔,tha̍h-tú-á
12098,鴨母,ah-bú
12099,鴨母喙,ah-bú-tshuì
12100,鴨母蹄,ah-bú-tê
12104,龍脈,lîng-be̍h
12105,龍骨,lîng-kut
12106,龍眼,gîng-gíng
12107,龍眼乾,gîng-gíng-kuann
12108,龍船,liông-tsûn
12110,鴨掌,ah-tsiáng
12116,龍鳳,lîng-hōng
12117,龍蝦,liông-hê
12125,嚇,hennh
12133,嚇驚,hennh-kiann
12144,擤,tshǹg
12152,嬰母仔,ìnn-bú-á
12170,擘開,peh--khui
12172,彌補,ní-póo
12174,應該,ìng-kai
12175,應該然,ìng-kai-jiân/ìng-kai-liân
12177,擤鼻,tshǹg-phīnn
12178,戲劇,hì-ki̍k
12186,檔,tòng
12193,殭屍,kiong-si
12196,檔案,tòng-àn
12244,糜,muê
12274,總貿,tsóng-ba̍uh
12275,糜飯,muâi-pn̄g
12321,聲望,siann-bōng
12323,薄荷,po̍h-hô
12355,薑母,kiunn-bú
12356,薑母鴨,kiunn-bú-ah
12363,虧損,khui-sún
12374,觳仔炱,khóo-á-te
12394,謎猜,bî-tshai
12400,蹌跤雞,tshíng-kha-ke/tshíng-kha-kue
12409,輾,lìn
12411,還,hâinn
12428,輾轉,lìn-tńg
12482,擺,páinn
12491,斷奶,tn̄g-lin
12492,擽呧,iau-ti
12496,斷掌,tn̄g-tsiáng
12505,擴擴,phok-phok
12511,爁,nà
12513,爁日,nà-ji̍t/nà-li̍t
12514,檳榔,pun-nn̂g
12566,職員,tsit-guân
12587,職權,tsit-kuân
12603,蟯桮,giô-pe
12611,蟮蟲仔,siān-âng-á
12611,蟮蟲仔,siān-lâng-á
12611,蟮蟲仔,siān-tâng-á
12611,蟮蟲仔,sîn-âng-á
12613,藃蟶,hiau-than
12645,蹧躂,tsiau-that
12658,離,lî
12670,雞母,ke-bú/kue-bú
12671,雞母皮,ke-bú-phuê/kue-bú-phê
12672,雞母蟲,ke-bú-thâng/kue-bú-thâng
12752,颺風,iānn-hong
12753,颺粟,iānn-tshik
12792,攏權,láng-kuân
12796,瓣,pān
12797,礙,ngāi
12798,礙目,ngāi-ba̍k
12800,爆炸,po̍k-tsah
12801,礙虐,ngāi-gio̍h
12803,爍爁,sih-nà
12803,爍爁,sinnh-nà
12808,簾,nî
12830,簸箕甲,puànn-ki-kah
12948,嚷,jióng
12994,競爭,kìng-tsing
13018,警告,kìng-kò
13019,警戒,kìng-kài
13025,議員,gī-guân
13026,覺悟,kak-gōo
13029,警報,kìng-pò
13035,警察,kìng-tshat
13036,警察局,kìng-tshat-kio̍k
13042,釋迦,sik-khiau
13042,釋迦,sik-kia
13078,麵頭,bīn-thâu
13081,鹹糜,kiâm-muâi
13102,囂俳,hia-pai
13105,爛塗糜,nuā-thôo-muâi
13137,露水,lòo-tsuí
13153,譴責,khiàn-tsik
13154,護照,hōo-tsiò
13189,囉,--loh
13196,權,kuân
13197,權力,kuân-li̍k
13199,權利,kuân-lī
13202,權威,kuân-ui
13203,權限,kuân-hān
13273,躘,lìng
13289,驚生份,kiann tshenn-hūn/kiann tshinn-hūn
13304,體面,thé-biān
13309,躘被,lìng phuē/lìng phē
13312,變款,pìnn-khuán
13341,靈芝,liân-tsi
13407,鱷魚,go̍k-hî/go̍k-hû
13449,躼,liò
13450,躼跤,liò-kha
13451,躼跤仔,liò-kha-á
13456,𠯗,si̍p
13457,𠯗一下,si̍p--tsi̍t-ē
13479,𨂿,uaih
13480,𨂿著,uaih-tio̍h
13509,䖙,thenn
13510,䖙椅,thenn-í
13522,𨑨迌,thit-thô
13523,𨑨迌人,thit-thô-lâng
13524,𨑨迌囡仔,thit-thô gín-á
13525,𨑨迌物,thit-thô-mi̍h/thit-thô-mn̍gh
13526,𨑨迌物仔,thit-thô-mih-á
13574,𢪱,but
13600,塌,thap
13614,肥朒朒,puî-lut-lut
13640,枷車藤,ka-tshia-tîn
13649,交仗,kau-tiāng
13653,字姓,gī-sènn
13690,相𤆬,sann-tshuā
13691,相罵本,sann-mā-pún
13695,個外月,kóo-guā-gue̍h/kóo-guā-ge̍h
13715,高長,ko-tshiâng
13719,帶身人,tuà-sin-lâng
13723,晚冬,buán-tang
13768,塗糜,thôo-muâi
13769,搝票,giú-phiò
13773,會記得,ē-kì--tsit
13773,會記得,ē-kì--lit
13773,會記得,ē-kì--lih
13773,會記得,ē-kì--eh
13797,對相,tuì-siàng
13814,影跡,iánn-jiah/iánn-liah
13815,撐渡,thenn-tōo
13834,嚇嚇叫,hē-hē-kiò
13854,鹹梅,kiâm-buê
13861,鬱拗,ut-áunn
13879,上尾,siāng-bué
13881,上無,siāng-bô
13882,下晝頓,e-tàu-tǹg
13928,歹吉兆,phái-kiat-tiāu
13961,半丁,puàn-ting
13964,半遂,piàn-suī
13967,司公仔象桮,sai-kong-á-sīn-pue
13970,央教,iang-kà
14006,好唯是,hó-bī-sī
14007,字勻,gī-ûn
14009,成格,tshiânn-keh
14028,自家用的,tsū-ka-īng--ê
14037,佗落,toh-lo̍h/tah-lo̍h
14038,佛手柑,hu̍t-siú-kam
14041,呔會,thah ē
14045,坐毋著,tsē-m̄-tio̍h
14046,坐底,tsē-té/tsē-tué
14052,忘恩背義,bông-un-puē-gī
14081,孤鳥,koo-niáu
14084,定貨,tīng-huè/tīng-hè
14090,拄咧,tú-leh
14090,拄咧,tú-lih
14106,空思夢想,khang-su-bāng-sióng
14117,長志,tsióng-tsì
14125,俗麭,siok-pháng
14131,客滿,kheh-muá
14138,指甲眉,tsńg-kah-bâi
14147,柿霜,khī-song
14150,相伨,sann-thīn
14151,相揣,sann-tshē
14157,紀年,kí-nî
14184,香櫞瓜,hiunn-iân-kue
14191,凌勒,lîng-li̍k
14212,烏子仔菜,oo-jí-á-tshài
14257,偌久,juā-kú
14257,偌久,luā-kú
14264,參仔氣,sam-á-khuì
14264,參仔氣,som-á-khuì
14278,梅仔茶,m̂-á-tê
14278,梅仔茶,muâi-á-tê
14278,梅仔茶,buê-á-tê
14312,喙桮,tshuì-pe
14316,寒酸,hân-san
14319,提囡仔,thue̍h-gín-á
14319,提囡仔,e̍h-gín-á
14320,敢是,kiám-sī
14323,斑芝,pian-tsi
14356,貿貨底,ba̍uh-huè-té/ba̍uh-hè-tué
14366,塗石流,thôo-tsio̍h-liû
14371,搝後跤,giú-āu-kha
14384,歇涼,heh-liâng/hennh-liâng
14385,歇睏日,heh-khùn-ji̍t/hennh-khùn-ji̍t
14386,歇睏時仔,heh-khùn-sî-á/hennh-khùn-sî-á
14408,恩情人,in-tsîng-lâng
14424,電頭毛店,tiān-thâu-moo-tiàm
14429,墓紙,bōo-tsuá
14476,噸,tùn
14477,樹奶束仔,tshiū-lin-sok-á
14488,聬儱,àng-láng
14489,褪毛,thǹg-moo
14497,霎霎仔雨,sa̍p-sa̍p-á-hōo
14511,臨時臨曜,liâm-sî-liâm-iāu
14532,懸頂,kuâinn-tíng
14553,變相,pìnn-siùnn
14554,變啥魍,pìnn-sánn-báng
14556,鑢卡,lù-khá
14561,鑽水沬,tshǹg-tsuí-bī
14563,𣻸塌塌,siûnn-la̍p-la̍p
14585,毋就,m̄-tiō
14609,膽肝,tap-kuann
17942,歹鬼𤆬頭,phái-kuí-tshuā-thâu
18003,出人前,tshut-lâng-tsiân
18083,巧氣,khá-khì
18305,呔,thah
18759,挐絞絞,jî-ká-ká
18828,紙條仔,tsuá-liâu-á
19027,船桮,tsûn-pe
19393,幔被仔,muà-phuē-á/muà-phē-á
19666,襟胸,khîm-hing
20247,鬧熱滾滾,nāu-jia̍t-kún-kún
20247,鬧熱滾滾,nāu-lia̍t-kún-kún
20298,變無撚,pìnn-bô-lián
20302,桑椹,sng-suînn
27243,水筧,tsuí-khiò
27247,母仔,bó--á
27248,交葛,kau-kuah
27251,狗母鮻,káu-bú-so
27266,當初時,tong-tshoo-sî
27271,歇假,hioh-kà
27281,滾躘,kún-lìng
27283,端的,tuann-tiah
27300,奶齒,lin-khí
27307,這號,tsit-hō
27321,四伨,sù-thīn
27324,躼跤蠓,liò-kha-báng
27370,相接,sann-tsiap
27376,暗摸摸,àm-moo-moo
27390,牛奶粉,gû-lin-hún
27407,老長壽,lāu-tiâng-siū
27424,圓輾輾,înn-lìn-lìn
27444,相疼痛,sann-thiànn-thàng
27460,受教,siū-kà
27475,新劇,sin-ki̍k
27486,佛祖生,Hu̍t-tsóo-senn/Hu̍t-tsóo-sinn
27536,青苔仔,tshenn-thî-á/tshinn-thî-á
27548,相疊,sio-thia̍p
27570,僭權,tsiàm-kuân
27570,僭權,tshiàm-khuân
27570,僭權,tshiàm-kuân
27575,青蘢蘢,tshenn-ling-ling
27575,青蘢蘢,tshinn-ling-ling
27575,青蘢蘢,tshenn-lang-lang
27575,青蘢蘢,tshinn-lang-lang
27586,毛繐,moo-sui
27586,毛繐,môo-sui
27636,萬年久遠,bān-liân-kiú-uán
28111,跋歹筊,pua̍h-phái-kiáu
28137,雞喙變鴨喙,ke-tshuì pìnn ah-tshuì/kue-tshuì pìnn ah-tshuì
28150,割引,kat-ín
28212,做鬧熱,tsò-nāu-jia̍t/tsuè-nāu-lia̍t
28230,挐頭,jî-thâu
28251,雞毛管仔,ke-moo-kóng-á
28276,嶄然,tsiám-jiân/tsiám-liân
28377,懸踏,kuân-tah
28385,歹星,phái-tshenn/phái-tshinn
28390,懸低坎,kuân-kē-gám
28399,出眾,tshut-tsiòng
28408,不三時,put-sám-sî
28410,呔討,thái-thó
28413,臭奶羶,tshàu-lin-hiàn
28420,叨錢,tho tsînn
28427,相向,sann-hiòng
28494,案桌,uànn-toh
28551,枯焦,koo-tâ
28559,酸甘,sng-lam
29081,小局,siáu-kio̍k
29101,起挐,khí-jî
29166,搧腹肚邊,siàn-bak-tóo-pinn
29232,做唯是,tsò-bī-sī/tsuè-bī-sī
29236,分分仔,hun-hun--á
29259,推排,tshui-pâi
29333,相挨推,sann-ue-the
29464,崩駁,pang-phoh
29506,米管,bí-kóng
29543,講仙古,káng-sian-kóo
17770,大拇頭,tuā-bó-thâu
17794,大拇公,tuā-bó-kong
17796,下昏頓,ē-hng-tǹg
17796,下昏頓,enn-hng-tǹg
17838,上慢,siāng bān
17850,大頭狗母,tuā-thâu-káu-bú
17911,歹代誌,phái tāi-tsì
17914,歹去,phái--khì
18242,早起時,tsái-khí-sî
18361,那卡西,na-khá-sih
18696,香案桌,hiunn-uànn-toh
19143,無按怎,bô-án-nuá
19143,無按怎,bô-án-ná
19503,樹奶拭仔,tshiū-lin-tshit-á
19657,歹消息,phái siau-sit
19906,歹彩頭,phái-tshái-thâu
19907,歹頭彩,phái-thâu-tshái
19966,歹事,phái-sū
20278,臨時臨陣,liâm-sî-liâm-tsūn
20307,𣻸肭肭,siûnn-le̍h-le̍h
27272,水漲,tsuí-tiùnn
27474,舞台劇,bú-tâi-ki̍k
28257,歹料,phái-liāu
28258,歹狗,phái-káu
28492,大宗,tāi-tsong
29589,豬母奶,ti-bú-ling/tu-bú-ni
29589,豬母奶,ti-bó-lin
17748,入場券,ji̍p-tiûnn-kǹg/li̍p-tiûnn-kǹg
17802,下毒,hā-to̍k
17828,凡間,hān-kan
17881,公務員,kong-bū-guân
17954,手掌,tshiú-tsiáng
18978,推斷,tshui-tuàn
19271,惹禍,jiá-ē/liá-ē
22130,推出,tshui-tshut
22153,過程,kuè-thîng/kè-thîng
22156,警方,kìng-hong
22162,程式,thîng-sik
22167,員工,guân-kang
22175,球員,kiû-guân
22191,清楚,tshing-tshóo
22203,附近,hū-kīn/hū-kūn
22206,面對,biān-tuì
22218,參與,tsham-ū
22242,推動,tshui-tōng
22248,工具,kang-khū
22264,帶來,tài-lâi
22292,有效,iú-hāu
22294,成員,sîng-guân
22348,紀錄,kì-lio̍k
22380,大概,tāi-kài
22390,保障,pó-tsiòng
22399,會員,huē-guân
22400,競選,kìng-suán
22408,推薦,tshui-tsiàn
22429,成熟,sîng-sio̍k
22438,指標,tsí-phiau
22440,素描,sòo-biâu
22445,領域,líng-i̍k
22454,歹徒,tái-tôo
22456,行程,hîng-thîng
22461,概念,khài-liām
22468,記錄,kì-lio̍k
22475,環保,huân-pó
22480,音響,im-hiáng
22489,分享,hun-hiáng
22502,播出,pò-tshut
22508,核心,hu̍t-sim
22555,取得,tshú-tik
22564,落實,lo̍h-si̍t
22566,歌劇,kua-ki̍k
22571,競爭力,kìng-tsing-li̍k
22576,盈餘,îng-î
22600,當中,tong-tiong
22601,標示,phiau-sī
22604,錄取,lio̍k-tshú
22639,排除,pâi-tî
22652,皇后,hông-hōo
22670,競賽,kìng-sài
22688,眷村,kuàn-tshuan
22693,維護,î-hōo
22697,贈與,tsīng-í
22703,娛樂,ngôo-lo̍k
22703,娛樂,gû-lo̍k
22727,前衛,tsiân-uī
22730,家具,ka-khū
22738,播放,pò-hòng
22782,否認,hóo-jīn/hóo-līn
22789,附設,hū-siat
22813,園區,uân-khu
22817,團員,thuân-guân
22829,用來,īng-lâi
22839,進駐,tsìn-tsū
22846,學員,ha̍k-guân
22851,權益,kuân-ik
22858,古老,kóo-nóo
22872,員警,guân-kíng
22873,核武,hu̍t-bú
22882,登錄,ting-lio̍k
22888,遠離,uán-lî
22891,暴力,po̍k-li̍k
22926,股權,kóo-kuân
22989,廣播,kóng-pò
23003,民調,bîn-tiàu
23019,相容,siong-iông
23069,放牧,hòng-bo̍k
23071,芭蕾,pa-lé
23078,除了,tî-liáu
23084,授權,siū-kuân
23094,照明,tsiàu-bîng
23099,劇情,ki̍k-tsîng
23117,水平,tsuí-pênn
23117,水平,tsuí-pînn
23130,佈滿,pòo-buán
23144,流星,liû-sing
23146,活力,hua̍t-li̍k
23150,美妙,bí-biāu
23181,維修,î-siu
23189,難忘,lân-bông
23198,分離,hun-lî
23222,哲學,thiat-ha̍k
23246,無形,bô-hîng
23254,業餘,gia̍p-î
23255,概況,khài-hóng
23289,收錄,siu-lio̍k
23301,流程,liû-thîng
23309,問卷,mn̄g-kǹg
23311,得票率,tit-phiò-lu̍t
23326,傳播,thuân-pò
23344,療程,liâu-thîng
23349,攀岩,phan-gâm
23360,日劇,Ji̍t-ki̍k/Li̍t-ki̍k
23362,平台,pîng-tâi
23369,名詞,bîng-sû
23425,衛浴,uī-i̍k
23439,大多數,tāi-to-sòo
23459,肉體,jio̍k-thé/lio̍k-thé
23461,村民,tshuan-bîn
23474,客觀,khik-kuan
23495,專人,tsuan-lâng
23528,暴動,po̍k-tōng
23533,錄製,lio̍k-tsè
23540,轉播,tsuán-pò
23544,警員,kìng-guân
23555,內在,lāi-tsāi
23598,坪數,phênn-sòo/phînn-sòo
23608,金曲,kim-khiok
23609,型錄,hîng-lio̍k
23623,除權,tî-kuân
23630,專欄,tsuan-lân
23631,強權,kiông-kuân
23634,推展,tshui-tián
23664,廢棄物,huè-khì-bu̍t
23718,佛珠,pu̍t-tsu
23727,享有,hióng-iú
23743,阻力,tsóo-la̍t
23745,信賴,sìn-lāi
23759,特派員,ti̍k-phài-guân
23767,高檔,ko-tòng
23828,檔期,tòng-kî
23830,禪師,siâm-su
23856,去除,khì-tî
23858,奶水,lin-tsuí
23866,交響曲,kau-hiáng-khik
23869,刑警,hîng-kìng
23878,佛典,Pu̍t-tián
23893,放假,hòng-ká
23893,放假,pàng-kà
23893,放假,hòng-kà
23895,法門,huat-bûn
23901,查詢,tsa-sûn
23911,重播,tiông-pòo
23911,重播,tîng-pò
23911,重播,tiông-pò
23920,海域,hái-i̍k
23936,假期,ká-kî
23943,清除,tshing-tî
23956,開播,khai-pò
23977,與會,í-huē
23979,領隊,niá-tuī
23989,選用,suán-īng
23996,聲援,sing-uān
24003,人命,jîn-bīng
24040,改用,kái-īng
24045,依附,i-hū
24050,奔波,pun-pho
24075,相比,siong-pí
24075,相比,sann-pí
24089,逃生,tô-senn/tô-sinn
24097,宿舍,siok-sià
24108,莫名其妙,bo̍k-bîng-kî-biāu
24141,路標,lōo-phiau
24142,跳遠,thiàu-uán
24155,劇團,ki̍k-thuân
24175,議程,gī-thîng
24188,中校,tiong-kàu
24200,日程,ji̍t-thîng/li̍t-thîng
24242,油桐花,iû-tông-hue
24248,附加,hū-ka
24295,推舉,tshui-kí/tshui-kú
24300,票券,phiò-kuàn
24319,無能,bô-lîng
24358,標記,phiau-kì
24412,中樞,tiong-su
24413,內幕,lāi-bōo
24418,少將,siáu-tsiòng
24423,文具,bûn-khū
24426,月台,gue̍h-tâi
24430,主宰,tsú-tsái
24436,半數,puàn-sòo
24451,同伴,tâng-phuānn
24454,回響,huê-hiáng
24467,刪除,san-tî
24484,姓名,sìng-bîng
24499,法警,huat-kìng
24508,附帶,hū-tài
24516,品種,phín-tsióng
24522,查出,tsa-tshut
24525,派駐,phài-tsū
24568,接掌,tsiap-tsiáng
24571,清算,tshing-sǹg
24632,標誌,phiau-tsì
24633,標題,phiau-tê/phiau-tuê
24653,斷交,tn̄g-kau
24666,上校,siōng-kàu
24672,大事,tuā-sū
24680,公正,kong-tsiànn
24692,水手,tsuí-tshiú
24707,平坦,pênn-thán/pînn-thán
24712,兇手,hiong-tshiú
24733,佛經,pu̍t-king
24739,否定,hóo-tīng
24751,防衛,hông-uī
24762,所有權,sóo-iú-kuân
24777,附屬,hū-sio̍k
24784,後衛,āu-uē
24788,查扣,tsa-khàu
24789,查封,tsa-hong
24800,面談,bīn-tâm
24806,哲理,thiat-lí
24814,核子,hu̍t-tsú
24852,教法,kàu-huat
24865,報警,pò-kìng
24873,筆錄,pit-lio̍k
24888,微妙,bî-biāu
24910,漁村,hî-tshuan/hû-tshuan
24913,網域,bāng-i̍k
24918,閣員,koh-guân
24922,廢水,huè-tsuí
24923,廢除,huè-tû
24923,廢除,huì-tî
24923,廢除,huè-tî
24949,應當,ìng-tong
24950,檔名,tòng-miâ
24954,賽程,sài-thîng
24967,黨員,tóng-guân
24999,天后,thian-hōo
25003,少校,siáu-kàu
25048,名醫,miâ-i
25050,回程,huê-thîng/hê-thîng
25058,存檔,tsûn-tòng
25063,有形,ū-hîng
25064,有緣,iú-iân
25072,佛法,Pu̍t-huat
25124,版權,pán-kuân
25126,社員,siā-guân
25217,彩券,tshái-kǹg
25224,掃除,sàu-tî
25226,推算,tshui-sǹg
25230,教具,kàu-khū
25264,結晶,kiat-tsing
25273,開除,khai-tî
25279,園地,hn̂g-tē/hn̂g-tuē
25343,衛教,uī-kàu
25359,激動,ki̍k-tōng
25375,檢警,kiám-kìng
25384,鍛鍊,thuàn-liān
25386,點播,tiám-pò
25395,雙層,siang-tsàn
25402,競標,kìng-pio
25451,五星級,gōo-sing-kip
25493,水域,tsuí-i̍k
25527,奶茶,lin-tê
25534,母語,bó-gí/bó-gú
25545,交響樂,kau-hiáng-ga̍k
25549,全程,tsuân-thîng
25559,好用,hó-iōng
25563,守衛,siú-uī
25578,否決,hóo-kuat
25581,妙方,biāu-hng
25616,奔走,pun-tsáu
25619,岩石,giâm-tsio̍h
25650,威權,ui-kuân
25749,教職員,kàu-tsit-guân
25785,掌管,tsiáng-kuán
25822,奧妙,ò-biāu
25835,溪流,khe-liû/khue-liû
25885,廢棄,huè-khì
25886,廢標,huè-pio
25892,暴亂,po̍k-luān
25893,標點,phiau-tiám
25898,編劇,pian-ki̍k
25909,學長,ha̍k-tióng
25956,警官,kìng-kuann
25957,警長,kìng-tiúnn
25958,警衛,kíng-uī
25963,權勢,kuân-sè
25974,一夜情,it-iā-tsîng
25995,小便,sió-piān
26011,元老,guân-nóo
26056,主播,tsú-pò
26092,玉山,Gio̍k-suann
26094,用法,īng-huat
26109,名譽,miâ-ū
26114,地標,tē-phiau/tuē-phiau
26131,自衛,tsū-uī
26135,行員,hâng-guân
26138,佛學,Pu̍t-ha̍k
26145,吳郭魚,gôo-kueh-hî/gôo-kueh-hû
26158,村長,tshuan-tiúnn
26202,直播,ti̍t-pò
26217,附錄,hù-lio̍k
26225,前程,tsiân-thîng
26245,查明,tsa-bîng
26246,查證,tsa-tsìng
26250,流域,liû-i̍k
26253,流標,lâu-pio
26259,相連,siong-liân
26317,射程,siā-thîng
26345,破除,phò-tî
26358,航程,hâng-thîng
26359,航權,hâng-kuân
26399,宿命,sok-miā
26402,專員,tsuan-guân
26412,得票,tit-phiò
26418,推案,tshui-àn
26509,裁員,tshâi-guân
26524,集權,tsi̍p-kuân
26570,話劇,uē-ki̍k
26589,飽滿,pá-buán
26622,製播,tsè-pò
26631,劇院,ki̍k-īnn
26638,廢氣,huè-khì
26649,標明,phiau-bîng
26661,衛兵,uī-ping
26672,駐軍,tsū-kun
26681,燈具,ting-khū
26694,錄用,lio̍k-iōng
26695,錄影,lio̍k-iánn
26696,錦標,gím-piau
26706,聯播,liân-pò
26713,斷定,tuān-tīng
26725,轉速,tsuán-sok
26728,離散,lī-sàn
26729,離職,lī-tsit
26752,競技,kìng-ki
26755,警局,kìng-kio̍k
26756,警車,kìng-tshia
26765,欄位,lân-uī
26769,護欄,hōo-nuâ
26772,霸權,pà-kuân
26791,大部份,tāi-pōo-hūn
26813,員外,guân-guē
26834,獎券,tsióng-kǹg
26843,滿壘,buán-luí
27440,天燈,thian-ting
28364,壓倒,ap-tó
28672,放生,hòng-sing
28695,音標,im-phiau
28719,機器人,ke-khì-lâng
28733,公權,kong-kuân
28739,掛念,kuà-liām
28783,弄權,lāng-kuân
28791,迎新,gîng-sin
28807,標籤,phiau-tshiam
28808,標語,phiau-gí/phiau-gú
28831,送行,sòng-hîng
28832,送別,sòng-pia̍t
28855,算術,suàn-su̍t
28856,喪家,song-ke
28866,使用權,sú-iōng-kuân
28878,地域,tē-i̍k/tuē-i̍k
28898,頓悟,tùn-gōo
28918,前例,tsîng-lē
28926,爭權奪利,tsing-kuân-tua̍t-lī
28942,母音,bó-im
28947,插播,tshah-pò
28962,推理,tshui-lí
29072,委員會,uí-guân-huē
29604,標價,phiau-kè
29629,搬遷,puann-tshian
29630,飛航,pue-hâng/pe-hâng
29636,派員,phài-guân
20346,立夏,li̍p-hā
20369,a̋i-sat-tsuh,a̋i-sat-tsirh
20373,àu-tsuh,àu-tsirh
20375,bá-suh,bá-sirh
20401,ha̋i-khé-khá-kuh,ha̋i-khé-khá-khuh
20441,khu-lì-mù,khu-lìn-mù
20443,la-kiat-tooh,la-khiat-tooh
20453,lìn-gòo,lìn-gò
20455,lòo-suh,lò-sù
20465,mí-sooh,mí-soh
20531,ua-khá-móo-tooh,oo-kám-má-tooh
20537,八卦山,Pat-kuà-san
20540,大屯山,Tāi-tūn-suann
20542,大武山,Thái-bú-suann
20543,大雪山,Tāi-siat-suann
20546,丹大山,Tan-tāi-suann
20547,中央山脈,Tiong-iang Suann-me̍h
20548,中央尖山,Tiong-iang-tsiam-suann
20551,巴陵,Pa-lóng
20552,太魯閣大山,Thā-lóo-kooh-tuā-suann
20556,北插天山,Pak-tshah-thinn-suann
20557,玉山,Gio̍k-suann
20574,草山,Iûnn-bîng-suann(陽明山)
20576,雪山,Suat-san
20577,陽明山,Iông-bîng-san
20577,陽明山,Tsháu-suann(草山)
20579,壽山,Siū-suann
20586,二二八公園,Sin-kong-hn̂g(新公園)
20608,玩石家博石館,Uán-si̍k-ka Phok-si̍k-kuán
20612,海洋生物館,Hái-sing-kuán(海生館)
20627,新公園,Jī-jī-pat Kong-hn̂g(二二八公園)
20638,萬華,Báng-kah(艋舺)
20640,樹林,Tshiū-nâ-á(樹林仔)
20641,山佳,Suann-á-kha(山仔跤)
20647,楊梅,Iûnn-buê
20658,苗栗,Miâu-li̍k
20665,潭子,Thâm-á-kînn(潭仔墘)
20670,彰化,Tsiong-huà
20675,田中,Tshân-tiong-ng(田中央)
20685,水上,Tsuí-siāng
20702,橋頭,Kiô-thâu
20703,楠梓,Lâm-á-khenn(楠仔坑)
20719,清水,Tshing-suí
20721,龍井,Liông-tsénn
20740,林邊,Nâ-pinn
20756,猴硐,Kâu-tōng
20760,貢寮,Khōng-á-liâu
20769,礁溪,Tann-khe
20769,礁溪,Tann-khenn
20774,冬山,Tang-kue-suann(冬瓜山)
20775,新馬,Sin-bé
20790,花蓮,Hua-lian
20790,花蓮,Hue-lian
20803,瑞穗,Suī-suī
20828,金崙,Kim-lūn
20837,十分,Tsa̍p-hūn-liâu(十分寮)
20838,望古,Bāng-kóo
20840,平溪,Pînn-khue
20841,菁桐,Tshenn-tông
20865,樟腦寮,Tsiunn-ló-liâu
20868,交力坪,Kau-li̍k-pênn
20871,多林,To-nâ
20878,沼平,Kū-tsām(舊站)
20915,汐止區,Si̍p-tsí-khu
20922,深坑區,Tshim-khenn-khu
20924,坪林區,Pênn-nâ-khu
20928,平溪區,Pîng-khe-khu
20939,礁溪鄉,Tann-khe-hiong
20939,礁溪鄉,Tann-khenn-hiong
20975,苗栗縣,Miâu-li̍k-kuān
20976,苗栗市,Miâu-li̍k-tshī
20982,卓蘭鎮,Tá-lân-tìn
21001,神岡區,Sin-kong-khu
21010,龍井區,Liông-tsénn-khu
21045,草屯鎮,Tsháu-tūn（草屯）
21068,崙背鄉,Lūn-puē-hiong
21089,水上鄉,Tsuí-siōng-hiong
21143,彌陀區,Bî-lô-khu
21143,彌陀區,Mî-lô-khu
21160,長治鄉,Tiông-tī-hiong
21166,萬巒鄉,Bān-luân-hiong
21176,琉球鄉,Liû-kiû-hiong
21177,車城鄉,Tshia-siânn-hiong
21205,花蓮縣,Hua-lian-kuān/Hue-lian-kuān
21206,花蓮市,Hua-lian-tshī/Hue-lian-tshī
21219,澎湖縣,Phênn-ôo-kuān
21242,西區,Se-khu
21244,西屯區,Se-tūn-khu
21249,西區,Se-khu
21263,烏坵鄉,Oo-khu-hiong
21360,三多商圈,Sann-kak-înn-khuân
21375,橋頭糖廠,Kiô-á-thâu Thn̂g-tshiúnn
21376,橋頭火車站,Kiô-á-thâu Hué-tshia-tsām
21417,花蓮港,Hua-lian-káng/Hue-lian-káng
21418,蘭陽溪,Lân-iông-khe
21421,大礁溪,Tuā-tann-khe
21422,小礁溪,Sió-tann-khe
21425,大漢溪,Tuā-kho-khàm-khe(大嵙崁溪)
21429,景美溪,Kíng-bué-khe
